Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"1,000.00 Lek",Eastern Europe & The Balkans,Albania,Tirana
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","5,000.00 Lek",Eastern Europe & The Balkans,Albania,Tirana
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),900.00 Lek,Eastern Europe & The Balkans,Albania,Tirana
Domestic Draft Beer (1 Pint),250.00 Lek,Eastern Europe & The Balkans,Albania,Tirana
Imported Beer (12 oz Small Bottle),366.97 Lek,Eastern Europe & The Balkans,Albania,Tirana
Cappuccino (Regular Size),179.18 Lek,Eastern Europe & The Balkans,Albania,Tirana
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",179.27 Lek,Eastern Europe & The Balkans,Albania,Tirana
Bottled Water (12 oz),94.92 Lek,Eastern Europe & The Balkans,Albania,Tirana
"Milk (Regular, 1 Liter)",178.94 Lek,Eastern Europe & The Balkans,Albania,Tirana
Fresh White Bread (1 lb Loaf),90.02 Lek,Eastern Europe & The Balkans,Albania,Tirana
White Rice (1 lb),90.15 Lek,Eastern Europe & The Balkans,Albania,Tirana
"Eggs (12, Large Size)",337.51 Lek,Eastern Europe & The Balkans,Albania,Tirana
Local Cheese (1 lb),508.89 Lek,Eastern Europe & The Balkans,Albania,Tirana
Chicken Fillets (1 lb),321.21 Lek,Eastern Europe & The Balkans,Albania,Tirana
Beef Round or Equivalent Back Leg Red Meat (1 lb),602.46 Lek,Eastern Europe & The Balkans,Albania,Tirana
Apples (1 lb),72.22 Lek,Eastern Europe & The Balkans,Albania,Tirana
Bananas (1 lb),98.17 Lek,Eastern Europe & The Balkans,Albania,Tirana
Oranges (1 lb),78.28 Lek,Eastern Europe & The Balkans,Albania,Tirana
Tomatoes (1 lb),66.85 Lek,Eastern Europe & The Balkans,Albania,Tirana
Potatoes (1 lb),48.97 Lek,Eastern Europe & The Balkans,Albania,Tirana
Onions (1 lb),51.34 Lek,Eastern Europe & The Balkans,Albania,Tirana
Lettuce (1 Head),133.48 Lek,Eastern Europe & The Balkans,Albania,Tirana
Bottled Water (50 oz),65.60 Lek,Eastern Europe & The Balkans,Albania,Tirana
Bottle of Wine (Mid-Range),850.00 Lek,Eastern Europe & The Balkans,Albania,Tirana
Domestic Beer (16.9 oz Bottle),142.21 Lek,Eastern Europe & The Balkans,Albania,Tirana
