Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,20.00 $,Latin America,Argentina,Buenos Aires
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",69.78 $,Latin America,Argentina,Buenos Aires
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 $,Latin America,Argentina,Buenos Aires
Domestic Draft Beer (1 Pint),4.00 $,Latin America,Argentina,Buenos Aires
Imported Beer (12 oz Small Bottle),5.00 $,Latin America,Argentina,Buenos Aires
Cappuccino (Regular Size),4.09 $,Latin America,Argentina,Buenos Aires
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.07 $,Latin America,Argentina,Buenos Aires
Bottled Water (12 oz),1.47 $,Latin America,Argentina,Buenos Aires
"Milk (Regular, 1 Liter)",1.53 $,Latin America,Argentina,Buenos Aires
Fresh White Bread (1 lb Loaf),2.49 $,Latin America,Argentina,Buenos Aires
White Rice (1 lb),0.79 $,Latin America,Argentina,Buenos Aires
"Eggs (12, Large Size)",3.67 $,Latin America,Argentina,Buenos Aires
Local Cheese (1 lb),5.19 $,Latin America,Argentina,Buenos Aires
Chicken Fillets (1 lb),4.17 $,Latin America,Argentina,Buenos Aires
Beef Round or Equivalent Back Leg Red Meat (1 lb),4.68 $,Latin America,Argentina,Buenos Aires
Apples (1 lb),1.16 $,Latin America,Argentina,Buenos Aires
Bananas (1 lb),0.90 $,Latin America,Argentina,Buenos Aires
Oranges (1 lb),0.57 $,Latin America,Argentina,Buenos Aires
Tomatoes (1 lb),1.14 $,Latin America,Argentina,Buenos Aires
Potatoes (1 lb),0.60 $,Latin America,Argentina,Buenos Aires
Onions (1 lb),0.60 $,Latin America,Argentina,Buenos Aires
Lettuce (1 Head),2.01 $,Latin America,Argentina,Buenos Aires
Bottled Water (50 oz),1.56 $,Latin America,Argentina,Buenos Aires
Bottle of Wine (Mid-Range),6.00 $,Latin America,Argentina,Buenos Aires
Domestic Beer (16.9 oz Bottle),2.21 $,Latin America,Argentina,Buenos Aires
Imported Beer (12 oz Small Bottle),3.37 $,Latin America,Argentina,Buenos Aires
"Cigarettes (Pack of 20, Marlboro)",4.00 $,Latin America,Argentina,Buenos Aires
One-Way Ticket (Local Transport),0.70 $,Latin America,Argentina,Buenos Aires
Monthly Public Transport Pass (Regular Price),20.00 $,Latin America,Argentina,Buenos Aires
Taxi Start (Standard Tariff),1.71 $,Latin America,Argentina,Buenos Aires
Taxi 1 mile (Standard Tariff),1.53 $,Latin America,Argentina,Buenos Aires
Taxi 1 Hour Waiting (Standard Tariff),7.75 $,Latin America,Argentina,Buenos Aires
Gasoline (1 Liter),1.14 $,Latin America,Argentina,Buenos Aires
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"25,000.00 $",Latin America,Argentina,Buenos Aires
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"30,014.20 $",Latin America,Argentina,Buenos Aires
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",184.16 $,Latin America,Argentina,Buenos Aires
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",18.24 $,Latin America,Argentina,Buenos Aires
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",31.62 $,Latin America,Argentina,Buenos Aires
Monthly Fitness Club Membership,47.34 $,Latin America,Argentina,Buenos Aires
"Tennis Court Rental (1 Hour, Weekend)",14.15 $,Latin America,Argentina,Buenos Aires
Cinema Ticket (International Release),10.00 $,Latin America,Argentina,Buenos Aires
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",383.33 $,Latin America,Argentina,Buenos Aires
"International Primary School, Annual Tuition per Child","6,061.18 $",Latin America,Argentina,Buenos Aires
Jeans (Levi's 501 or Similar),110.07 $,Latin America,Argentina,Buenos Aires
Summer Dress in a Chain Store (e.g. Zara or H&M),94.32 $,Latin America,Argentina,Buenos Aires
Nike Running Shoes (Mid-Range),124.27 $,Latin America,Argentina,Buenos Aires
Men's Leather Business Shoes,146.10 $,Latin America,Argentina,Buenos Aires
1 Bedroom Apartment in City Centre,740.49 $,Latin America,Argentina,Buenos Aires
1 Bedroom Apartment Outside of City Centre,527.01 $,Latin America,Argentina,Buenos Aires
3 Bedroom Apartment in City Centre,"1,437.04 $",Latin America,Argentina,Buenos Aires
3 Bedroom Apartment Outside of City Centre,"1,027.81 $",Latin America,Argentina,Buenos Aires
Price per Square Feet to Buy Apartment in City Centre,255.17 $,Latin America,Argentina,Buenos Aires
Price per Square Feet to Buy Apartment Outside of Centre,189.30 $,Latin America,Argentina,Buenos Aires
Average Monthly Net Salary (After Tax),797.88 $,Latin America,Argentina,Buenos Aires
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",52.71,Latin America,Argentina,Buenos Aires
