Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,40.00 Bds$,Island Life,Barbados,Bridgetown
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",200.00 Bds$,Island Life,Barbados,Bridgetown
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),20.00 Bds$,Island Life,Barbados,Bridgetown
Domestic Draft Beer (1 Pint),5.00 Bds$,Island Life,Barbados,Bridgetown
Imported Beer (12 oz Small Bottle),10.00 Bds$,Island Life,Barbados,Bridgetown
Cappuccino (Regular Size),9.19 Bds$,Island Life,Barbados,Bridgetown
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.80 Bds$,Island Life,Barbados,Bridgetown
Bottled Water (12 oz),2.75 Bds$,Island Life,Barbados,Bridgetown
"Milk (Regular, 1 Liter)",9.89 Bds$,Island Life,Barbados,Bridgetown
Fresh White Bread (1 lb Loaf),6.94 Bds$,Island Life,Barbados,Bridgetown
White Rice (1 lb),2.48 Bds$,Island Life,Barbados,Bridgetown
"Eggs (12, Large Size)",12.65 Bds$,Island Life,Barbados,Bridgetown
Local Cheese (1 lb),8.14 Bds$,Island Life,Barbados,Bridgetown
Chicken Fillets (1 lb),9.53 Bds$,Island Life,Barbados,Bridgetown
Beef Round or Equivalent Back Leg Red Meat (1 lb),8.61 Bds$,Island Life,Barbados,Bridgetown
Apples (1 lb),4.98 Bds$,Island Life,Barbados,Bridgetown
Bananas (1 lb),2.88 Bds$,Island Life,Barbados,Bridgetown
Oranges (1 lb),4.75 Bds$,Island Life,Barbados,Bridgetown
Tomatoes (1 lb),4.54 Bds$,Island Life,Barbados,Bridgetown
Potatoes (1 lb),1.64 Bds$,Island Life,Barbados,Bridgetown
Onions (1 lb),2.10 Bds$,Island Life,Barbados,Bridgetown
Lettuce (1 Head),5.47 Bds$,Island Life,Barbados,Bridgetown
Bottled Water (50 oz),6.32 Bds$,Island Life,Barbados,Bridgetown
Bottle of Wine (Mid-Range),27.50 Bds$,Island Life,Barbados,Bridgetown
Domestic Beer (16.9 oz Bottle),3.64 Bds$,Island Life,Barbados,Bridgetown
Imported Beer (12 oz Small Bottle),3.75 Bds$,Island Life,Barbados,Bridgetown
"Cigarettes (Pack of 20, Marlboro)",20.00 Bds$,Island Life,Barbados,Bridgetown
One-Way Ticket (Local Transport),3.50 Bds$,Island Life,Barbados,Bridgetown
Monthly Public Transport Pass (Regular Price),54.00 Bds$,Island Life,Barbados,Bridgetown
Taxi Start (Standard Tariff),15.00 Bds$,Island Life,Barbados,Bridgetown
Taxi 1 mile (Standard Tariff),?,Island Life,Barbados,Bridgetown
Taxi 1 Hour Waiting (Standard Tariff),80.00 Bds$,Island Life,Barbados,Bridgetown
Gasoline (1 Liter),4.08 Bds$,Island Life,Barbados,Bridgetown
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"75,000.00 Bds$",Island Life,Barbados,Bridgetown
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"70,000.00 Bds$",Island Life,Barbados,Bridgetown
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",390.00 Bds$,Island Life,Barbados,Bridgetown
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",113.75 Bds$,Island Life,Barbados,Bridgetown
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",162.50 Bds$,Island Life,Barbados,Bridgetown
Monthly Fitness Club Membership,183.33 Bds$,Island Life,Barbados,Bridgetown
"Tennis Court Rental (1 Hour, Weekend)",?,Island Life,Barbados,Bridgetown
Cinema Ticket (International Release),30.00 Bds$,Island Life,Barbados,Bridgetown
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",600.00 Bds$,Island Life,Barbados,Bridgetown
"International Primary School, Annual Tuition per Child","13,000.00 Bds$",Island Life,Barbados,Bridgetown
Jeans (Levi's 501 or Similar),137.50 Bds$,Island Life,Barbados,Bridgetown
Summer Dress in a Chain Store (e.g. Zara or H&M),87.50 Bds$,Island Life,Barbados,Bridgetown
Nike Running Shoes (Mid-Range),200.00 Bds$,Island Life,Barbados,Bridgetown
Men's Leather Business Shoes,141.67 Bds$,Island Life,Barbados,Bridgetown
1 Bedroom Apartment in City Centre,"2,366.67 Bds$",Island Life,Barbados,Bridgetown
1 Bedroom Apartment Outside of City Centre,"2,033.33 Bds$",Island Life,Barbados,Bridgetown
3 Bedroom Apartment in City Centre,"4,333.33 Bds$",Island Life,Barbados,Bridgetown
3 Bedroom Apartment Outside of City Centre,"3,875.00 Bds$",Island Life,Barbados,Bridgetown
Price per Square Feet to Buy Apartment in City Centre,650.32 Bds$,Island Life,Barbados,Bridgetown
Price per Square Feet to Buy Apartment Outside of Centre,650.32 Bds$,Island Life,Barbados,Bridgetown
Average Monthly Net Salary (After Tax),"3,166.67 Bds$",Island Life,Barbados,Bridgetown
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",6.85,Island Life,Barbados,Bridgetown
