Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,6.29 $,Latin America,Belize,Belize City
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",50.00 $,Latin America,Belize,Belize City
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.50 $,Latin America,Belize,Belize City
Domestic Draft Beer (1 Pint),2.55 $,Latin America,Belize,Belize City
Imported Beer (12 oz Small Bottle),3.24 $,Latin America,Belize,Belize City
Cappuccino (Regular Size),3.83 $,Latin America,Belize,Belize City
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.69 $,Latin America,Belize,Belize City
Bottled Water (12 oz),1.43 $,Latin America,Belize,Belize City
"Milk (Regular, 1 Liter)",3.68 $,Latin America,Belize,Belize City
Fresh White Bread (1 lb Loaf),1.20 $,Latin America,Belize,Belize City
White Rice (1 lb),1.10 $,Latin America,Belize,Belize City
"Eggs (12, Large Size)",2.37 $,Latin America,Belize,Belize City
Local Cheese (1 lb),3.10 $,Latin America,Belize,Belize City
Chicken Fillets (1 lb),3.75 $,Latin America,Belize,Belize City
Beef Round or Equivalent Back Leg Red Meat (1 lb),3.25 $,Latin America,Belize,Belize City
Apples (1 lb),1.74 $,Latin America,Belize,Belize City
Bananas (1 lb),0.65 $,Latin America,Belize,Belize City
Oranges (1 lb),0.97 $,Latin America,Belize,Belize City
Tomatoes (1 lb),1.51 $,Latin America,Belize,Belize City
Potatoes (1 lb),1.58 $,Latin America,Belize,Belize City
Onions (1 lb),1.15 $,Latin America,Belize,Belize City
Lettuce (1 Head),2.46 $,Latin America,Belize,Belize City
Bottled Water (50 oz),1.15 $,Latin America,Belize,Belize City
Bottle of Wine (Mid-Range),10.00 $,Latin America,Belize,Belize City
Domestic Beer (16.9 oz Bottle),2.27 $,Latin America,Belize,Belize City
Imported Beer (12 oz Small Bottle),3.25 $,Latin America,Belize,Belize City
"Cigarettes (Pack of 20, Marlboro)",5.00 $,Latin America,Belize,Belize City
One-Way Ticket (Local Transport),2.00 $,Latin America,Belize,Belize City
Monthly Public Transport Pass (Regular Price),20.00 $,Latin America,Belize,Belize City
Taxi Start (Standard Tariff),4.00 $,Latin America,Belize,Belize City
Taxi 1 mile (Standard Tariff),6.41 $,Latin America,Belize,Belize City
Taxi 1 Hour Waiting (Standard Tariff),?,Latin America,Belize,Belize City
Gasoline (1 Liter),1.83 $,Latin America,Belize,Belize City
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"10,514.56 $",Latin America,Belize,Belize City
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),?,Latin America,Belize,Belize City
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",207.68 $,Latin America,Belize,Belize City
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",49.65 $,Latin America,Belize,Belize City
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",54.71 $,Latin America,Belize,Belize City
Monthly Fitness Club Membership,26.63 $,Latin America,Belize,Belize City
"Tennis Court Rental (1 Hour, Weekend)",2.49 $,Latin America,Belize,Belize City
Cinema Ticket (International Release),8.42 $,Latin America,Belize,Belize City
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",64.52 $,Latin America,Belize,Belize City
"International Primary School, Annual Tuition per Child",674.20 $,Latin America,Belize,Belize City
Jeans (Levi's 501 or Similar),37.45 $,Latin America,Belize,Belize City
Summer Dress in a Chain Store (e.g. Zara or H&M),27.42 $,Latin America,Belize,Belize City
Nike Running Shoes (Mid-Range),82.26 $,Latin America,Belize,Belize City
Men's Leather Business Shoes,89.59 $,Latin America,Belize,Belize City
1 Bedroom Apartment in City Centre,342.13 $,Latin America,Belize,Belize City
1 Bedroom Apartment Outside of City Centre,191.32 $,Latin America,Belize,Belize City
3 Bedroom Apartment in City Centre,565.67 $,Latin America,Belize,Belize City
3 Bedroom Apartment Outside of City Centre,324.58 $,Latin America,Belize,Belize City
Price per Square Feet to Buy Apartment in City Centre,18.58 $,Latin America,Belize,Belize City
Price per Square Feet to Buy Apartment Outside of Centre,?,Latin America,Belize,Belize City
Average Monthly Net Salary (After Tax),866.75 $,Latin America,Belize,Belize City
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.33,Latin America,Belize,Belize City
