Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,25.00 C$,Island Life,Bermuda,Hamilton
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",100.00 C$,Island Life,Bermuda,Hamilton
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),17.00 C$,Island Life,Bermuda,Hamilton
Domestic Draft Beer (1 Pint),7.00 C$,Island Life,Bermuda,Hamilton
Imported Beer (12 oz Small Bottle),9.00 C$,Island Life,Bermuda,Hamilton
Cappuccino (Regular Size),5.45 C$,Island Life,Bermuda,Hamilton
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.97 C$,Island Life,Bermuda,Hamilton
Bottled Water (12 oz),2.35 C$,Island Life,Bermuda,Hamilton
"Milk (Regular, 1 Liter)",3.04 C$,Island Life,Bermuda,Hamilton
Fresh White Bread (1 lb Loaf),2.73 C$,Island Life,Bermuda,Hamilton
White Rice (1 lb),1.80 C$,Island Life,Bermuda,Hamilton
"Eggs (12, Large Size)",5.01 C$,Island Life,Bermuda,Hamilton
Local Cheese (1 lb),4.72 C$,Island Life,Bermuda,Hamilton
Chicken Fillets (1 lb),6.51 C$,Island Life,Bermuda,Hamilton
Beef Round or Equivalent Back Leg Red Meat (1 lb),8.66 C$,Island Life,Bermuda,Hamilton
Apples (1 lb),2.41 C$,Island Life,Bermuda,Hamilton
Bananas (1 lb),0.79 C$,Island Life,Bermuda,Hamilton
Oranges (1 lb),2.67 C$,Island Life,Bermuda,Hamilton
Tomatoes (1 lb),2.47 C$,Island Life,Bermuda,Hamilton
Potatoes (1 lb),1.64 C$,Island Life,Bermuda,Hamilton
Onions (1 lb),1.08 C$,Island Life,Bermuda,Hamilton
Lettuce (1 Head),3.17 C$,Island Life,Bermuda,Hamilton
Bottled Water (50 oz),2.07 C$,Island Life,Bermuda,Hamilton
Bottle of Wine (Mid-Range),18.00 C$,Island Life,Bermuda,Hamilton
Domestic Beer (16.9 oz Bottle),3.33 C$,Island Life,Bermuda,Hamilton
Imported Beer (12 oz Small Bottle),5.68 C$,Island Life,Bermuda,Hamilton
"Cigarettes (Pack of 20, Marlboro)",19.75 C$,Island Life,Bermuda,Hamilton
One-Way Ticket (Local Transport),3.62 C$,Island Life,Bermuda,Hamilton
Monthly Public Transport Pass (Regular Price),120.00 C$,Island Life,Bermuda,Hamilton
Taxi Start (Standard Tariff),4.90 C$,Island Life,Bermuda,Hamilton
Taxi 1 mile (Standard Tariff),2.90 C$,Island Life,Bermuda,Hamilton
Taxi 1 Hour Waiting (Standard Tariff),32.72 C$,Island Life,Bermuda,Hamilton
Gasoline (1 Liter),1.49 C$,Island Life,Bermuda,Hamilton
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"36,779.00 C$",Island Life,Bermuda,Hamilton
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"27,322.31 C$",Island Life,Bermuda,Hamilton
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",206.40 C$,Island Life,Bermuda,Hamilton
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",48.96 C$,Island Life,Bermuda,Hamilton
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",72.74 C$,Island Life,Bermuda,Hamilton
Monthly Fitness Club Membership,52.71 C$,Island Life,Bermuda,Hamilton
"Tennis Court Rental (1 Hour, Weekend)",30.00 C$,Island Life,Bermuda,Hamilton
Cinema Ticket (International Release),14.75 C$,Island Life,Bermuda,Hamilton
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",863.75 C$,Island Life,Bermuda,Hamilton
"International Primary School, Annual Tuition per Child","23,308.33 C$",Island Life,Bermuda,Hamilton
Jeans (Levi's 501 or Similar),79.17 C$,Island Life,Bermuda,Hamilton
Summer Dress in a Chain Store (e.g. Zara or H&M),48.00 C$,Island Life,Bermuda,Hamilton
Nike Running Shoes (Mid-Range),122.50 C$,Island Life,Bermuda,Hamilton
Men's Leather Business Shoes,169.17 C$,Island Life,Bermuda,Hamilton
1 Bedroom Apartment in City Centre,"1,734.90 C$",Island Life,Bermuda,Hamilton
1 Bedroom Apartment Outside of City Centre,"1,723.83 C$",Island Life,Bermuda,Hamilton
3 Bedroom Apartment in City Centre,"2,937.78 C$",Island Life,Bermuda,Hamilton
3 Bedroom Apartment Outside of City Centre,"2,621.56 C$",Island Life,Bermuda,Hamilton
Price per Square Feet to Buy Apartment in City Centre,358.00 C$,Island Life,Bermuda,Hamilton
Price per Square Feet to Buy Apartment Outside of Centre,358.00 C$,Island Life,Bermuda,Hamilton
Average Monthly Net Salary (After Tax),"3,915.60 C$",Island Life,Bermuda,Hamilton
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.44,Island Life,Bermuda,Hamilton
