Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,40.00 R$,Latin America,Brazil,Florianopolis
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",245.00 R$,Latin America,Brazil,Florianopolis
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),37.50 R$,Latin America,Brazil,Florianopolis
Domestic Draft Beer (1 Pint),12.00 R$,Latin America,Brazil,Florianopolis
Imported Beer (12 oz Small Bottle),15.00 R$,Latin America,Brazil,Florianopolis
Cappuccino (Regular Size),10.93 R$,Latin America,Brazil,Florianopolis
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",6.16 R$,Latin America,Brazil,Florianopolis
Bottled Water (12 oz),4.61 R$,Latin America,Brazil,Florianopolis
"Milk (Regular, 1 Liter)",5.07 R$,Latin America,Brazil,Florianopolis
Fresh White Bread (1 lb Loaf),7.18 R$,Latin America,Brazil,Florianopolis
White Rice (1 lb),3.30 R$,Latin America,Brazil,Florianopolis
"Eggs (12, Large Size)",12.90 R$,Latin America,Brazil,Florianopolis
Local Cheese (1 lb),20.41 R$,Latin America,Brazil,Florianopolis
Chicken Fillets (1 lb),8.76 R$,Latin America,Brazil,Florianopolis
Beef Round or Equivalent Back Leg Red Meat (1 lb),19.63 R$,Latin America,Brazil,Florianopolis
Apples (1 lb),5.64 R$,Latin America,Brazil,Florianopolis
Bananas (1 lb),2.99 R$,Latin America,Brazil,Florianopolis
Oranges (1 lb),3.26 R$,Latin America,Brazil,Florianopolis
Tomatoes (1 lb),3.83 R$,Latin America,Brazil,Florianopolis
Potatoes (1 lb),2.58 R$,Latin America,Brazil,Florianopolis
Onions (1 lb),2.53 R$,Latin America,Brazil,Florianopolis
Lettuce (1 Head),4.10 R$,Latin America,Brazil,Florianopolis
Bottled Water (50 oz),4.21 R$,Latin America,Brazil,Florianopolis
Bottle of Wine (Mid-Range),40.00 R$,Latin America,Brazil,Florianopolis
Domestic Beer (16.9 oz Bottle),7.39 R$,Latin America,Brazil,Florianopolis
Imported Beer (12 oz Small Bottle),15.10 R$,Latin America,Brazil,Florianopolis
"Cigarettes (Pack of 20, Marlboro)",13.74 R$,Latin America,Brazil,Florianopolis
One-Way Ticket (Local Transport),6.90 R$,Latin America,Brazil,Florianopolis
Monthly Public Transport Pass (Regular Price),414.00 R$,Latin America,Brazil,Florianopolis
Taxi Start (Standard Tariff),8.00 R$,Latin America,Brazil,Florianopolis
Taxi 1 mile (Standard Tariff),12.87 R$,Latin America,Brazil,Florianopolis
Taxi 1 Hour Waiting (Standard Tariff),60.00 R$,Latin America,Brazil,Florianopolis
Gasoline (1 Liter),6.43 R$,Latin America,Brazil,Florianopolis
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"118,890.00 R$",Latin America,Brazil,Florianopolis
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"165,334.00 R$",Latin America,Brazil,Florianopolis
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",355.36 R$,Latin America,Brazil,Florianopolis
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",71.88 R$,Latin America,Brazil,Florianopolis
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",107.49 R$,Latin America,Brazil,Florianopolis
Monthly Fitness Club Membership,184.66 R$,Latin America,Brazil,Florianopolis
"Tennis Court Rental (1 Hour, Weekend)",98.67 R$,Latin America,Brazil,Florianopolis
Cinema Ticket (International Release),43.32 R$,Latin America,Brazil,Florianopolis
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","3,435.71 R$",Latin America,Brazil,Florianopolis
"International Primary School, Annual Tuition per Child","55,612.50 R$",Latin America,Brazil,Florianopolis
Jeans (Levi's 501 or Similar),352.95 R$,Latin America,Brazil,Florianopolis
Summer Dress in a Chain Store (e.g. Zara or H&M),347.67 R$,Latin America,Brazil,Florianopolis
Nike Running Shoes (Mid-Range),531.90 R$,Latin America,Brazil,Florianopolis
Men's Leather Business Shoes,340.98 R$,Latin America,Brazil,Florianopolis
1 Bedroom Apartment in City Centre,"3,046.67 R$",Latin America,Brazil,Florianopolis
1 Bedroom Apartment Outside of City Centre,"2,193.75 R$",Latin America,Brazil,Florianopolis
3 Bedroom Apartment in City Centre,"5,933.33 R$",Latin America,Brazil,Florianopolis
3 Bedroom Apartment Outside of City Centre,"4,507.69 R$",Latin America,Brazil,Florianopolis
Price per Square Feet to Buy Apartment in City Centre,"1,350.33 R$",Latin America,Brazil,Florianopolis
Price per Square Feet to Buy Apartment Outside of Centre,847.73 R$,Latin America,Brazil,Florianopolis
Average Monthly Net Salary (After Tax),"4,069.02 R$",Latin America,Brazil,Florianopolis
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",10.94,Latin America,Brazil,Florianopolis
