Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,45.00 R$,Latin America,Brazil,Sao Paulo
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",220.00 R$,Latin America,Brazil,Sao Paulo
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),40.00 R$,Latin America,Brazil,Sao Paulo
Domestic Draft Beer (1 Pint),12.00 R$,Latin America,Brazil,Sao Paulo
Imported Beer (12 oz Small Bottle),18.00 R$,Latin America,Brazil,Sao Paulo
Cappuccino (Regular Size),11.26 R$,Latin America,Brazil,Sao Paulo
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",6.62 R$,Latin America,Brazil,Sao Paulo
Bottled Water (12 oz),4.56 R$,Latin America,Brazil,Sao Paulo
"Milk (Regular, 1 Liter)",5.93 R$,Latin America,Brazil,Sao Paulo
Fresh White Bread (1 lb Loaf),8.93 R$,Latin America,Brazil,Sao Paulo
White Rice (1 lb),3.28 R$,Latin America,Brazil,Sao Paulo
"Eggs (12, Large Size)",14.89 R$,Latin America,Brazil,Sao Paulo
Local Cheese (1 lb),29.34 R$,Latin America,Brazil,Sao Paulo
Chicken Fillets (1 lb),11.78 R$,Latin America,Brazil,Sao Paulo
Beef Round or Equivalent Back Leg Red Meat (1 lb),24.47 R$,Latin America,Brazil,Sao Paulo
Apples (1 lb),6.47 R$,Latin America,Brazil,Sao Paulo
Bananas (1 lb),4.30 R$,Latin America,Brazil,Sao Paulo
Oranges (1 lb),3.87 R$,Latin America,Brazil,Sao Paulo
Tomatoes (1 lb),4.60 R$,Latin America,Brazil,Sao Paulo
Potatoes (1 lb),3.24 R$,Latin America,Brazil,Sao Paulo
Onions (1 lb),2.80 R$,Latin America,Brazil,Sao Paulo
Lettuce (1 Head),6.49 R$,Latin America,Brazil,Sao Paulo
Bottled Water (50 oz),4.24 R$,Latin America,Brazil,Sao Paulo
Bottle of Wine (Mid-Range),50.00 R$,Latin America,Brazil,Sao Paulo
Domestic Beer (16.9 oz Bottle),7.71 R$,Latin America,Brazil,Sao Paulo
Imported Beer (12 oz Small Bottle),13.68 R$,Latin America,Brazil,Sao Paulo
"Cigarettes (Pack of 20, Marlboro)",14.25 R$,Latin America,Brazil,Sao Paulo
One-Way Ticket (Local Transport),5.20 R$,Latin America,Brazil,Sao Paulo
Monthly Public Transport Pass (Regular Price),243.00 R$,Latin America,Brazil,Sao Paulo
Taxi Start (Standard Tariff),6.05 R$,Latin America,Brazil,Sao Paulo
Taxi 1 mile (Standard Tariff),6.84 R$,Latin America,Brazil,Sao Paulo
Taxi 1 Hour Waiting (Standard Tariff),51.00 R$,Latin America,Brazil,Sao Paulo
Gasoline (1 Liter),6.02 R$,Latin America,Brazil,Sao Paulo
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"120,000.00 R$",Latin America,Brazil,Sao Paulo
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"169,279.47 R$",Latin America,Brazil,Sao Paulo
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",450.29 R$,Latin America,Brazil,Sao Paulo
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",84.98 R$,Latin America,Brazil,Sao Paulo
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",105.37 R$,Latin America,Brazil,Sao Paulo
Monthly Fitness Club Membership,199.07 R$,Latin America,Brazil,Sao Paulo
"Tennis Court Rental (1 Hour, Weekend)",198.89 R$,Latin America,Brazil,Sao Paulo
Cinema Ticket (International Release),50.00 R$,Latin America,Brazil,Sao Paulo
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","2,576.85 R$",Latin America,Brazil,Sao Paulo
"International Primary School, Annual Tuition per Child","87,646.15 R$",Latin America,Brazil,Sao Paulo
Jeans (Levi's 501 or Similar),333.32 R$,Latin America,Brazil,Sao Paulo
Summer Dress in a Chain Store (e.g. Zara or H&M),277.37 R$,Latin America,Brazil,Sao Paulo
Nike Running Shoes (Mid-Range),515.02 R$,Latin America,Brazil,Sao Paulo
Men's Leather Business Shoes,458.93 R$,Latin America,Brazil,Sao Paulo
1 Bedroom Apartment in City Centre,"3,508.50 R$",Latin America,Brazil,Sao Paulo
1 Bedroom Apartment Outside of City Centre,"2,518.65 R$",Latin America,Brazil,Sao Paulo
3 Bedroom Apartment in City Centre,"7,781.17 R$",Latin America,Brazil,Sao Paulo
3 Bedroom Apartment Outside of City Centre,"4,850.95 R$",Latin America,Brazil,Sao Paulo
Price per Square Feet to Buy Apartment in City Centre,"1,378.70 R$",Latin America,Brazil,Sao Paulo
Price per Square Feet to Buy Apartment Outside of Centre,"1,059.67 R$",Latin America,Brazil,Sao Paulo
Average Monthly Net Salary (After Tax),"4,151.23 R$",Latin America,Brazil,Sao Paulo
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.96,Latin America,Brazil,Sao Paulo
