Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,7.67 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",39.61 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.41 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Domestic Draft Beer (1 Pint),2.38 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Imported Beer (12 oz Small Bottle),3.07 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Cappuccino (Regular Size),2.24 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.33 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Bottled Water (12 oz),1.03 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Milk (Regular, 1 Liter)",1.60 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Fresh White Bread (1 lb Loaf),0.86 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
White Rice (1 lb),0.80 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Eggs (12, Large Size)",3.03 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Local Cheese (1 lb),4.44 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Chicken Fillets (1 lb),3.23 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.52 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Apples (1 lb),0.64 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Bananas (1 lb),0.70 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Oranges (1 lb),0.69 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Tomatoes (1 lb),1.00 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Potatoes (1 lb),0.39 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Onions (1 lb),0.42 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Lettuce (1 Head),0.98 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Bottled Water (50 oz),0.68 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Bottle of Wine (Mid-Range),6.13 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Domestic Beer (16.9 oz Bottle),0.98 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Imported Beer (12 oz Small Bottle),1.65 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Cigarettes (Pack of 20, Marlboro)",3.41 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
One-Way Ticket (Local Transport),0.51 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Monthly Public Transport Pass (Regular Price),25.56 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Taxi Start (Standard Tariff),1.02 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Taxi 1 mile (Standard Tariff),0.91 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Taxi 1 Hour Waiting (Standard Tariff),9.20 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Gasoline (1 Liter),1.30 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"27,942.42 €",Eastern Europe & The Balkans,Bulgaria,Plovdiv
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"22,694.17 €",Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",89.41 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",15.72 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",12.37 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Monthly Fitness Club Membership,33.36 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Tennis Court Rental (1 Hour, Weekend)",17.16 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Cinema Ticket (International Release),7.67 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",450.69 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
"International Primary School, Annual Tuition per Child","4,454.15 €",Eastern Europe & The Balkans,Bulgaria,Plovdiv
Jeans (Levi's 501 or Similar),52.06 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Summer Dress in a Chain Store (e.g. Zara or H&M),31.93 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
Nike Running Shoes (Mid-Range),85.18 €,Eastern Europe & The Balkans,Bulgaria,Plovdiv
