Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,10.23 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",46.03 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),9.21 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Domestic Draft Beer (1 Pint),2.69 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Imported Beer (12 oz Small Bottle),3.07 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Cappuccino (Regular Size),2.46 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.76 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Bottled Water (12 oz),1.30 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Milk (Regular, 1 Liter)",1.66 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Fresh White Bread (1 lb Loaf),1.12 €,Eastern Europe & The Balkans,Bulgaria,Sofia
White Rice (1 lb),0.88 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Eggs (12, Large Size)",3.25 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Local Cheese (1 lb),4.72 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Chicken Fillets (1 lb),3.36 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.56 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Apples (1 lb),0.78 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Bananas (1 lb),0.78 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Oranges (1 lb),0.72 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Tomatoes (1 lb),1.09 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Potatoes (1 lb),0.42 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Onions (1 lb),0.37 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Lettuce (1 Head),0.89 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Bottled Water (50 oz),0.65 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Bottle of Wine (Mid-Range),6.39 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Domestic Beer (16.9 oz Bottle),0.96 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Imported Beer (12 oz Small Bottle),1.52 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Cigarettes (Pack of 20, Marlboro)",3.58 €,Eastern Europe & The Balkans,Bulgaria,Sofia
One-Way Ticket (Local Transport),0.82 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Monthly Public Transport Pass (Regular Price),25.55 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Taxi Start (Standard Tariff),1.50 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Taxi 1 mile (Standard Tariff),1.32 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Taxi 1 Hour Waiting (Standard Tariff),12.27 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Gasoline (1 Liter),1.26 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"26,850.86 €",Eastern Europe & The Balkans,Bulgaria,Sofia
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"24,113.43 €",Eastern Europe & The Balkans,Bulgaria,Sofia
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",131.61 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",15.91 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",12.09 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Monthly Fitness Club Membership,39.35 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Tennis Court Rental (1 Hour, Weekend)",20.70 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Cinema Ticket (International Release),8.85 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",594.62 €,Eastern Europe & The Balkans,Bulgaria,Sofia
"International Primary School, Annual Tuition per Child","10,387.17 €",Eastern Europe & The Balkans,Bulgaria,Sofia
Jeans (Levi's 501 or Similar),71.63 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Summer Dress in a Chain Store (e.g. Zara or H&M),32.41 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Nike Running Shoes (Mid-Range),96.29 €,Eastern Europe & The Balkans,Bulgaria,Sofia
Men's Leather Business Shoes,101.73 €,Eastern Europe & The Balkans,Bulgaria,Sofia
1 Bedroom Apartment in City Centre,657.95 €,Eastern Europe & The Balkans,Bulgaria,Sofia
1 Bedroom Apartment Outside of City Centre,508.41 €,Eastern Europe & The Balkans,Bulgaria,Sofia
3 Bedroom Apartment in City Centre,"1,185.55 €",Eastern Europe & The Balkans,Bulgaria,Sofia
