Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"10,000.00 CL$",Latin America,Chile,Santiago
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","45,000.00 CL$",Latin America,Chile,Santiago
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"7,759.50 CL$",Latin America,Chile,Santiago
Domestic Draft Beer (1 Pint),"3,500.00 CL$",Latin America,Chile,Santiago
Imported Beer (12 oz Small Bottle),"4,450.00 CL$",Latin America,Chile,Santiago
Cappuccino (Regular Size),"2,976.00 CL$",Latin America,Chile,Santiago
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","1,608.33 CL$",Latin America,Chile,Santiago
Bottled Water (12 oz),"1,165.00 CL$",Latin America,Chile,Santiago
"Milk (Regular, 1 Liter)","1,153.08 CL$",Latin America,Chile,Santiago
Fresh White Bread (1 lb Loaf),"1,381.92 CL$",Latin America,Chile,Santiago
White Rice (1 lb),910.78 CL$,Latin America,Chile,Santiago
"Eggs (12, Large Size)","3,883.60 CL$",Latin America,Chile,Santiago
Local Cheese (1 lb),"4,438.56 CL$",Latin America,Chile,Santiago
Chicken Fillets (1 lb),"2,903.90 CL$",Latin America,Chile,Santiago
Beef Round or Equivalent Back Leg Red Meat (1 lb),"4,647.18 CL$",Latin America,Chile,Santiago
Apples (1 lb),867.50 CL$,Latin America,Chile,Santiago
Bananas (1 lb),666.16 CL$,Latin America,Chile,Santiago
Oranges (1 lb),836.19 CL$,Latin America,Chile,Santiago
Tomatoes (1 lb),786.61 CL$,Latin America,Chile,Santiago
Potatoes (1 lb),621.28 CL$,Latin America,Chile,Santiago
Onions (1 lb),703.07 CL$,Latin America,Chile,Santiago
Lettuce (1 Head),"1,280.40 CL$",Latin America,Chile,Santiago
Bottled Water (50 oz),"1,127.39 CL$",Latin America,Chile,Santiago
Bottle of Wine (Mid-Range),"6,000.00 CL$",Latin America,Chile,Santiago
Domestic Beer (16.9 oz Bottle),"1,540.06 CL$",Latin America,Chile,Santiago
Imported Beer (12 oz Small Bottle),"2,314.10 CL$",Latin America,Chile,Santiago
"Cigarettes (Pack of 20, Marlboro)","5,300.00 CL$",Latin America,Chile,Santiago
One-Way Ticket (Local Transport),800.00 CL$,Latin America,Chile,Santiago
Monthly Public Transport Pass (Regular Price),"40,000.00 CL$",Latin America,Chile,Santiago
Taxi Start (Standard Tariff),400.00 CL$,Latin America,Chile,Santiago
Taxi 1 mile (Standard Tariff),"1,287.48 CL$",Latin America,Chile,Santiago
Taxi 1 Hour Waiting (Standard Tariff),"11,400.00 CL$",Latin America,Chile,Santiago
Gasoline (1 Liter),"1,293.31 CL$",Latin America,Chile,Santiago
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"17,670,000.00 CL$",Latin America,Chile,Santiago
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"23,027,777.78 CL$",Latin America,Chile,Santiago
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","133,489.41 CL$",Latin America,Chile,Santiago
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","13,057.92 CL$",Latin America,Chile,Santiago
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","20,787.08 CL$",Latin America,Chile,Santiago
Monthly Fitness Club Membership,"31,312.50 CL$",Latin America,Chile,Santiago
"Tennis Court Rental (1 Hour, Weekend)","13,336.84 CL$",Latin America,Chile,Santiago
Cinema Ticket (International Release),"7,000.00 CL$",Latin America,Chile,Santiago
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","435,333.33 CL$",Latin America,Chile,Santiago
"International Primary School, Annual Tuition per Child","9,675,506.53 CL$",Latin America,Chile,Santiago
Jeans (Levi's 501 or Similar),"50,051.58 CL$",Latin America,Chile,Santiago
Summer Dress in a Chain Store (e.g. Zara or H&M),"27,190.78 CL$",Latin America,Chile,Santiago
Nike Running Shoes (Mid-Range),"69,684.41 CL$",Latin America,Chile,Santiago
Men's Leather Business Shoes,"74,202.74 CL$",Latin America,Chile,Santiago
1 Bedroom Apartment in City Centre,"515,454.55 CL$",Latin America,Chile,Santiago
1 Bedroom Apartment Outside of City Centre,"393,653.85 CL$",Latin America,Chile,Santiago
3 Bedroom Apartment in City Centre,"976,363.64 CL$",Latin America,Chile,Santiago
3 Bedroom Apartment Outside of City Centre,"771,153.85 CL$",Latin America,Chile,Santiago
Price per Square Feet to Buy Apartment in City Centre,"229,784.57 CL$",Latin America,Chile,Santiago
Price per Square Feet to Buy Apartment Outside of Centre,"245,259.75 CL$",Latin America,Chile,Santiago
Average Monthly Net Salary (After Tax),"754,696.39 CL$",Latin America,Chile,Santiago
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.39,Latin America,Chile,Santiago
