Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"25,000.00 Col$",Latin America,Colombia,Bogota
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","125,000.00 Col$",Latin America,Colombia,Bogota
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"30,000.00 Col$",Latin America,Colombia,Bogota
Domestic Draft Beer (1 Pint),"5,500.00 Col$",Latin America,Colombia,Bogota
Imported Beer (12 oz Small Bottle),"9,000.00 Col$",Latin America,Colombia,Bogota
Cappuccino (Regular Size),"7,415.39 Col$",Latin America,Colombia,Bogota
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","4,043.64 Col$",Latin America,Colombia,Bogota
Bottled Water (12 oz),"2,485.71 Col$",Latin America,Colombia,Bogota
"Milk (Regular, 1 Liter)","5,025.00 Col$",Latin America,Colombia,Bogota
Fresh White Bread (1 lb Loaf),"5,412.92 Col$",Latin America,Colombia,Bogota
White Rice (1 lb),"2,261.64 Col$",Latin America,Colombia,Bogota
"Eggs (12, Large Size)","8,905.93 Col$",Latin America,Colombia,Bogota
Local Cheese (1 lb),"9,261.54 Col$",Latin America,Colombia,Bogota
Chicken Fillets (1 lb),"9,738.90 Col$",Latin America,Colombia,Bogota
Beef Round or Equivalent Back Leg Red Meat (1 lb),"13,738.29 Col$",Latin America,Colombia,Bogota
Apples (1 lb),"5,382.08 Col$",Latin America,Colombia,Bogota
Bananas (1 lb),"2,036.22 Col$",Latin America,Colombia,Bogota
Oranges (1 lb),"2,796.69 Col$",Latin America,Colombia,Bogota
Tomatoes (1 lb),"2,455.63 Col$",Latin America,Colombia,Bogota
Potatoes (1 lb),"2,333.81 Col$",Latin America,Colombia,Bogota
Onions (1 lb),"2,300.98 Col$",Latin America,Colombia,Bogota
Lettuce (1 Head),"3,450.81 Col$",Latin America,Colombia,Bogota
Bottled Water (50 oz),"3,291.98 Col$",Latin America,Colombia,Bogota
Bottle of Wine (Mid-Range),"43,300.00 Col$",Latin America,Colombia,Bogota
Domestic Beer (16.9 oz Bottle),"4,495.71 Col$",Latin America,Colombia,Bogota
Imported Beer (12 oz Small Bottle),"7,888.62 Col$",Latin America,Colombia,Bogota
"Cigarettes (Pack of 20, Marlboro)","12,400.00 Col$",Latin America,Colombia,Bogota
One-Way Ticket (Local Transport),"3,300.00 Col$",Latin America,Colombia,Bogota
Monthly Public Transport Pass (Regular Price),"160,000.00 Col$",Latin America,Colombia,Bogota
Taxi Start (Standard Tariff),"6,300.00 Col$",Latin America,Colombia,Bogota
Taxi 1 mile (Standard Tariff),"11,426.35 Col$",Latin America,Colombia,Bogota
Taxi 1 Hour Waiting (Standard Tariff),"30,000.00 Col$",Latin America,Colombia,Bogota
Gasoline (1 Liter),"4,172.91 Col$",Latin America,Colombia,Bogota
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"69,500,000.00 Col$",Latin America,Colombia,Bogota
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"106,376,470.59 Col$",Latin America,Colombia,Bogota
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","342,933.49 Col$",Latin America,Colombia,Bogota
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","48,111.76 Col$",Latin America,Colombia,Bogota
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","109,115.38 Col$",Latin America,Colombia,Bogota
Monthly Fitness Club Membership,"101,160.00 Col$",Latin America,Colombia,Bogota
"Tennis Court Rental (1 Hour, Weekend)","47,417.65 Col$",Latin America,Colombia,Bogota
Cinema Ticket (International Release),"20,000.00 Col$",Latin America,Colombia,Bogota
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,371,052.63 Col$",Latin America,Colombia,Bogota
"International Primary School, Annual Tuition per Child","32,116,666.67 Col$",Latin America,Colombia,Bogota
Jeans (Levi's 501 or Similar),"237,303.85 Col$",Latin America,Colombia,Bogota
Summer Dress in a Chain Store (e.g. Zara or H&M),"173,217.39 Col$",Latin America,Colombia,Bogota
Nike Running Shoes (Mid-Range),"408,423.08 Col$",Latin America,Colombia,Bogota
Men's Leather Business Shoes,"378,739.95 Col$",Latin America,Colombia,Bogota
1 Bedroom Apartment in City Centre,"2,055,479.13 Col$",Latin America,Colombia,Bogota
1 Bedroom Apartment Outside of City Centre,"1,501,622.57 Col$",Latin America,Colombia,Bogota
3 Bedroom Apartment in City Centre,"3,543,515.12 Col$",Latin America,Colombia,Bogota
3 Bedroom Apartment Outside of City Centre,"3,009,524.84 Col$",Latin America,Colombia,Bogota
Price per Square Feet to Buy Apartment in City Centre,"745,338.10 Col$",Latin America,Colombia,Bogota
Price per Square Feet to Buy Apartment Outside of Centre,"499,155.27 Col$",Latin America,Colombia,Bogota
Average Monthly Net Salary (After Tax),"1,894,301.77 Col$",Latin America,Colombia,Bogota
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",12.43,Latin America,Colombia,Bogota
