Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"25,000.00 Col$",Latin America,Colombia,Medellin
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","130,000.00 Col$",Latin America,Colombia,Medellin
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"30,000.00 Col$",Latin America,Colombia,Medellin
Domestic Draft Beer (1 Pint),"7,000.00 Col$",Latin America,Colombia,Medellin
Imported Beer (12 oz Small Bottle),"12,000.00 Col$",Latin America,Colombia,Medellin
Cappuccino (Regular Size),"7,095.79 Col$",Latin America,Colombia,Medellin
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","4,800.78 Col$",Latin America,Colombia,Medellin
Bottled Water (12 oz),"3,209.18 Col$",Latin America,Colombia,Medellin
"Milk (Regular, 1 Liter)","4,317.12 Col$",Latin America,Colombia,Medellin
Fresh White Bread (1 lb Loaf),"5,279.23 Col$",Latin America,Colombia,Medellin
White Rice (1 lb),"2,532.12 Col$",Latin America,Colombia,Medellin
"Eggs (12, Large Size)","8,916.79 Col$",Latin America,Colombia,Medellin
Local Cheese (1 lb),"8,773.79 Col$",Latin America,Colombia,Medellin
Chicken Fillets (1 lb),"11,872.37 Col$",Latin America,Colombia,Medellin
Beef Round or Equivalent Back Leg Red Meat (1 lb),"15,571.55 Col$",Latin America,Colombia,Medellin
Apples (1 lb),"4,618.85 Col$",Latin America,Colombia,Medellin
Bananas (1 lb),"1,987.92 Col$",Latin America,Colombia,Medellin
Oranges (1 lb),"2,677.81 Col$",Latin America,Colombia,Medellin
Tomatoes (1 lb),"2,552.67 Col$",Latin America,Colombia,Medellin
Potatoes (1 lb),"2,194.93 Col$",Latin America,Colombia,Medellin
Onions (1 lb),"1,971.25 Col$",Latin America,Colombia,Medellin
Lettuce (1 Head),"3,418.37 Col$",Latin America,Colombia,Medellin
Bottled Water (50 oz),"3,763.75 Col$",Latin America,Colombia,Medellin
Bottle of Wine (Mid-Range),"34,995.83 Col$",Latin America,Colombia,Medellin
Domestic Beer (16.9 oz Bottle),"4,604.98 Col$",Latin America,Colombia,Medellin
Imported Beer (12 oz Small Bottle),"9,740.32 Col$",Latin America,Colombia,Medellin
"Cigarettes (Pack of 20, Marlboro)","12,357.28 Col$",Latin America,Colombia,Medellin
One-Way Ticket (Local Transport),"3,470.00 Col$",Latin America,Colombia,Medellin
Monthly Public Transport Pass (Regular Price),"248,000.00 Col$",Latin America,Colombia,Medellin
Taxi Start (Standard Tariff),"5,500.00 Col$",Latin America,Colombia,Medellin
Taxi 1 mile (Standard Tariff),"10,702.14 Col$",Latin America,Colombia,Medellin
Taxi 1 Hour Waiting (Standard Tariff),"26,500.00 Col$",Latin America,Colombia,Medellin
Gasoline (1 Liter),"4,184.76 Col$",Latin America,Colombia,Medellin
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"87,990,000.00 Col$",Latin America,Colombia,Medellin
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"112,583,218.19 Col$",Latin America,Colombia,Medellin
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","345,000.00 Col$",Latin America,Colombia,Medellin
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","42,223.81 Col$",Latin America,Colombia,Medellin
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","100,494.12 Col$",Latin America,Colombia,Medellin
Monthly Fitness Club Membership,"110,166.69 Col$",Latin America,Colombia,Medellin
"Tennis Court Rental (1 Hour, Weekend)","62,857.14 Col$",Latin America,Colombia,Medellin
Cinema Ticket (International Release),"16,500.00 Col$",Latin America,Colombia,Medellin
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","2,252,599.36 Col$",Latin America,Colombia,Medellin
"International Primary School, Annual Tuition per Child","27,568,454.44 Col$",Latin America,Colombia,Medellin
Jeans (Levi's 501 or Similar),"269,765.20 Col$",Latin America,Colombia,Medellin
Summer Dress in a Chain Store (e.g. Zara or H&M),"152,608.99 Col$",Latin America,Colombia,Medellin
Nike Running Shoes (Mid-Range),"444,283.42 Col$",Latin America,Colombia,Medellin
Men's Leather Business Shoes,"408,361.37 Col$",Latin America,Colombia,Medellin
1 Bedroom Apartment in City Centre,"2,358,675.57 Col$",Latin America,Colombia,Medellin
1 Bedroom Apartment Outside of City Centre,"1,652,649.13 Col$",Latin America,Colombia,Medellin
3 Bedroom Apartment in City Centre,"4,505,758.37 Col$",Latin America,Colombia,Medellin
3 Bedroom Apartment Outside of City Centre,"3,048,675.57 Col$",Latin America,Colombia,Medellin
Price per Square Feet to Buy Apartment in City Centre,"1,037,119.62 Col$",Latin America,Colombia,Medellin
Price per Square Feet to Buy Apartment Outside of Centre,"457,141.09 Col$",Latin America,Colombia,Medellin
Average Monthly Net Salary (After Tax),"1,994,894.83 Col$",Latin America,Colombia,Medellin
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.00,Latin America,Colombia,Medellin
