Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,25.00 $,Latin America,Costa Rica,San Jose
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",100.00 $,Latin America,Costa Rica,San Jose
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 $,Latin America,Costa Rica,San Jose
Domestic Draft Beer (1 Pint),9.00 $,Latin America,Costa Rica,San Jose
Imported Beer (12 oz Small Bottle),10.50 $,Latin America,Costa Rica,San Jose
Cappuccino (Regular Size),5.68 $,Latin America,Costa Rica,San Jose
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.40 $,Latin America,Costa Rica,San Jose
Bottled Water (12 oz),2.33 $,Latin America,Costa Rica,San Jose
"Milk (Regular, 1 Liter)",1.57 $,Latin America,Costa Rica,San Jose
Fresh White Bread (1 lb Loaf),4.22 $,Latin America,Costa Rica,San Jose
White Rice (1 lb),1.98 $,Latin America,Costa Rica,San Jose
"Eggs (12, Large Size)",5.56 $,Latin America,Costa Rica,San Jose
Local Cheese (1 lb),9.18 $,Latin America,Costa Rica,San Jose
Chicken Fillets (1 lb),5.86 $,Latin America,Costa Rica,San Jose
Beef Round or Equivalent Back Leg Red Meat (1 lb),10.12 $,Latin America,Costa Rica,San Jose
Apples (1 lb),2.88 $,Latin America,Costa Rica,San Jose
Bananas (1 lb),0.98 $,Latin America,Costa Rica,San Jose
Oranges (1 lb),2.64 $,Latin America,Costa Rica,San Jose
Tomatoes (1 lb),2.64 $,Latin America,Costa Rica,San Jose
Potatoes (1 lb),1.81 $,Latin America,Costa Rica,San Jose
Onions (1 lb),1.73 $,Latin America,Costa Rica,San Jose
Lettuce (1 Head),2.67 $,Latin America,Costa Rica,San Jose
Bottled Water (50 oz),2.71 $,Latin America,Costa Rica,San Jose
Bottle of Wine (Mid-Range),15.00 $,Latin America,Costa Rica,San Jose
Domestic Beer (16.9 oz Bottle),2.50 $,Latin America,Costa Rica,San Jose
Imported Beer (12 oz Small Bottle),3.88 $,Latin America,Costa Rica,San Jose
"Cigarettes (Pack of 20, Marlboro)",11.61 $,Latin America,Costa Rica,San Jose
One-Way Ticket (Local Transport),2.50 $,Latin America,Costa Rica,San Jose
Monthly Public Transport Pass (Regular Price),90.00 $,Latin America,Costa Rica,San Jose
Taxi Start (Standard Tariff),3.50 $,Latin America,Costa Rica,San Jose
Taxi 1 mile (Standard Tariff),4.83 $,Latin America,Costa Rica,San Jose
Taxi 1 Hour Waiting (Standard Tariff),30.00 $,Latin America,Costa Rica,San Jose
Gasoline (1 Liter),1.26 $,Latin America,Costa Rica,San Jose
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"36,998.00 $",Latin America,Costa Rica,San Jose
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"26,178.68 $",Latin America,Costa Rica,San Jose
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",273.45 $,Latin America,Costa Rica,San Jose
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",54.10 $,Latin America,Costa Rica,San Jose
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",75.03 $,Latin America,Costa Rica,San Jose
Monthly Fitness Club Membership,147.38 $,Latin America,Costa Rica,San Jose
"Tennis Court Rental (1 Hour, Weekend)",25.25 $,Latin America,Costa Rica,San Jose
Cinema Ticket (International Release),16.75 $,Latin America,Costa Rica,San Jose
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,805.17 $",Latin America,Costa Rica,San Jose
"International Primary School, Annual Tuition per Child","39,800.00 $",Latin America,Costa Rica,San Jose
Jeans (Levi's 501 or Similar),56.85 $,Latin America,Costa Rica,San Jose
Summer Dress in a Chain Store (e.g. Zara or H&M),50.19 $,Latin America,Costa Rica,San Jose
Nike Running Shoes (Mid-Range),98.09 $,Latin America,Costa Rica,San Jose
Men's Leather Business Shoes,128.51 $,Latin America,Costa Rica,San Jose
1 Bedroom Apartment in City Centre,"3,105.38 $",Latin America,Costa Rica,San Jose
1 Bedroom Apartment Outside of City Centre,"2,623.85 $",Latin America,Costa Rica,San Jose
3 Bedroom Apartment in City Centre,"4,977.78 $",Latin America,Costa Rica,San Jose
3 Bedroom Apartment Outside of City Centre,"4,427.69 $",Latin America,Costa Rica,San Jose
Price per Square Feet to Buy Apartment in City Centre,876.38 $,Latin America,Costa Rica,San Jose
Price per Square Feet to Buy Apartment Outside of Centre,916.99 $,Latin America,Costa Rica,San Jose
Average Monthly Net Salary (After Tax),"5,763.77 $",Latin America,Costa Rica,San Jose
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",6.50,Latin America,Costa Rica,San Jose
