Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,17.50 €,Western & Southern Europe,Croatia,Dubrovnik
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",69.00 €,Western & Southern Europe,Croatia,Dubrovnik
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.75 €,Western & Southern Europe,Croatia,Dubrovnik
Domestic Draft Beer (1 Pint),7.00 €,Western & Southern Europe,Croatia,Dubrovnik
Imported Beer (12 oz Small Bottle),5.30 €,Western & Southern Europe,Croatia,Dubrovnik
Cappuccino (Regular Size),3.76 €,Western & Southern Europe,Croatia,Dubrovnik
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",4.02 €,Western & Southern Europe,Croatia,Dubrovnik
Bottled Water (12 oz),3.85 €,Western & Southern Europe,Croatia,Dubrovnik
"Milk (Regular, 1 Liter)",0.95 €,Western & Southern Europe,Croatia,Dubrovnik
Fresh White Bread (1 lb Loaf),1.00 €,Western & Southern Europe,Croatia,Dubrovnik
White Rice (1 lb),0.93 €,Western & Southern Europe,Croatia,Dubrovnik
"Eggs (12, Large Size)",3.08 €,Western & Southern Europe,Croatia,Dubrovnik
Local Cheese (1 lb),4.08 €,Western & Southern Europe,Croatia,Dubrovnik
Chicken Fillets (1 lb),3.86 €,Western & Southern Europe,Croatia,Dubrovnik
Beef Round or Equivalent Back Leg Red Meat (1 lb),3.97 €,Western & Southern Europe,Croatia,Dubrovnik
Apples (1 lb),0.66 €,Western & Southern Europe,Croatia,Dubrovnik
Bananas (1 lb),0.61 €,Western & Southern Europe,Croatia,Dubrovnik
Oranges (1 lb),0.68 €,Western & Southern Europe,Croatia,Dubrovnik
Tomatoes (1 lb),0.86 €,Western & Southern Europe,Croatia,Dubrovnik
Potatoes (1 lb),0.36 €,Western & Southern Europe,Croatia,Dubrovnik
Onions (1 lb),0.37 €,Western & Southern Europe,Croatia,Dubrovnik
Lettuce (1 Head),1.00 €,Western & Southern Europe,Croatia,Dubrovnik
Bottled Water (50 oz),1.10 €,Western & Southern Europe,Croatia,Dubrovnik
Bottle of Wine (Mid-Range),4.00 €,Western & Southern Europe,Croatia,Dubrovnik
Domestic Beer (16.9 oz Bottle),1.17 €,Western & Southern Europe,Croatia,Dubrovnik
Imported Beer (12 oz Small Bottle),2.53 €,Western & Southern Europe,Croatia,Dubrovnik
"Cigarettes (Pack of 20, Marlboro)",4.75 €,Western & Southern Europe,Croatia,Dubrovnik
One-Way Ticket (Local Transport),2.50 €,Western & Southern Europe,Croatia,Dubrovnik
Monthly Public Transport Pass (Regular Price),49.00 €,Western & Southern Europe,Croatia,Dubrovnik
Taxi Start (Standard Tariff),4.00 €,Western & Southern Europe,Croatia,Dubrovnik
Taxi 1 mile (Standard Tariff),1.73 €,Western & Southern Europe,Croatia,Dubrovnik
Taxi 1 Hour Waiting (Standard Tariff),6.50 €,Western & Southern Europe,Croatia,Dubrovnik
Gasoline (1 Liter),1.49 €,Western & Southern Europe,Croatia,Dubrovnik
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"30,000.00 €",Western & Southern Europe,Croatia,Dubrovnik
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"22,403.33 €",Western & Southern Europe,Croatia,Dubrovnik
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",161.21 €,Western & Southern Europe,Croatia,Dubrovnik
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",20.00 €,Western & Southern Europe,Croatia,Dubrovnik
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",35.58 €,Western & Southern Europe,Croatia,Dubrovnik
Monthly Fitness Club Membership,61.67 €,Western & Southern Europe,Croatia,Dubrovnik
"Tennis Court Rental (1 Hour, Weekend)",21.00 €,Western & Southern Europe,Croatia,Dubrovnik
Cinema Ticket (International Release),7.25 €,Western & Southern Europe,Croatia,Dubrovnik
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",80.00 €,Western & Southern Europe,Croatia,Dubrovnik
"International Primary School, Annual Tuition per Child","6,100.00 €",Western & Southern Europe,Croatia,Dubrovnik
Jeans (Levi's 501 or Similar),65.00 €,Western & Southern Europe,Croatia,Dubrovnik
Summer Dress in a Chain Store (e.g. Zara or H&M),25.00 €,Western & Southern Europe,Croatia,Dubrovnik
Nike Running Shoes (Mid-Range),60.00 €,Western & Southern Europe,Croatia,Dubrovnik
Men's Leather Business Shoes,70.00 €,Western & Southern Europe,Croatia,Dubrovnik
1 Bedroom Apartment in City Centre,"1,310.00 €",Western & Southern Europe,Croatia,Dubrovnik
1 Bedroom Apartment Outside of City Centre,821.00 €,Western & Southern Europe,Croatia,Dubrovnik
3 Bedroom Apartment in City Centre,"1,787.50 €",Western & Southern Europe,Croatia,Dubrovnik
3 Bedroom Apartment Outside of City Centre,"1,142.50 €",Western & Southern Europe,Croatia,Dubrovnik
Price per Square Feet to Buy Apartment in City Centre,644.74 €,Western & Southern Europe,Croatia,Dubrovnik
Price per Square Feet to Buy Apartment Outside of Centre,349.76 €,Western & Southern Europe,Croatia,Dubrovnik
Average Monthly Net Salary (After Tax),"1,280.26 €",Western & Southern Europe,Croatia,Dubrovnik
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.79,Western & Southern Europe,Croatia,Dubrovnik
