Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Croatia,Split
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",70.00 €,Western & Southern Europe,Croatia,Split
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),9.50 €,Western & Southern Europe,Croatia,Split
Domestic Draft Beer (1 Pint),4.50 €,Western & Southern Europe,Croatia,Split
Imported Beer (12 oz Small Bottle),4.50 €,Western & Southern Europe,Croatia,Split
Cappuccino (Regular Size),2.64 €,Western & Southern Europe,Croatia,Split
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.24 €,Western & Southern Europe,Croatia,Split
Bottled Water (12 oz),2.59 €,Western & Southern Europe,Croatia,Split
"Milk (Regular, 1 Liter)",1.17 €,Western & Southern Europe,Croatia,Split
Fresh White Bread (1 lb Loaf),1.65 €,Western & Southern Europe,Croatia,Split
White Rice (1 lb),1.67 €,Western & Southern Europe,Croatia,Split
"Eggs (12, Large Size)",3.42 €,Western & Southern Europe,Croatia,Split
Local Cheese (1 lb),5.80 €,Western & Southern Europe,Croatia,Split
Chicken Fillets (1 lb),3.38 €,Western & Southern Europe,Croatia,Split
Beef Round or Equivalent Back Leg Red Meat (1 lb),6.04 €,Western & Southern Europe,Croatia,Split
Apples (1 lb),0.85 €,Western & Southern Europe,Croatia,Split
Bananas (1 lb),0.78 €,Western & Southern Europe,Croatia,Split
Oranges (1 lb),0.78 €,Western & Southern Europe,Croatia,Split
Tomatoes (1 lb),1.05 €,Western & Southern Europe,Croatia,Split
Potatoes (1 lb),0.58 €,Western & Southern Europe,Croatia,Split
Onions (1 lb),0.47 €,Western & Southern Europe,Croatia,Split
Lettuce (1 Head),1.18 €,Western & Southern Europe,Croatia,Split
Bottled Water (50 oz),1.12 €,Western & Southern Europe,Croatia,Split
Bottle of Wine (Mid-Range),8.00 €,Western & Southern Europe,Croatia,Split
Domestic Beer (16.9 oz Bottle),1.51 €,Western & Southern Europe,Croatia,Split
Imported Beer (12 oz Small Bottle),1.98 €,Western & Southern Europe,Croatia,Split
"Cigarettes (Pack of 20, Marlboro)",5.15 €,Western & Southern Europe,Croatia,Split
One-Way Ticket (Local Transport),1.00 €,Western & Southern Europe,Croatia,Split
Monthly Public Transport Pass (Regular Price),35.00 €,Western & Southern Europe,Croatia,Split
Taxi Start (Standard Tariff),3.32 €,Western & Southern Europe,Croatia,Split
Taxi 1 mile (Standard Tariff),2.99 €,Western & Southern Europe,Croatia,Split
Taxi 1 Hour Waiting (Standard Tariff),26.34 €,Western & Southern Europe,Croatia,Split
Gasoline (1 Liter),1.49 €,Western & Southern Europe,Croatia,Split
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"29,000.00 €",Western & Southern Europe,Croatia,Split
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"22,327.00 €",Western & Southern Europe,Croatia,Split
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",200.66 €,Western & Southern Europe,Croatia,Split
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",19.92 €,Western & Southern Europe,Croatia,Split
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",37.05 €,Western & Southern Europe,Croatia,Split
Monthly Fitness Club Membership,54.46 €,Western & Southern Europe,Croatia,Split
"Tennis Court Rental (1 Hour, Weekend)",12.62 €,Western & Southern Europe,Croatia,Split
Cinema Ticket (International Release),8.00 €,Western & Southern Europe,Croatia,Split
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",550.72 €,Western & Southern Europe,Croatia,Split
"International Primary School, Annual Tuition per Child","11,350.00 €",Western & Southern Europe,Croatia,Split
Jeans (Levi's 501 or Similar),73.50 €,Western & Southern Europe,Croatia,Split
Summer Dress in a Chain Store (e.g. Zara or H&M),30.35 €,Western & Southern Europe,Croatia,Split
Nike Running Shoes (Mid-Range),97.27 €,Western & Southern Europe,Croatia,Split
Men's Leather Business Shoes,82.00 €,Western & Southern Europe,Croatia,Split
1 Bedroom Apartment in City Centre,919.50 €,Western & Southern Europe,Croatia,Split
1 Bedroom Apartment Outside of City Centre,666.14 €,Western & Southern Europe,Croatia,Split
3 Bedroom Apartment in City Centre,"1,752.86 €",Western & Southern Europe,Croatia,Split
3 Bedroom Apartment Outside of City Centre,"1,189.20 €",Western & Southern Europe,Croatia,Split
Price per Square Feet to Buy Apartment in City Centre,555.53 €,Western & Southern Europe,Croatia,Split
Price per Square Feet to Buy Apartment Outside of Centre,388.99 €,Western & Southern Europe,Croatia,Split
Average Monthly Net Salary (After Tax),"1,430.22 €",Western & Southern Europe,Croatia,Split
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.53,Western & Southern Europe,Croatia,Split
