Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,12.00 €,Western & Southern Europe,Croatia,Zagreb
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,Croatia,Zagreb
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.00 €,Western & Southern Europe,Croatia,Zagreb
Domestic Draft Beer (1 Pint),3.00 €,Western & Southern Europe,Croatia,Zagreb
Imported Beer (12 oz Small Bottle),4.00 €,Western & Southern Europe,Croatia,Zagreb
Cappuccino (Regular Size),2.15 €,Western & Southern Europe,Croatia,Zagreb
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.47 €,Western & Southern Europe,Croatia,Zagreb
Bottled Water (12 oz),2.18 €,Western & Southern Europe,Croatia,Zagreb
"Milk (Regular, 1 Liter)",1.19 €,Western & Southern Europe,Croatia,Zagreb
Fresh White Bread (1 lb Loaf),1.49 €,Western & Southern Europe,Croatia,Zagreb
White Rice (1 lb),1.18 €,Western & Southern Europe,Croatia,Zagreb
"Eggs (12, Large Size)",3.48 €,Western & Southern Europe,Croatia,Zagreb
Local Cheese (1 lb),5.10 €,Western & Southern Europe,Croatia,Zagreb
Chicken Fillets (1 lb),4.54 €,Western & Southern Europe,Croatia,Zagreb
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.23 €,Western & Southern Europe,Croatia,Zagreb
Apples (1 lb),0.76 €,Western & Southern Europe,Croatia,Zagreb
Bananas (1 lb),0.71 €,Western & Southern Europe,Croatia,Zagreb
Oranges (1 lb),0.83 €,Western & Southern Europe,Croatia,Zagreb
Tomatoes (1 lb),1.18 €,Western & Southern Europe,Croatia,Zagreb
Potatoes (1 lb),0.57 €,Western & Southern Europe,Croatia,Zagreb
Onions (1 lb),0.53 €,Western & Southern Europe,Croatia,Zagreb
Lettuce (1 Head),1.12 €,Western & Southern Europe,Croatia,Zagreb
Bottled Water (50 oz),1.12 €,Western & Southern Europe,Croatia,Zagreb
Bottle of Wine (Mid-Range),7.00 €,Western & Southern Europe,Croatia,Zagreb
Domestic Beer (16.9 oz Bottle),1.56 €,Western & Southern Europe,Croatia,Zagreb
Imported Beer (12 oz Small Bottle),2.11 €,Western & Southern Europe,Croatia,Zagreb
"Cigarettes (Pack of 20, Marlboro)",5.00 €,Western & Southern Europe,Croatia,Zagreb
One-Way Ticket (Local Transport),0.53 €,Western & Southern Europe,Croatia,Zagreb
Monthly Public Transport Pass (Regular Price),49.00 €,Western & Southern Europe,Croatia,Zagreb
Taxi Start (Standard Tariff),2.00 €,Western & Southern Europe,Croatia,Zagreb
Taxi 1 mile (Standard Tariff),1.61 €,Western & Southern Europe,Croatia,Zagreb
Taxi 1 Hour Waiting (Standard Tariff),8.90 €,Western & Southern Europe,Croatia,Zagreb
Gasoline (1 Liter),1.49 €,Western & Southern Europe,Croatia,Zagreb
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"29,000.00 €",Western & Southern Europe,Croatia,Zagreb
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"22,843.64 €",Western & Southern Europe,Croatia,Zagreb
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",186.11 €,Western & Southern Europe,Croatia,Zagreb
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",18.84 €,Western & Southern Europe,Croatia,Zagreb
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",32.53 €,Western & Southern Europe,Croatia,Zagreb
Monthly Fitness Club Membership,49.31 €,Western & Southern Europe,Croatia,Zagreb
"Tennis Court Rental (1 Hour, Weekend)",15.68 €,Western & Southern Europe,Croatia,Zagreb
Cinema Ticket (International Release),7.50 €,Western & Southern Europe,Croatia,Zagreb
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",412.40 €,Western & Southern Europe,Croatia,Zagreb
"International Primary School, Annual Tuition per Child","10,464.06 €",Western & Southern Europe,Croatia,Zagreb
Jeans (Levi's 501 or Similar),87.30 €,Western & Southern Europe,Croatia,Zagreb
Summer Dress in a Chain Store (e.g. Zara or H&M),34.79 €,Western & Southern Europe,Croatia,Zagreb
Nike Running Shoes (Mid-Range),85.18 €,Western & Southern Europe,Croatia,Zagreb
Men's Leather Business Shoes,97.68 €,Western & Southern Europe,Croatia,Zagreb
1 Bedroom Apartment in City Centre,764.00 €,Western & Southern Europe,Croatia,Zagreb
1 Bedroom Apartment Outside of City Centre,575.60 €,Western & Southern Europe,Croatia,Zagreb
3 Bedroom Apartment in City Centre,"1,328.26 €",Western & Southern Europe,Croatia,Zagreb
3 Bedroom Apartment Outside of City Centre,948.91 €,Western & Southern Europe,Croatia,Zagreb
Price per Square Feet to Buy Apartment in City Centre,430.39 €,Western & Southern Europe,Croatia,Zagreb
Price per Square Feet to Buy Apartment Outside of Centre,275.08 €,Western & Southern Europe,Croatia,Zagreb
Average Monthly Net Salary (After Tax),"1,670.84 €",Western & Southern Europe,Croatia,Zagreb
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.19,Western & Southern Europe,Croatia,Zagreb
