Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,20.00 €,Western & Southern Europe,Cyprus,Limassol
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",75.00 €,Western & Southern Europe,Cyprus,Limassol
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),8.00 €,Western & Southern Europe,Cyprus,Limassol
Domestic Draft Beer (1 Pint),4.00 €,Western & Southern Europe,Cyprus,Limassol
Imported Beer (12 oz Small Bottle),5.00 €,Western & Southern Europe,Cyprus,Limassol
Cappuccino (Regular Size),3.51 €,Western & Southern Europe,Cyprus,Limassol
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.76 €,Western & Southern Europe,Cyprus,Limassol
Bottled Water (12 oz),1.09 €,Western & Southern Europe,Cyprus,Limassol
"Milk (Regular, 1 Liter)",1.70 €,Western & Southern Europe,Cyprus,Limassol
Fresh White Bread (1 lb Loaf),1.78 €,Western & Southern Europe,Cyprus,Limassol
White Rice (1 lb),1.19 €,Western & Southern Europe,Cyprus,Limassol
"Eggs (12, Large Size)",3.87 €,Western & Southern Europe,Cyprus,Limassol
Local Cheese (1 lb),4.90 €,Western & Southern Europe,Cyprus,Limassol
Chicken Fillets (1 lb),3.57 €,Western & Southern Europe,Cyprus,Limassol
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.36 €,Western & Southern Europe,Cyprus,Limassol
Apples (1 lb),1.30 €,Western & Southern Europe,Cyprus,Limassol
Bananas (1 lb),0.88 €,Western & Southern Europe,Cyprus,Limassol
Oranges (1 lb),1.14 €,Western & Southern Europe,Cyprus,Limassol
Tomatoes (1 lb),1.36 €,Western & Southern Europe,Cyprus,Limassol
Potatoes (1 lb),0.71 €,Western & Southern Europe,Cyprus,Limassol
Onions (1 lb),0.66 €,Western & Southern Europe,Cyprus,Limassol
Lettuce (1 Head),0.91 €,Western & Southern Europe,Cyprus,Limassol
Bottled Water (50 oz),0.97 €,Western & Southern Europe,Cyprus,Limassol
Bottle of Wine (Mid-Range),8.00 €,Western & Southern Europe,Cyprus,Limassol
Domestic Beer (16.9 oz Bottle),1.43 €,Western & Southern Europe,Cyprus,Limassol
Imported Beer (12 oz Small Bottle),2.36 €,Western & Southern Europe,Cyprus,Limassol
"Cigarettes (Pack of 20, Marlboro)",5.28 €,Western & Southern Europe,Cyprus,Limassol
One-Way Ticket (Local Transport),2.00 €,Western & Southern Europe,Cyprus,Limassol
Monthly Public Transport Pass (Regular Price),40.00 €,Western & Southern Europe,Cyprus,Limassol
Taxi Start (Standard Tariff),7.00 €,Western & Southern Europe,Cyprus,Limassol
Taxi 1 mile (Standard Tariff),3.10 €,Western & Southern Europe,Cyprus,Limassol
Taxi 1 Hour Waiting (Standard Tariff),30.00 €,Western & Southern Europe,Cyprus,Limassol
Gasoline (1 Liter),1.42 €,Western & Southern Europe,Cyprus,Limassol
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"29,400.00 €",Western & Southern Europe,Cyprus,Limassol
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"26,950.00 €",Western & Southern Europe,Cyprus,Limassol
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",198.93 €,Western & Southern Europe,Cyprus,Limassol
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",20.37 €,Western & Southern Europe,Cyprus,Limassol
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",30.53 €,Western & Southern Europe,Cyprus,Limassol
Monthly Fitness Club Membership,82.50 €,Western & Southern Europe,Cyprus,Limassol
"Tennis Court Rental (1 Hour, Weekend)",27.31 €,Western & Southern Europe,Cyprus,Limassol
Cinema Ticket (International Release),10.00 €,Western & Southern Europe,Cyprus,Limassol
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",546.72 €,Western & Southern Europe,Cyprus,Limassol
"International Primary School, Annual Tuition per Child","8,980.67 €",Western & Southern Europe,Cyprus,Limassol
Jeans (Levi's 501 or Similar),84.06 €,Western & Southern Europe,Cyprus,Limassol
Summer Dress in a Chain Store (e.g. Zara or H&M),44.83 €,Western & Southern Europe,Cyprus,Limassol
Nike Running Shoes (Mid-Range),96.92 €,Western & Southern Europe,Cyprus,Limassol
Men's Leather Business Shoes,102.93 €,Western & Southern Europe,Cyprus,Limassol
1 Bedroom Apartment in City Centre,"1,364.29 €",Western & Southern Europe,Cyprus,Limassol
1 Bedroom Apartment Outside of City Centre,"1,167.65 €",Western & Southern Europe,Cyprus,Limassol
3 Bedroom Apartment in City Centre,"2,378.26 €",Western & Southern Europe,Cyprus,Limassol
3 Bedroom Apartment Outside of City Centre,"1,762.50 €",Western & Southern Europe,Cyprus,Limassol
Price per Square Feet to Buy Apartment in City Centre,417.86 €,Western & Southern Europe,Cyprus,Limassol
Price per Square Feet to Buy Apartment Outside of Centre,326.86 €,Western & Southern Europe,Cyprus,Limassol
Average Monthly Net Salary (After Tax),"2,382.05 €",Western & Southern Europe,Cyprus,Limassol
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.11,Western & Southern Europe,Cyprus,Limassol
