Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Cyprus,Nicosia
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,Cyprus,Nicosia
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.75 €,Western & Southern Europe,Cyprus,Nicosia
Domestic Draft Beer (1 Pint),4.00 €,Western & Southern Europe,Cyprus,Nicosia
Imported Beer (12 oz Small Bottle),5.00 €,Western & Southern Europe,Cyprus,Nicosia
Cappuccino (Regular Size),3.21 €,Western & Southern Europe,Cyprus,Nicosia
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.45 €,Western & Southern Europe,Cyprus,Nicosia
Bottled Water (12 oz),0.81 €,Western & Southern Europe,Cyprus,Nicosia
"Milk (Regular, 1 Liter)",1.73 €,Western & Southern Europe,Cyprus,Nicosia
Fresh White Bread (1 lb Loaf),1.66 €,Western & Southern Europe,Cyprus,Nicosia
White Rice (1 lb),1.16 €,Western & Southern Europe,Cyprus,Nicosia
"Eggs (12, Large Size)",4.05 €,Western & Southern Europe,Cyprus,Nicosia
Local Cheese (1 lb),5.49 €,Western & Southern Europe,Cyprus,Nicosia
Chicken Fillets (1 lb),3.70 €,Western & Southern Europe,Cyprus,Nicosia
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.38 €,Western & Southern Europe,Cyprus,Nicosia
Apples (1 lb),1.25 €,Western & Southern Europe,Cyprus,Nicosia
Bananas (1 lb),0.82 €,Western & Southern Europe,Cyprus,Nicosia
Oranges (1 lb),0.90 €,Western & Southern Europe,Cyprus,Nicosia
Tomatoes (1 lb),1.33 €,Western & Southern Europe,Cyprus,Nicosia
Potatoes (1 lb),0.69 €,Western & Southern Europe,Cyprus,Nicosia
Onions (1 lb),0.62 €,Western & Southern Europe,Cyprus,Nicosia
Lettuce (1 Head),0.84 €,Western & Southern Europe,Cyprus,Nicosia
Bottled Water (50 oz),0.95 €,Western & Southern Europe,Cyprus,Nicosia
Bottle of Wine (Mid-Range),7.28 €,Western & Southern Europe,Cyprus,Nicosia
Domestic Beer (16.9 oz Bottle),1.64 €,Western & Southern Europe,Cyprus,Nicosia
Imported Beer (12 oz Small Bottle),2.51 €,Western & Southern Europe,Cyprus,Nicosia
"Cigarettes (Pack of 20, Marlboro)",5.00 €,Western & Southern Europe,Cyprus,Nicosia
One-Way Ticket (Local Transport),2.40 €,Western & Southern Europe,Cyprus,Nicosia
Monthly Public Transport Pass (Regular Price),50.00 €,Western & Southern Europe,Cyprus,Nicosia
Taxi Start (Standard Tariff),5.40 €,Western & Southern Europe,Cyprus,Nicosia
Taxi 1 mile (Standard Tariff),2.80 €,Western & Southern Europe,Cyprus,Nicosia
Taxi 1 Hour Waiting (Standard Tariff),45.00 €,Western & Southern Europe,Cyprus,Nicosia
Gasoline (1 Liter),1.40 €,Western & Southern Europe,Cyprus,Nicosia
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"29,400.00 €",Western & Southern Europe,Cyprus,Nicosia
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"29,100.00 €",Western & Southern Europe,Cyprus,Nicosia
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",186.73 €,Western & Southern Europe,Cyprus,Nicosia
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",19.28 €,Western & Southern Europe,Cyprus,Nicosia
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",29.82 €,Western & Southern Europe,Cyprus,Nicosia
Monthly Fitness Club Membership,64.62 €,Western & Southern Europe,Cyprus,Nicosia
"Tennis Court Rental (1 Hour, Weekend)",18.44 €,Western & Southern Europe,Cyprus,Nicosia
Cinema Ticket (International Release),10.00 €,Western & Southern Europe,Cyprus,Nicosia
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",452.19 €,Western & Southern Europe,Cyprus,Nicosia
"International Primary School, Annual Tuition per Child","8,145.88 €",Western & Southern Europe,Cyprus,Nicosia
Jeans (Levi's 501 or Similar),84.86 €,Western & Southern Europe,Cyprus,Nicosia
Summer Dress in a Chain Store (e.g. Zara or H&M),48.90 €,Western & Southern Europe,Cyprus,Nicosia
Nike Running Shoes (Mid-Range),89.58 €,Western & Southern Europe,Cyprus,Nicosia
Men's Leather Business Shoes,104.42 €,Western & Southern Europe,Cyprus,Nicosia
1 Bedroom Apartment in City Centre,672.38 €,Western & Southern Europe,Cyprus,Nicosia
1 Bedroom Apartment Outside of City Centre,579.41 €,Western & Southern Europe,Cyprus,Nicosia
3 Bedroom Apartment in City Centre,"1,429.41 €",Western & Southern Europe,Cyprus,Nicosia
3 Bedroom Apartment Outside of City Centre,"1,085.29 €",Western & Southern Europe,Cyprus,Nicosia
Price per Square Feet to Buy Apartment in City Centre,252.12 €,Western & Southern Europe,Cyprus,Nicosia
Price per Square Feet to Buy Apartment Outside of Centre,185.14 €,Western & Southern Europe,Cyprus,Nicosia
Average Monthly Net Salary (After Tax),"1,514.24 €",Western & Southern Europe,Cyprus,Nicosia
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.53,Western & Southern Europe,Cyprus,Nicosia
