Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,200.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,000.00 Kč",Eastern Europe & The Balkans,Czechia,Brno
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),200.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Domestic Draft Beer (1 Pint),55.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Imported Beer (12 oz Small Bottle),60.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Cappuccino (Regular Size),73.08 Kč,Eastern Europe & The Balkans,Czechia,Brno
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",41.09 Kč,Eastern Europe & The Balkans,Czechia,Brno
Bottled Water (12 oz),28.50 Kč,Eastern Europe & The Balkans,Czechia,Brno
"Milk (Regular, 1 Liter)",25.07 Kč,Eastern Europe & The Balkans,Czechia,Brno
Fresh White Bread (1 lb Loaf),28.11 Kč,Eastern Europe & The Balkans,Czechia,Brno
White Rice (1 lb),21.90 Kč,Eastern Europe & The Balkans,Czechia,Brno
"Eggs (12, Large Size)",68.49 Kč,Eastern Europe & The Balkans,Czechia,Brno
Local Cheese (1 lb),126.08 Kč,Eastern Europe & The Balkans,Czechia,Brno
Chicken Fillets (1 lb),96.57 Kč,Eastern Europe & The Balkans,Czechia,Brno
Beef Round or Equivalent Back Leg Red Meat (1 lb),135.46 Kč,Eastern Europe & The Balkans,Czechia,Brno
Apples (1 lb),16.92 Kč,Eastern Europe & The Balkans,Czechia,Brno
Bananas (1 lb),16.81 Kč,Eastern Europe & The Balkans,Czechia,Brno
Oranges (1 lb),20.35 Kč,Eastern Europe & The Balkans,Czechia,Brno
Tomatoes (1 lb),38.63 Kč,Eastern Europe & The Balkans,Czechia,Brno
Potatoes (1 lb),12.47 Kč,Eastern Europe & The Balkans,Czechia,Brno
Onions (1 lb),12.07 Kč,Eastern Europe & The Balkans,Czechia,Brno
Lettuce (1 Head),34.54 Kč,Eastern Europe & The Balkans,Czechia,Brno
Bottled Water (50 oz),16.80 Kč,Eastern Europe & The Balkans,Czechia,Brno
Bottle of Wine (Mid-Range),147.45 Kč,Eastern Europe & The Balkans,Czechia,Brno
Domestic Beer (16.9 oz Bottle),19.12 Kč,Eastern Europe & The Balkans,Czechia,Brno
Imported Beer (12 oz Small Bottle),38.48 Kč,Eastern Europe & The Balkans,Czechia,Brno
"Cigarettes (Pack of 20, Marlboro)",159.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
One-Way Ticket (Local Transport),25.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Monthly Public Transport Pass (Regular Price),550.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Taxi Start (Standard Tariff),60.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Taxi 1 mile (Standard Tariff),64.37 Kč,Eastern Europe & The Balkans,Czechia,Brno
Taxi 1 Hour Waiting (Standard Tariff),360.00 Kč,Eastern Europe & The Balkans,Czechia,Brno
Gasoline (1 Liter),35.80 Kč,Eastern Europe & The Balkans,Czechia,Brno
