Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,250.00 Kč,Eastern Europe & The Balkans,Czechia,Prague
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,200.00 Kč",Eastern Europe & The Balkans,Czechia,Prague
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),220.00 Kč,Eastern Europe & The Balkans,Czechia,Prague
Domestic Draft Beer (1 Pint),60.00 Kč,Eastern Europe & The Balkans,Czechia,Prague
Imported Beer (12 oz Small Bottle),70.00 Kč,Eastern Europe & The Balkans,Czechia,Prague
Cappuccino (Regular Size),84.14 Kč,Eastern Europe & The Balkans,Czechia,Prague
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",42.48 Kč,Eastern Europe & The Balkans,Czechia,Prague
Bottled Water (12 oz),33.09 Kč,Eastern Europe & The Balkans,Czechia,Prague
"Milk (Regular, 1 Liter)",26.13 Kč,Eastern Europe & The Balkans,Czechia,Prague
Fresh White Bread (1 lb Loaf),32.57 Kč,Eastern Europe & The Balkans,Czechia,Prague
White Rice (1 lb),24.86 Kč,Eastern Europe & The Balkans,Czechia,Prague
"Eggs (12, Large Size)",79.97 Kč,Eastern Europe & The Balkans,Czechia,Prague
Local Cheese (1 lb),118.22 Kč,Eastern Europe & The Balkans,Czechia,Prague
Chicken Fillets (1 lb),86.35 Kč,Eastern Europe & The Balkans,Czechia,Prague
Beef Round or Equivalent Back Leg Red Meat (1 lb),150.74 Kč,Eastern Europe & The Balkans,Czechia,Prague
Apples (1 lb),19.87 Kč,Eastern Europe & The Balkans,Czechia,Prague
Bananas (1 lb),18.53 Kč,Eastern Europe & The Balkans,Czechia,Prague
Oranges (1 lb),22.51 Kč,Eastern Europe & The Balkans,Czechia,Prague
Tomatoes (1 lb),35.81 Kč,Eastern Europe & The Balkans,Czechia,Prague
Potatoes (1 lb),12.69 Kč,Eastern Europe & The Balkans,Czechia,Prague
Onions (1 lb),12.28 Kč,Eastern Europe & The Balkans,Czechia,Prague
Lettuce (1 Head),38.46 Kč,Eastern Europe & The Balkans,Czechia,Prague
