Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,3.50 $,Latin America,Ecuador,Cuenca
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",30.00 $,Latin America,Ecuador,Cuenca
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),8.00 $,Latin America,Ecuador,Cuenca
Domestic Draft Beer (1 Pint),2.00 $,Latin America,Ecuador,Cuenca
Imported Beer (12 oz Small Bottle),3.50 $,Latin America,Ecuador,Cuenca
Cappuccino (Regular Size),2.64 $,Latin America,Ecuador,Cuenca
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",0.81 $,Latin America,Ecuador,Cuenca
Bottled Water (12 oz),0.68 $,Latin America,Ecuador,Cuenca
"Milk (Regular, 1 Liter)",1.09 $,Latin America,Ecuador,Cuenca
Fresh White Bread (1 lb Loaf),1.54 $,Latin America,Ecuador,Cuenca
White Rice (1 lb),0.89 $,Latin America,Ecuador,Cuenca
"Eggs (12, Large Size)",2.26 $,Latin America,Ecuador,Cuenca
Local Cheese (1 lb),2.56 $,Latin America,Ecuador,Cuenca
Chicken Fillets (1 lb),2.41 $,Latin America,Ecuador,Cuenca
Beef Round or Equivalent Back Leg Red Meat (1 lb),3.39 $,Latin America,Ecuador,Cuenca
Apples (1 lb),0.86 $,Latin America,Ecuador,Cuenca
Bananas (1 lb),0.48 $,Latin America,Ecuador,Cuenca
Oranges (1 lb),0.72 $,Latin America,Ecuador,Cuenca
Tomatoes (1 lb),0.56 $,Latin America,Ecuador,Cuenca
Potatoes (1 lb),0.74 $,Latin America,Ecuador,Cuenca
Onions (1 lb),0.47 $,Latin America,Ecuador,Cuenca
Lettuce (1 Head),0.64 $,Latin America,Ecuador,Cuenca
Bottled Water (50 oz),1.13 $,Latin America,Ecuador,Cuenca
Bottle of Wine (Mid-Range),10.00 $,Latin America,Ecuador,Cuenca
Domestic Beer (16.9 oz Bottle),1.48 $,Latin America,Ecuador,Cuenca
Imported Beer (12 oz Small Bottle),3.17 $,Latin America,Ecuador,Cuenca
"Cigarettes (Pack of 20, Marlboro)",5.50 $,Latin America,Ecuador,Cuenca
One-Way Ticket (Local Transport),0.35 $,Latin America,Ecuador,Cuenca
Monthly Public Transport Pass (Regular Price),27.50 $,Latin America,Ecuador,Cuenca
Taxi Start (Standard Tariff),0.61 $,Latin America,Ecuador,Cuenca
Taxi 1 mile (Standard Tariff),1.81 $,Latin America,Ecuador,Cuenca
Taxi 1 Hour Waiting (Standard Tariff),13.50 $,Latin America,Ecuador,Cuenca
Gasoline (1 Liter),0.72 $,Latin America,Ecuador,Cuenca
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"25,000.00 $",Latin America,Ecuador,Cuenca
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"28,201.80 $",Latin America,Ecuador,Cuenca
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",37.85 $,Latin America,Ecuador,Cuenca
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",13.81 $,Latin America,Ecuador,Cuenca
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",28.78 $,Latin America,Ecuador,Cuenca
Monthly Fitness Club Membership,30.83 $,Latin America,Ecuador,Cuenca
"Tennis Court Rental (1 Hour, Weekend)",5.25 $,Latin America,Ecuador,Cuenca
Cinema Ticket (International Release),7.38 $,Latin America,Ecuador,Cuenca
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",250.00 $,Latin America,Ecuador,Cuenca
"International Primary School, Annual Tuition per Child","4,525.00 $",Latin America,Ecuador,Cuenca
Jeans (Levi's 501 or Similar),61.23 $,Latin America,Ecuador,Cuenca
Summer Dress in a Chain Store (e.g. Zara or H&M),48.04 $,Latin America,Ecuador,Cuenca
Nike Running Shoes (Mid-Range),98.02 $,Latin America,Ecuador,Cuenca
Men's Leather Business Shoes,73.65 $,Latin America,Ecuador,Cuenca
1 Bedroom Apartment in City Centre,469.23 $,Latin America,Ecuador,Cuenca
1 Bedroom Apartment Outside of City Centre,356.62 $,Latin America,Ecuador,Cuenca
3 Bedroom Apartment in City Centre,715.71 $,Latin America,Ecuador,Cuenca
3 Bedroom Apartment Outside of City Centre,534.29 $,Latin America,Ecuador,Cuenca
Price per Square Feet to Buy Apartment in City Centre,114.99 $,Latin America,Ecuador,Cuenca
Price per Square Feet to Buy Apartment Outside of Centre,78.26 $,Latin America,Ecuador,Cuenca
Average Monthly Net Salary (After Tax),546.44 $,Latin America,Ecuador,Cuenca
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.16,Latin America,Ecuador,Cuenca
