Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,5.00 $,Latin America,Ecuador,Quito
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",42.50 $,Latin America,Ecuador,Quito
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.85 $,Latin America,Ecuador,Quito
Domestic Draft Beer (1 Pint),2.50 $,Latin America,Ecuador,Quito
Imported Beer (12 oz Small Bottle),5.00 $,Latin America,Ecuador,Quito
Cappuccino (Regular Size),3.00 $,Latin America,Ecuador,Quito
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.25 $,Latin America,Ecuador,Quito
Bottled Water (12 oz),1.04 $,Latin America,Ecuador,Quito
"Milk (Regular, 1 Liter)",1.11 $,Latin America,Ecuador,Quito
Fresh White Bread (1 lb Loaf),1.58 $,Latin America,Ecuador,Quito
White Rice (1 lb),0.79 $,Latin America,Ecuador,Quito
"Eggs (12, Large Size)",2.21 $,Latin America,Ecuador,Quito
Local Cheese (1 lb),3.58 $,Latin America,Ecuador,Quito
Chicken Fillets (1 lb),3.11 $,Latin America,Ecuador,Quito
Beef Round or Equivalent Back Leg Red Meat (1 lb),3.93 $,Latin America,Ecuador,Quito
Apples (1 lb),1.05 $,Latin America,Ecuador,Quito
Bananas (1 lb),0.52 $,Latin America,Ecuador,Quito
Oranges (1 lb),0.50 $,Latin America,Ecuador,Quito
Tomatoes (1 lb),0.54 $,Latin America,Ecuador,Quito
Potatoes (1 lb),0.60 $,Latin America,Ecuador,Quito
Onions (1 lb),0.47 $,Latin America,Ecuador,Quito
Lettuce (1 Head),0.81 $,Latin America,Ecuador,Quito
Bottled Water (50 oz),1.01 $,Latin America,Ecuador,Quito
Bottle of Wine (Mid-Range),10.00 $,Latin America,Ecuador,Quito
Domestic Beer (16.9 oz Bottle),1.59 $,Latin America,Ecuador,Quito
Imported Beer (12 oz Small Bottle),3.06 $,Latin America,Ecuador,Quito
"Cigarettes (Pack of 20, Marlboro)",6.00 $,Latin America,Ecuador,Quito
One-Way Ticket (Local Transport),0.35 $,Latin America,Ecuador,Quito
Monthly Public Transport Pass (Regular Price),21.00 $,Latin America,Ecuador,Quito
Taxi Start (Standard Tariff),1.50 $,Latin America,Ecuador,Quito
Taxi 1 mile (Standard Tariff),2.41 $,Latin America,Ecuador,Quito
Taxi 1 Hour Waiting (Standard Tariff),10.00 $,Latin America,Ecuador,Quito
Gasoline (1 Liter),0.78 $,Latin America,Ecuador,Quito
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"21,000.00 $",Latin America,Ecuador,Quito
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"27,715.25 $",Latin America,Ecuador,Quito
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",32.42 $,Latin America,Ecuador,Quito
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",17.69 $,Latin America,Ecuador,Quito
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",27.15 $,Latin America,Ecuador,Quito
Monthly Fitness Club Membership,43.10 $,Latin America,Ecuador,Quito
"Tennis Court Rental (1 Hour, Weekend)",18.00 $,Latin America,Ecuador,Quito
Cinema Ticket (International Release),7.00 $,Latin America,Ecuador,Quito
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",595.00 $,Latin America,Ecuador,Quito
"International Primary School, Annual Tuition per Child","8,457.50 $",Latin America,Ecuador,Quito
Jeans (Levi's 501 or Similar),61.89 $,Latin America,Ecuador,Quito
Summer Dress in a Chain Store (e.g. Zara or H&M),42.75 $,Latin America,Ecuador,Quito
Nike Running Shoes (Mid-Range),113.44 $,Latin America,Ecuador,Quito
Men's Leather Business Shoes,95.42 $,Latin America,Ecuador,Quito
1 Bedroom Apartment in City Centre,483.00 $,Latin America,Ecuador,Quito
1 Bedroom Apartment Outside of City Centre,336.14 $,Latin America,Ecuador,Quito
3 Bedroom Apartment in City Centre,824.94 $,Latin America,Ecuador,Quito
3 Bedroom Apartment Outside of City Centre,543.94 $,Latin America,Ecuador,Quito
Price per Square Feet to Buy Apartment in City Centre,161.24 $,Latin America,Ecuador,Quito
Price per Square Feet to Buy Apartment Outside of Centre,67.80 $,Latin America,Ecuador,Quito
Average Monthly Net Salary (After Tax),646.82 $,Latin America,Ecuador,Quito
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",10.56,Latin America,Ecuador,Quito
