Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",80.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),10.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Domestic Draft Beer (1 Pint),6.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Imported Beer (12 oz Small Bottle),5.75 €,Eastern Europe & The Balkans,Estonia,Tallinn
Cappuccino (Regular Size),3.82 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.17 €,Eastern Europe & The Balkans,Estonia,Tallinn
Bottled Water (12 oz),1.94 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Milk (Regular, 1 Liter)",1.02 €,Eastern Europe & The Balkans,Estonia,Tallinn
Fresh White Bread (1 lb Loaf),1.26 €,Eastern Europe & The Balkans,Estonia,Tallinn
White Rice (1 lb),1.20 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Eggs (12, Large Size)",2.58 €,Eastern Europe & The Balkans,Estonia,Tallinn
Local Cheese (1 lb),4.97 €,Eastern Europe & The Balkans,Estonia,Tallinn
Chicken Fillets (1 lb),3.86 €,Eastern Europe & The Balkans,Estonia,Tallinn
Beef Round or Equivalent Back Leg Red Meat (1 lb),10.04 €,Eastern Europe & The Balkans,Estonia,Tallinn
Apples (1 lb),0.94 €,Eastern Europe & The Balkans,Estonia,Tallinn
Bananas (1 lb),0.63 €,Eastern Europe & The Balkans,Estonia,Tallinn
Oranges (1 lb),1.12 €,Eastern Europe & The Balkans,Estonia,Tallinn
Tomatoes (1 lb),1.41 €,Eastern Europe & The Balkans,Estonia,Tallinn
Potatoes (1 lb),0.42 €,Eastern Europe & The Balkans,Estonia,Tallinn
Onions (1 lb),0.34 €,Eastern Europe & The Balkans,Estonia,Tallinn
Lettuce (1 Head),1.81 €,Eastern Europe & The Balkans,Estonia,Tallinn
Bottled Water (50 oz),0.94 €,Eastern Europe & The Balkans,Estonia,Tallinn
Bottle of Wine (Mid-Range),10.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Domestic Beer (16.9 oz Bottle),1.72 €,Eastern Europe & The Balkans,Estonia,Tallinn
Imported Beer (12 oz Small Bottle),2.13 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Cigarettes (Pack of 20, Marlboro)",6.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
One-Way Ticket (Local Transport),2.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Monthly Public Transport Pass (Regular Price),30.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Taxi Start (Standard Tariff),4.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
Taxi 1 mile (Standard Tariff),1.61 €,Eastern Europe & The Balkans,Estonia,Tallinn
Taxi 1 Hour Waiting (Standard Tariff),15.15 €,Eastern Europe & The Balkans,Estonia,Tallinn
Gasoline (1 Liter),1.58 €,Eastern Europe & The Balkans,Estonia,Tallinn
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"27,500.00 €",Eastern Europe & The Balkans,Estonia,Tallinn
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"29,470.59 €",Eastern Europe & The Balkans,Estonia,Tallinn
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",292.97 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",16.67 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",29.88 €,Eastern Europe & The Balkans,Estonia,Tallinn
Monthly Fitness Club Membership,49.71 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Tennis Court Rental (1 Hour, Weekend)",35.62 €,Eastern Europe & The Balkans,Estonia,Tallinn
Cinema Ticket (International Release),11.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",547.94 €,Eastern Europe & The Balkans,Estonia,Tallinn
"International Primary School, Annual Tuition per Child","8,809.62 €",Eastern Europe & The Balkans,Estonia,Tallinn
Jeans (Levi's 501 or Similar),97.21 €,Eastern Europe & The Balkans,Estonia,Tallinn
Summer Dress in a Chain Store (e.g. Zara or H&M),41.50 €,Eastern Europe & The Balkans,Estonia,Tallinn
Nike Running Shoes (Mid-Range),96.09 €,Eastern Europe & The Balkans,Estonia,Tallinn
Men's Leather Business Shoes,127.92 €,Eastern Europe & The Balkans,Estonia,Tallinn
1 Bedroom Apartment in City Centre,698.53 €,Eastern Europe & The Balkans,Estonia,Tallinn
1 Bedroom Apartment Outside of City Centre,525.00 €,Eastern Europe & The Balkans,Estonia,Tallinn
3 Bedroom Apartment in City Centre,"1,319.58 €",Eastern Europe & The Balkans,Estonia,Tallinn
3 Bedroom Apartment Outside of City Centre,914.50 €,Eastern Europe & The Balkans,Estonia,Tallinn
Price per Square Feet to Buy Apartment in City Centre,437.10 €,Eastern Europe & The Balkans,Estonia,Tallinn
Price per Square Feet to Buy Apartment Outside of Centre,291.81 €,Eastern Europe & The Balkans,Estonia,Tallinn
Average Monthly Net Salary (After Tax),"1,849.90 €",Eastern Europe & The Balkans,Estonia,Tallinn
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.89,Eastern Europe & The Balkans,Estonia,Tallinn
