Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,18.00 €,Western & Southern Europe,France,Bordeaux
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",55.00 €,Western & Southern Europe,France,Bordeaux
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),11.00 €,Western & Southern Europe,France,Bordeaux
Domestic Draft Beer (1 Pint),7.00 €,Western & Southern Europe,France,Bordeaux
Imported Beer (12 oz Small Bottle),6.00 €,Western & Southern Europe,France,Bordeaux
Cappuccino (Regular Size),2.94 €,Western & Southern Europe,France,Bordeaux
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.49 €,Western & Southern Europe,France,Bordeaux
Bottled Water (12 oz),1.43 €,Western & Southern Europe,France,Bordeaux
"Milk (Regular, 1 Liter)",1.07 €,Western & Southern Europe,France,Bordeaux
Fresh White Bread (1 lb Loaf),1.68 €,Western & Southern Europe,France,Bordeaux
White Rice (1 lb),1.15 €,Western & Southern Europe,France,Bordeaux
"Eggs (12, Large Size)",4.12 €,Western & Southern Europe,France,Bordeaux
Local Cheese (1 lb),6.01 €,Western & Southern Europe,France,Bordeaux
Chicken Fillets (1 lb),5.75 €,Western & Southern Europe,France,Bordeaux
Beef Round or Equivalent Back Leg Red Meat (1 lb),8.89 €,Western & Southern Europe,France,Bordeaux
Apples (1 lb),1.35 €,Western & Southern Europe,France,Bordeaux
Bananas (1 lb),0.91 €,Western & Southern Europe,France,Bordeaux
Oranges (1 lb),1.56 €,Western & Southern Europe,France,Bordeaux
Tomatoes (1 lb),1.67 €,Western & Southern Europe,France,Bordeaux
Potatoes (1 lb),0.95 €,Western & Southern Europe,France,Bordeaux
Onions (1 lb),1.12 €,Western & Southern Europe,France,Bordeaux
Lettuce (1 Head),1.50 €,Western & Southern Europe,France,Bordeaux
Bottled Water (50 oz),0.62 €,Western & Southern Europe,France,Bordeaux
Bottle of Wine (Mid-Range),9.00 €,Western & Southern Europe,France,Bordeaux
Domestic Beer (16.9 oz Bottle),3.58 €,Western & Southern Europe,France,Bordeaux
Imported Beer (12 oz Small Bottle),3.75 €,Western & Southern Europe,France,Bordeaux
"Cigarettes (Pack of 20, Marlboro)",11.75 €,Western & Southern Europe,France,Bordeaux
One-Way Ticket (Local Transport),1.95 €,Western & Southern Europe,France,Bordeaux
Monthly Public Transport Pass (Regular Price),42.75 €,Western & Southern Europe,France,Bordeaux
Taxi Start (Standard Tariff),2.00 €,Western & Southern Europe,France,Bordeaux
Taxi 1 mile (Standard Tariff),2.67 €,Western & Southern Europe,France,Bordeaux
Taxi 1 Hour Waiting (Standard Tariff),33.60 €,Western & Southern Europe,France,Bordeaux
Gasoline (1 Liter),1.75 €,Western & Southern Europe,France,Bordeaux
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"30,900.00 €",Western & Southern Europe,France,Bordeaux
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"30,840.00 €",Western & Southern Europe,France,Bordeaux
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",209.22 €,Western & Southern Europe,France,Bordeaux
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",14.62 €,Western & Southern Europe,France,Bordeaux
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",26.62 €,Western & Southern Europe,France,Bordeaux
Monthly Fitness Club Membership,31.25 €,Western & Southern Europe,France,Bordeaux
"Tennis Court Rental (1 Hour, Weekend)",26.67 €,Western & Southern Europe,France,Bordeaux
Cinema Ticket (International Release),11.05 €,Western & Southern Europe,France,Bordeaux
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",708.33 €,Western & Southern Europe,France,Bordeaux
"International Primary School, Annual Tuition per Child","12,000.00 €",Western & Southern Europe,France,Bordeaux
Jeans (Levi's 501 or Similar),100.00 €,Western & Southern Europe,France,Bordeaux
Summer Dress in a Chain Store (e.g. Zara or H&M),43.50 €,Western & Southern Europe,France,Bordeaux
Nike Running Shoes (Mid-Range),87.50 €,Western & Southern Europe,France,Bordeaux
Men's Leather Business Shoes,124.83 €,Western & Southern Europe,France,Bordeaux
1 Bedroom Apartment in City Centre,820.23 €,Western & Southern Europe,France,Bordeaux
1 Bedroom Apartment Outside of City Centre,666.60 €,Western & Southern Europe,France,Bordeaux
3 Bedroom Apartment in City Centre,"1,554.29 €",Western & Southern Europe,France,Bordeaux
3 Bedroom Apartment Outside of City Centre,"1,168.75 €",Western & Southern Europe,France,Bordeaux
Price per Square Feet to Buy Apartment in City Centre,578.18 €,Western & Southern Europe,France,Bordeaux
Price per Square Feet to Buy Apartment Outside of Centre,403.20 €,Western & Southern Europe,France,Bordeaux
Average Monthly Net Salary (After Tax),"2,697.34 €",Western & Southern Europe,France,Bordeaux
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.92,Western & Southern Europe,France,Bordeaux
