Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,France,Lyon
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,France,Lyon
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),11.00 €,Western & Southern Europe,France,Lyon
Domestic Draft Beer (1 Pint),7.00 €,Western & Southern Europe,France,Lyon
Imported Beer (12 oz Small Bottle),5.00 €,Western & Southern Europe,France,Lyon
Cappuccino (Regular Size),3.46 €,Western & Southern Europe,France,Lyon
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.58 €,Western & Southern Europe,France,Lyon
Bottled Water (12 oz),1.73 €,Western & Southern Europe,France,Lyon
"Milk (Regular, 1 Liter)",1.34 €,Western & Southern Europe,France,Lyon
Fresh White Bread (1 lb Loaf),1.69 €,Western & Southern Europe,France,Lyon
White Rice (1 lb),1.06 €,Western & Southern Europe,France,Lyon
"Eggs (12, Large Size)",3.79 €,Western & Southern Europe,France,Lyon
Local Cheese (1 lb),9.89 €,Western & Southern Europe,France,Lyon
Chicken Fillets (1 lb),5.88 €,Western & Southern Europe,France,Lyon
Beef Round or Equivalent Back Leg Red Meat (1 lb),10.87 €,Western & Southern Europe,France,Lyon
Apples (1 lb),1.07 €,Western & Southern Europe,France,Lyon
Bananas (1 lb),1.01 €,Western & Southern Europe,France,Lyon
Oranges (1 lb),1.37 €,Western & Southern Europe,France,Lyon
Tomatoes (1 lb),1.34 €,Western & Southern Europe,France,Lyon
Potatoes (1 lb),1.03 €,Western & Southern Europe,France,Lyon
Onions (1 lb),1.05 €,Western & Southern Europe,France,Lyon
Lettuce (1 Head),1.33 €,Western & Southern Europe,France,Lyon
Bottled Water (50 oz),0.83 €,Western & Southern Europe,France,Lyon
Bottle of Wine (Mid-Range),8.00 €,Western & Southern Europe,France,Lyon
Domestic Beer (16.9 oz Bottle),2.67 €,Western & Southern Europe,France,Lyon
Imported Beer (12 oz Small Bottle),3.02 €,Western & Southern Europe,France,Lyon
"Cigarettes (Pack of 20, Marlboro)",12.50 €,Western & Southern Europe,France,Lyon
One-Way Ticket (Local Transport),2.10 €,Western & Southern Europe,France,Lyon
Monthly Public Transport Pass (Regular Price),74.00 €,Western & Southern Europe,France,Lyon
Taxi Start (Standard Tariff),7.30 €,Western & Southern Europe,France,Lyon
Taxi 1 mile (Standard Tariff),3.15 €,Western & Southern Europe,France,Lyon
Taxi 1 Hour Waiting (Standard Tariff),37.40 €,Western & Southern Europe,France,Lyon
Gasoline (1 Liter),1.74 €,Western & Southern Europe,France,Lyon
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"30,900.00 €",Western & Southern Europe,France,Lyon
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"31,257.14 €",Western & Southern Europe,France,Lyon
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",251.36 €,Western & Southern Europe,France,Lyon
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",12.61 €,Western & Southern Europe,France,Lyon
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",30.67 €,Western & Southern Europe,France,Lyon
Monthly Fitness Club Membership,37.33 €,Western & Southern Europe,France,Lyon
"Tennis Court Rental (1 Hour, Weekend)",25.56 €,Western & Southern Europe,France,Lyon
Cinema Ticket (International Release),13.00 €,Western & Southern Europe,France,Lyon
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",535.26 €,Western & Southern Europe,France,Lyon
"International Primary School, Annual Tuition per Child","10,225.60 €",Western & Southern Europe,France,Lyon
Jeans (Levi's 501 or Similar),103.00 €,Western & Southern Europe,France,Lyon
Summer Dress in a Chain Store (e.g. Zara or H&M),43.00 €,Western & Southern Europe,France,Lyon
Nike Running Shoes (Mid-Range),110.00 €,Western & Southern Europe,France,Lyon
Men's Leather Business Shoes,112.39 €,Western & Southern Europe,France,Lyon
1 Bedroom Apartment in City Centre,829.53 €,Western & Southern Europe,France,Lyon
1 Bedroom Apartment Outside of City Centre,568.83 €,Western & Southern Europe,France,Lyon
3 Bedroom Apartment in City Centre,"1,642.50 €",Western & Southern Europe,France,Lyon
3 Bedroom Apartment Outside of City Centre,975.56 €,Western & Southern Europe,France,Lyon
Price per Square Feet to Buy Apartment in City Centre,543.51 €,Western & Southern Europe,France,Lyon
Price per Square Feet to Buy Apartment Outside of Centre,328.17 €,Western & Southern Europe,France,Lyon
Average Monthly Net Salary (After Tax),"2,729.63 €",Western & Southern Europe,France,Lyon
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.84,Western & Southern Europe,France,Lyon
