Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,France,Paris
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",70.00 €,Western & Southern Europe,France,Paris
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,France,Paris
Domestic Draft Beer (1 Pint),7.00 €,Western & Southern Europe,France,Paris
Imported Beer (12 oz Small Bottle),6.00 €,Western & Southern Europe,France,Paris
Cappuccino (Regular Size),4.40 €,Western & Southern Europe,France,Paris
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.81 €,Western & Southern Europe,France,Paris
Bottled Water (12 oz),2.40 €,Western & Southern Europe,France,Paris
"Milk (Regular, 1 Liter)",1.36 €,Western & Southern Europe,France,Paris
Fresh White Bread (1 lb Loaf),1.57 €,Western & Southern Europe,France,Paris
White Rice (1 lb),1.13 €,Western & Southern Europe,France,Paris
"Eggs (12, Large Size)",4.50 €,Western & Southern Europe,France,Paris
Local Cheese (1 lb),9.71 €,Western & Southern Europe,France,Paris
Chicken Fillets (1 lb),6.52 €,Western & Southern Europe,France,Paris
Beef Round or Equivalent Back Leg Red Meat (1 lb),8.21 €,Western & Southern Europe,France,Paris
Apples (1 lb),1.31 €,Western & Southern Europe,France,Paris
Bananas (1 lb),0.95 €,Western & Southern Europe,France,Paris
Oranges (1 lb),1.16 €,Western & Southern Europe,France,Paris
Tomatoes (1 lb),1.54 €,Western & Southern Europe,France,Paris
Potatoes (1 lb),0.87 €,Western & Southern Europe,France,Paris
Onions (1 lb),1.03 €,Western & Southern Europe,France,Paris
Lettuce (1 Head),1.61 €,Western & Southern Europe,France,Paris
Bottled Water (50 oz),0.71 €,Western & Southern Europe,France,Paris
Bottle of Wine (Mid-Range),8.00 €,Western & Southern Europe,France,Paris
Domestic Beer (16.9 oz Bottle),2.25 €,Western & Southern Europe,France,Paris
Imported Beer (12 oz Small Bottle),3.47 €,Western & Southern Europe,France,Paris
"Cigarettes (Pack of 20, Marlboro)",13.00 €,Western & Southern Europe,France,Paris
One-Way Ticket (Local Transport),2.50 €,Western & Southern Europe,France,Paris
Monthly Public Transport Pass (Regular Price),89.00 €,Western & Southern Europe,France,Paris
Taxi Start (Standard Tariff),8.00 €,Western & Southern Europe,France,Paris
Taxi 1 mile (Standard Tariff),2.41 €,Western & Southern Europe,France,Paris
Taxi 1 Hour Waiting (Standard Tariff),41.06 €,Western & Southern Europe,France,Paris
Gasoline (1 Liter),1.82 €,Western & Southern Europe,France,Paris
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"30,900.00 €",Western & Southern Europe,France,Paris
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"31,920.83 €",Western & Southern Europe,France,Paris
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",230.43 €,Western & Southern Europe,France,Paris
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",14.07 €,Western & Southern Europe,France,Paris
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",28.77 €,Western & Southern Europe,France,Paris
Monthly Fitness Club Membership,38.12 €,Western & Southern Europe,France,Paris
"Tennis Court Rental (1 Hour, Weekend)",17.74 €,Western & Southern Europe,France,Paris
Cinema Ticket (International Release),14.00 €,Western & Southern Europe,France,Paris
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,234.60 €",Western & Southern Europe,France,Paris
"International Primary School, Annual Tuition per Child","19,913.69 €",Western & Southern Europe,France,Paris
Jeans (Levi's 501 or Similar),99.95 €,Western & Southern Europe,France,Paris
Summer Dress in a Chain Store (e.g. Zara or H&M),43.35 €,Western & Southern Europe,France,Paris
Nike Running Shoes (Mid-Range),103.95 €,Western & Southern Europe,France,Paris
Men's Leather Business Shoes,142.44 €,Western & Southern Europe,France,Paris
1 Bedroom Apartment in City Centre,"1,346.19 €",Western & Southern Europe,France,Paris
1 Bedroom Apartment Outside of City Centre,989.35 €,Western & Southern Europe,France,Paris
3 Bedroom Apartment in City Centre,"3,021.15 €",Western & Southern Europe,France,Paris
3 Bedroom Apartment Outside of City Centre,"2,033.33 €",Western & Southern Europe,France,Paris
Price per Square Feet to Buy Apartment in City Centre,"1,155.50 €",Western & Southern Europe,France,Paris
Price per Square Feet to Buy Apartment Outside of Centre,774.54 €,Western & Southern Europe,France,Paris
Average Monthly Net Salary (After Tax),"3,371.06 €",Western & Southern Europe,France,Paris
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.29,Western & Southern Europe,France,Paris
