Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,25.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",80.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),20.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Domestic Draft Beer (1 Pint),5.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Imported Beer (12 oz Small Bottle),6.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Cappuccino (Regular Size),8.39 GEL,Eastern Europe & The Balkans,Georgia,Batumi
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.49 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Bottled Water (12 oz),1.33 GEL,Eastern Europe & The Balkans,Georgia,Batumi
"Milk (Regular, 1 Liter)",4.85 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Fresh White Bread (1 lb Loaf),1.29 GEL,Eastern Europe & The Balkans,Georgia,Batumi
White Rice (1 lb),2.03 GEL,Eastern Europe & The Balkans,Georgia,Batumi
"Eggs (12, Large Size)",6.57 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Local Cheese (1 lb),7.52 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Chicken Fillets (1 lb),6.42 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Beef Round or Equivalent Back Leg Red Meat (1 lb),11.16 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Apples (1 lb),1.36 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Bananas (1 lb),1.94 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Oranges (1 lb),1.74 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Tomatoes (1 lb),2.11 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Potatoes (1 lb),0.75 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Onions (1 lb),0.65 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Lettuce (1 Head),3.77 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Bottled Water (50 oz),1.77 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Bottle of Wine (Mid-Range),15.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Domestic Beer (16.9 oz Bottle),3.86 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Imported Beer (12 oz Small Bottle),5.31 GEL,Eastern Europe & The Balkans,Georgia,Batumi
"Cigarettes (Pack of 20, Marlboro)",8.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
One-Way Ticket (Local Transport),0.30 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Monthly Public Transport Pass (Regular Price),25.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Taxi Start (Standard Tariff),3.00 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Taxi 1 mile (Standard Tariff),2.74 GEL,Eastern Europe & The Balkans,Georgia,Batumi
Taxi 1 Hour Waiting (Standard Tariff),9.25 GEL,Eastern Europe & The Balkans,Georgia,Batumi
