Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,30.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",120.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),24.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Domestic Draft Beer (1 Pint),7.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Imported Beer (12 oz Small Bottle),10.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Cappuccino (Regular Size),8.47 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.46 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Bottled Water (12 oz),1.42 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Milk (Regular, 1 Liter)",5.35 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Fresh White Bread (1 lb Loaf),1.91 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
White Rice (1 lb),2.13 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Eggs (12, Large Size)",6.97 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Local Cheese (1 lb),10.22 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Chicken Fillets (1 lb),8.26 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Beef Round or Equivalent Back Leg Red Meat (1 lb),12.58 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Apples (1 lb),1.75 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Bananas (1 lb),2.06 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Oranges (1 lb),2.35 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Tomatoes (1 lb),2.60 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Potatoes (1 lb),0.94 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Onions (1 lb),0.77 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Lettuce (1 Head),3.61 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Bottled Water (50 oz),1.86 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Bottle of Wine (Mid-Range),20.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Domestic Beer (16.9 oz Bottle),4.66 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Imported Beer (12 oz Small Bottle),6.22 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Cigarettes (Pack of 20, Marlboro)",9.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
One-Way Ticket (Local Transport),1.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Monthly Public Transport Pass (Regular Price),40.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Taxi Start (Standard Tariff),4.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Taxi 1 mile (Standard Tariff),3.22 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Taxi 1 Hour Waiting (Standard Tariff),25.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Gasoline (1 Liter),3.09 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"68,085.00 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"55,205.56 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",230.65 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",31.88 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",54.54 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Monthly Fitness Club Membership,168.60 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Tennis Court Rental (1 Hour, Weekend)",53.76 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Cinema Ticket (International Release),17.00 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",707.35 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
"International Primary School, Annual Tuition per Child","21,248.36 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
Jeans (Levi's 501 or Similar),210.08 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Summer Dress in a Chain Store (e.g. Zara or H&M),115.17 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Nike Running Shoes (Mid-Range),319.32 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Men's Leather Business Shoes,286.32 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
1 Bedroom Apartment in City Centre,"1,891.69 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
1 Bedroom Apartment Outside of City Centre,"1,176.88 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
3 Bedroom Apartment in City Centre,"3,669.41 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
3 Bedroom Apartment Outside of City Centre,"2,201.69 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
Price per Square Feet to Buy Apartment in City Centre,643.04 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Price per Square Feet to Buy Apartment Outside of Centre,358.49 GEL,Eastern Europe & The Balkans,Georgia,Tbilisi
Average Monthly Net Salary (After Tax),"1,694.55 GEL",Eastern Europe & The Balkans,Georgia,Tbilisi
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.95,Eastern Europe & The Balkans,Georgia,Tbilisi
