Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Germany,Berlin
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,Germany,Berlin
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,Germany,Berlin
Domestic Draft Beer (1 Pint),4.50 €,Western & Southern Europe,Germany,Berlin
Imported Beer (12 oz Small Bottle),4.00 €,Western & Southern Europe,Germany,Berlin
Cappuccino (Regular Size),3.93 €,Western & Southern Europe,Germany,Berlin
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.20 €,Western & Southern Europe,Germany,Berlin
Bottled Water (12 oz),2.61 €,Western & Southern Europe,Germany,Berlin
"Milk (Regular, 1 Liter)",1.11 €,Western & Southern Europe,Germany,Berlin
Fresh White Bread (1 lb Loaf),1.75 €,Western & Southern Europe,Germany,Berlin
White Rice (1 lb),1.38 €,Western & Southern Europe,Germany,Berlin
"Eggs (12, Large Size)",3.30 €,Western & Southern Europe,Germany,Berlin
Local Cheese (1 lb),5.63 €,Western & Southern Europe,Germany,Berlin
Chicken Fillets (1 lb),5.13 €,Western & Southern Europe,Germany,Berlin
Beef Round or Equivalent Back Leg Red Meat (1 lb),7.06 €,Western & Southern Europe,Germany,Berlin
Apples (1 lb),1.39 €,Western & Southern Europe,Germany,Berlin
Bananas (1 lb),0.80 €,Western & Southern Europe,Germany,Berlin
Oranges (1 lb),1.09 €,Western & Southern Europe,Germany,Berlin
Tomatoes (1 lb),1.44 €,Western & Southern Europe,Germany,Berlin
Potatoes (1 lb),0.81 €,Western & Southern Europe,Germany,Berlin
Onions (1 lb),0.63 €,Western & Southern Europe,Germany,Berlin
Lettuce (1 Head),1.31 €,Western & Southern Europe,Germany,Berlin
Bottled Water (50 oz),0.92 €,Western & Southern Europe,Germany,Berlin
Bottle of Wine (Mid-Range),6.00 €,Western & Southern Europe,Germany,Berlin
Domestic Beer (16.9 oz Bottle),1.02 €,Western & Southern Europe,Germany,Berlin
Imported Beer (12 oz Small Bottle),1.56 €,Western & Southern Europe,Germany,Berlin
"Cigarettes (Pack of 20, Marlboro)",9.00 €,Western & Southern Europe,Germany,Berlin
One-Way Ticket (Local Transport),3.80 €,Western & Southern Europe,Germany,Berlin
Monthly Public Transport Pass (Regular Price),63.00 €,Western & Southern Europe,Germany,Berlin
Taxi Start (Standard Tariff),5.00 €,Western & Southern Europe,Germany,Berlin
Taxi 1 mile (Standard Tariff),4.51 €,Western & Southern Europe,Germany,Berlin
Taxi 1 Hour Waiting (Standard Tariff),33.00 €,Western & Southern Europe,Germany,Berlin
Gasoline (1 Liter),1.71 €,Western & Southern Europe,Germany,Berlin
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"29,395.00 €",Western & Southern Europe,Germany,Berlin
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"33,539.19 €",Western & Southern Europe,Germany,Berlin
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",338.09 €,Western & Southern Europe,Germany,Berlin
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",15.75 €,Western & Southern Europe,Germany,Berlin
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",43.92 €,Western & Southern Europe,Germany,Berlin
Monthly Fitness Club Membership,31.23 €,Western & Southern Europe,Germany,Berlin
"Tennis Court Rental (1 Hour, Weekend)",28.18 €,Western & Southern Europe,Germany,Berlin
Cinema Ticket (International Release),14.00 €,Western & Southern Europe,Germany,Berlin
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",114.44 €,Western & Southern Europe,Germany,Berlin
"International Primary School, Annual Tuition per Child","9,587.50 €",Western & Southern Europe,Germany,Berlin
Jeans (Levi's 501 or Similar),78.30 €,Western & Southern Europe,Germany,Berlin
Summer Dress in a Chain Store (e.g. Zara or H&M),34.00 €,Western & Southern Europe,Germany,Berlin
Nike Running Shoes (Mid-Range),88.57 €,Western & Southern Europe,Germany,Berlin
Men's Leather Business Shoes,100.15 €,Western & Southern Europe,Germany,Berlin
1 Bedroom Apartment in City Centre,"1,288.10 €",Western & Southern Europe,Germany,Berlin
1 Bedroom Apartment Outside of City Centre,913.39 €,Western & Southern Europe,Germany,Berlin
3 Bedroom Apartment in City Centre,"2,430.00 €",Western & Southern Europe,Germany,Berlin
3 Bedroom Apartment Outside of City Centre,"1,835.71 €",Western & Southern Europe,Germany,Berlin
Price per Square Feet to Buy Apartment in City Centre,690.32 €,Western & Southern Europe,Germany,Berlin
Price per Square Feet to Buy Apartment Outside of Centre,477.48 €,Western & Southern Europe,Germany,Berlin
Average Monthly Net Salary (After Tax),"3,150.91 €",Western & Southern Europe,Germany,Berlin
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.48,Western & Southern Europe,Germany,Berlin
