Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,18.00 €,Western & Southern Europe,Germany,Munich
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",82.50 €,Western & Southern Europe,Germany,Munich
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,Germany,Munich
Domestic Draft Beer (1 Pint),5.00 €,Western & Southern Europe,Germany,Munich
Imported Beer (12 oz Small Bottle),5.00 €,Western & Southern Europe,Germany,Munich
Cappuccino (Regular Size),3.92 €,Western & Southern Europe,Germany,Munich
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.29 €,Western & Southern Europe,Germany,Munich
Bottled Water (12 oz),2.82 €,Western & Southern Europe,Germany,Munich
"Milk (Regular, 1 Liter)",1.18 €,Western & Southern Europe,Germany,Munich
Fresh White Bread (1 lb Loaf),1.76 €,Western & Southern Europe,Germany,Munich
White Rice (1 lb),1.19 €,Western & Southern Europe,Germany,Munich
"Eggs (12, Large Size)",3.54 €,Western & Southern Europe,Germany,Munich
Local Cheese (1 lb),6.28 €,Western & Southern Europe,Germany,Munich
Chicken Fillets (1 lb),4.63 €,Western & Southern Europe,Germany,Munich
Beef Round or Equivalent Back Leg Red Meat (1 lb),7.46 €,Western & Southern Europe,Germany,Munich
Apples (1 lb),1.34 €,Western & Southern Europe,Germany,Munich
Bananas (1 lb),0.86 €,Western & Southern Europe,Germany,Munich
Oranges (1 lb),1.12 €,Western & Southern Europe,Germany,Munich
Tomatoes (1 lb),1.51 €,Western & Southern Europe,Germany,Munich
Potatoes (1 lb),0.80 €,Western & Southern Europe,Germany,Munich
Onions (1 lb),0.66 €,Western & Southern Europe,Germany,Munich
Lettuce (1 Head),1.44 €,Western & Southern Europe,Germany,Munich
Bottled Water (50 oz),1.01 €,Western & Southern Europe,Germany,Munich
Bottle of Wine (Mid-Range),6.00 €,Western & Southern Europe,Germany,Munich
Domestic Beer (16.9 oz Bottle),1.01 €,Western & Southern Europe,Germany,Munich
Imported Beer (12 oz Small Bottle),1.47 €,Western & Southern Europe,Germany,Munich
"Cigarettes (Pack of 20, Marlboro)",8.70 €,Western & Southern Europe,Germany,Munich
One-Way Ticket (Local Transport),4.10 €,Western & Southern Europe,Germany,Munich
Monthly Public Transport Pass (Regular Price),60.00 €,Western & Southern Europe,Germany,Munich
Taxi Start (Standard Tariff),5.70 €,Western & Southern Europe,Germany,Munich
Taxi 1 mile (Standard Tariff),4.35 €,Western & Southern Europe,Germany,Munich
Taxi 1 Hour Waiting (Standard Tariff),38.00 €,Western & Southern Europe,Germany,Munich
Gasoline (1 Liter),1.74 €,Western & Southern Europe,Germany,Munich
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"28,665.00 €",Western & Southern Europe,Germany,Munich
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"33,033.33 €",Western & Southern Europe,Germany,Munich
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",344.67 €,Western & Southern Europe,Germany,Munich
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",16.93 €,Western & Southern Europe,Germany,Munich
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",38.93 €,Western & Southern Europe,Germany,Munich
Monthly Fitness Club Membership,44.66 €,Western & Southern Europe,Germany,Munich
"Tennis Court Rental (1 Hour, Weekend)",28.11 €,Western & Southern Europe,Germany,Munich
Cinema Ticket (International Release),15.00 €,Western & Southern Europe,Germany,Munich
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",871.79 €,Western & Southern Europe,Germany,Munich
"International Primary School, Annual Tuition per Child","14,322.15 €",Western & Southern Europe,Germany,Munich
Jeans (Levi's 501 or Similar),78.44 €,Western & Southern Europe,Germany,Munich
Summer Dress in a Chain Store (e.g. Zara or H&M),34.89 €,Western & Southern Europe,Germany,Munich
Nike Running Shoes (Mid-Range),82.95 €,Western & Southern Europe,Germany,Munich
Men's Leather Business Shoes,109.42 €,Western & Southern Europe,Germany,Munich
1 Bedroom Apartment in City Centre,"1,425.91 €",Western & Southern Europe,Germany,Munich
1 Bedroom Apartment Outside of City Centre,"1,179.12 €",Western & Southern Europe,Germany,Munich
3 Bedroom Apartment in City Centre,"2,896.81 €",Western & Southern Europe,Germany,Munich
3 Bedroom Apartment Outside of City Centre,"2,237.08 €",Western & Southern Europe,Germany,Munich
Price per Square Feet to Buy Apartment in City Centre,"1,001.02 €",Western & Southern Europe,Germany,Munich
Price per Square Feet to Buy Apartment Outside of Centre,700.37 €,Western & Southern Europe,Germany,Munich
Average Monthly Net Salary (After Tax),"4,060.40 €",Western & Southern Europe,Germany,Munich
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.80,Western & Southern Europe,Germany,Munich
