Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Greece,Athens
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,Greece,Athens
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),9.00 €,Western & Southern Europe,Greece,Athens
Domestic Draft Beer (1 Pint),5.00 €,Western & Southern Europe,Greece,Athens
Imported Beer (12 oz Small Bottle),5.00 €,Western & Southern Europe,Greece,Athens
Cappuccino (Regular Size),3.61 €,Western & Southern Europe,Greece,Athens
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.26 €,Western & Southern Europe,Greece,Athens
Bottled Water (12 oz),0.53 €,Western & Southern Europe,Greece,Athens
"Milk (Regular, 1 Liter)",1.55 €,Western & Southern Europe,Greece,Athens
Fresh White Bread (1 lb Loaf),1.21 €,Western & Southern Europe,Greece,Athens
White Rice (1 lb),1.36 €,Western & Southern Europe,Greece,Athens
"Eggs (12, Large Size)",4.05 €,Western & Southern Europe,Greece,Athens
Local Cheese (1 lb),5.93 €,Western & Southern Europe,Greece,Athens
Chicken Fillets (1 lb),4.32 €,Western & Southern Europe,Greece,Athens
Beef Round or Equivalent Back Leg Red Meat (1 lb),6.82 €,Western & Southern Europe,Greece,Athens
Apples (1 lb),0.88 €,Western & Southern Europe,Greece,Athens
Bananas (1 lb),0.82 €,Western & Southern Europe,Greece,Athens
Oranges (1 lb),0.57 €,Western & Southern Europe,Greece,Athens
Tomatoes (1 lb),0.88 €,Western & Southern Europe,Greece,Athens
Potatoes (1 lb),0.52 €,Western & Southern Europe,Greece,Athens
Onions (1 lb),0.49 €,Western & Southern Europe,Greece,Athens
Lettuce (1 Head),0.94 €,Western & Southern Europe,Greece,Athens
Bottled Water (50 oz),0.86 €,Western & Southern Europe,Greece,Athens
Bottle of Wine (Mid-Range),10.00 €,Western & Southern Europe,Greece,Athens
Domestic Beer (16.9 oz Bottle),1.73 €,Western & Southern Europe,Greece,Athens
Imported Beer (12 oz Small Bottle),2.45 €,Western & Southern Europe,Greece,Athens
"Cigarettes (Pack of 20, Marlboro)",5.00 €,Western & Southern Europe,Greece,Athens
One-Way Ticket (Local Transport),1.20 €,Western & Southern Europe,Greece,Athens
Monthly Public Transport Pass (Regular Price),27.00 €,Western & Southern Europe,Greece,Athens
Taxi Start (Standard Tariff),3.60 €,Western & Southern Europe,Greece,Athens
Taxi 1 mile (Standard Tariff),1.53 €,Western & Southern Europe,Greece,Athens
Taxi 1 Hour Waiting (Standard Tariff),15.00 €,Western & Southern Europe,Greece,Athens
Gasoline (1 Liter),1.77 €,Western & Southern Europe,Greece,Athens
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"24,980.00 €",Western & Southern Europe,Greece,Athens
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"24,944.12 €",Western & Southern Europe,Greece,Athens
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",180.25 €,Western & Southern Europe,Greece,Athens
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",23.88 €,Western & Southern Europe,Greece,Athens
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",29.38 €,Western & Southern Europe,Greece,Athens
Monthly Fitness Club Membership,49.20 €,Western & Southern Europe,Greece,Athens
"Tennis Court Rental (1 Hour, Weekend)",22.82 €,Western & Southern Europe,Greece,Athens
Cinema Ticket (International Release),9.25 €,Western & Southern Europe,Greece,Athens
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",554.46 €,Western & Southern Europe,Greece,Athens
"International Primary School, Annual Tuition per Child","11,228.89 €",Western & Southern Europe,Greece,Athens
Jeans (Levi's 501 or Similar),87.85 €,Western & Southern Europe,Greece,Athens
Summer Dress in a Chain Store (e.g. Zara or H&M),39.13 €,Western & Southern Europe,Greece,Athens
Nike Running Shoes (Mid-Range),90.21 €,Western & Southern Europe,Greece,Athens
Men's Leather Business Shoes,107.93 €,Western & Southern Europe,Greece,Athens
1 Bedroom Apartment in City Centre,620.26 €,Western & Southern Europe,Greece,Athens
1 Bedroom Apartment Outside of City Centre,530.00 €,Western & Southern Europe,Greece,Athens
3 Bedroom Apartment in City Centre,"1,159.17 €",Western & Southern Europe,Greece,Athens
3 Bedroom Apartment Outside of City Centre,972.16 €,Western & Southern Europe,Greece,Athens
Price per Square Feet to Buy Apartment in City Centre,322.74 €,Western & Southern Europe,Greece,Athens
Price per Square Feet to Buy Apartment Outside of Centre,281.37 €,Western & Southern Europe,Greece,Athens
Average Monthly Net Salary (After Tax),"1,162.32 €",Western & Southern Europe,Greece,Athens
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.61,Western & Southern Europe,Greece,Athens
