Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Greece,Thessaloniki
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",52.50 €,Western & Southern Europe,Greece,Thessaloniki
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),10.00 €,Western & Southern Europe,Greece,Thessaloniki
Domestic Draft Beer (1 Pint),5.00 €,Western & Southern Europe,Greece,Thessaloniki
Imported Beer (12 oz Small Bottle),5.00 €,Western & Southern Europe,Greece,Thessaloniki
Cappuccino (Regular Size),3.92 €,Western & Southern Europe,Greece,Thessaloniki
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.44 €,Western & Southern Europe,Greece,Thessaloniki
Bottled Water (12 oz),0.57 €,Western & Southern Europe,Greece,Thessaloniki
"Milk (Regular, 1 Liter)",1.45 €,Western & Southern Europe,Greece,Thessaloniki
Fresh White Bread (1 lb Loaf),1.09 €,Western & Southern Europe,Greece,Thessaloniki
White Rice (1 lb),1.06 €,Western & Southern Europe,Greece,Thessaloniki
"Eggs (12, Large Size)",4.19 €,Western & Southern Europe,Greece,Thessaloniki
Local Cheese (1 lb),5.25 €,Western & Southern Europe,Greece,Thessaloniki
Chicken Fillets (1 lb),4.48 €,Western & Southern Europe,Greece,Thessaloniki
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.95 €,Western & Southern Europe,Greece,Thessaloniki
Apples (1 lb),0.82 €,Western & Southern Europe,Greece,Thessaloniki
Bananas (1 lb),0.80 €,Western & Southern Europe,Greece,Thessaloniki
Oranges (1 lb),0.69 €,Western & Southern Europe,Greece,Thessaloniki
Tomatoes (1 lb),0.96 €,Western & Southern Europe,Greece,Thessaloniki
Potatoes (1 lb),0.46 €,Western & Southern Europe,Greece,Thessaloniki
Onions (1 lb),0.46 €,Western & Southern Europe,Greece,Thessaloniki
Lettuce (1 Head),0.94 €,Western & Southern Europe,Greece,Thessaloniki
Bottled Water (50 oz),0.91 €,Western & Southern Europe,Greece,Thessaloniki
Bottle of Wine (Mid-Range),8.00 €,Western & Southern Europe,Greece,Thessaloniki
Domestic Beer (16.9 oz Bottle),1.70 €,Western & Southern Europe,Greece,Thessaloniki
Imported Beer (12 oz Small Bottle),2.55 €,Western & Southern Europe,Greece,Thessaloniki
"Cigarettes (Pack of 20, Marlboro)",4.80 €,Western & Southern Europe,Greece,Thessaloniki
One-Way Ticket (Local Transport),0.60 €,Western & Southern Europe,Greece,Thessaloniki
Monthly Public Transport Pass (Regular Price),16.00 €,Western & Southern Europe,Greece,Thessaloniki
Taxi Start (Standard Tariff),3.50 €,Western & Southern Europe,Greece,Thessaloniki
Taxi 1 mile (Standard Tariff),1.45 €,Western & Southern Europe,Greece,Thessaloniki
Taxi 1 Hour Waiting (Standard Tariff),10.80 €,Western & Southern Europe,Greece,Thessaloniki
Gasoline (1 Liter),1.80 €,Western & Southern Europe,Greece,Thessaloniki
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"25,000.00 €",Western & Southern Europe,Greece,Thessaloniki
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"26,318.46 €",Western & Southern Europe,Greece,Thessaloniki
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",191.36 €,Western & Southern Europe,Greece,Thessaloniki
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",22.51 €,Western & Southern Europe,Greece,Thessaloniki
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",26.80 €,Western & Southern Europe,Greece,Thessaloniki
Monthly Fitness Club Membership,38.89 €,Western & Southern Europe,Greece,Thessaloniki
"Tennis Court Rental (1 Hour, Weekend)",16.67 €,Western & Southern Europe,Greece,Thessaloniki
Cinema Ticket (International Release),9.00 €,Western & Southern Europe,Greece,Thessaloniki
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",387.88 €,Western & Southern Europe,Greece,Thessaloniki
"International Primary School, Annual Tuition per Child","7,427.78 €",Western & Southern Europe,Greece,Thessaloniki
Jeans (Levi's 501 or Similar),77.29 €,Western & Southern Europe,Greece,Thessaloniki
Summer Dress in a Chain Store (e.g. Zara or H&M),32.74 €,Western & Southern Europe,Greece,Thessaloniki
Nike Running Shoes (Mid-Range),88.82 €,Western & Southern Europe,Greece,Thessaloniki
Men's Leather Business Shoes,103.46 €,Western & Southern Europe,Greece,Thessaloniki
1 Bedroom Apartment in City Centre,535.36 €,Western & Southern Europe,Greece,Thessaloniki
1 Bedroom Apartment Outside of City Centre,418.33 €,Western & Southern Europe,Greece,Thessaloniki
3 Bedroom Apartment in City Centre,914.23 €,Western & Southern Europe,Greece,Thessaloniki
3 Bedroom Apartment Outside of City Centre,711.90 €,Western & Southern Europe,Greece,Thessaloniki
Price per Square Feet to Buy Apartment in City Centre,298.69 €,Western & Southern Europe,Greece,Thessaloniki
Price per Square Feet to Buy Apartment Outside of Centre,215.32 €,Western & Southern Europe,Greece,Thessaloniki
Average Monthly Net Salary (After Tax),986.35 €,Western & Southern Europe,Greece,Thessaloniki
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.43,Western & Southern Europe,Greece,Thessaloniki
