Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"4,000.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","22,000.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"3,000.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Domestic Draft Beer (1 Pint),"1,040.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Imported Beer (12 oz Small Bottle),"1,100.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Cappuccino (Regular Size),"1,043.33 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",613.00 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Bottled Water (12 oz),559.35 Ft,Eastern Europe & The Balkans,Hungary,Budapest
"Milk (Regular, 1 Liter)",399.52 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Fresh White Bread (1 lb Loaf),519.27 Ft,Eastern Europe & The Balkans,Hungary,Budapest
White Rice (1 lb),360.88 Ft,Eastern Europe & The Balkans,Hungary,Budapest
"Eggs (12, Large Size)","1,177.65 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Local Cheese (1 lb),"1,641.69 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Chicken Fillets (1 lb),"1,065.04 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Beef Round or Equivalent Back Leg Red Meat (1 lb),"2,115.47 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Apples (1 lb),330.46 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Bananas (1 lb),312.99 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Oranges (1 lb),343.40 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Tomatoes (1 lb),486.27 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Potatoes (1 lb),158.27 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Onions (1 lb),176.67 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Lettuce (1 Head),519.17 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Bottled Water (50 oz),193.00 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Bottle of Wine (Mid-Range),"1,800.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Domestic Beer (16.9 oz Bottle),408.40 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Imported Beer (12 oz Small Bottle),621.16 Ft,Eastern Europe & The Balkans,Hungary,Budapest
"Cigarettes (Pack of 20, Marlboro)","2,499.50 Ft",Eastern Europe & The Balkans,Hungary,Budapest
One-Way Ticket (Local Transport),500.00 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Monthly Public Transport Pass (Regular Price),"8,975.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Taxi Start (Standard Tariff),"1,100.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Taxi 1 mile (Standard Tariff),708.11 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Taxi 1 Hour Waiting (Standard Tariff),"6,600.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Gasoline (1 Liter),586.47 Ft,Eastern Europe & The Balkans,Hungary,Budapest
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"9,150,000.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"11,745,238.10 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","50,689.45 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","8,478.38 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","7,470.46 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Monthly Fitness Club Membership,"23,803.87 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Tennis Court Rental (1 Hour, Weekend)","6,068.75 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Cinema Ticket (International Release),"3,100.00 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","156,666.67 Ft",Eastern Europe & The Balkans,Hungary,Budapest
"International Primary School, Annual Tuition per Child","4,879,771.91 Ft",Eastern Europe & The Balkans,Hungary,Budapest
Jeans (Levi's 501 or Similar),"33,938.08 Ft",Eastern Europe & The Balkans,Hungary,Budapest
