Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"32,500.00 Rp",Asia-Pacific,Indonesia,Denpasar
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","450,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"55,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
Domestic Draft Beer (1 Pint),"35,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
Imported Beer (12 oz Small Bottle),"50,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
Cappuccino (Regular Size),"31,400.00 Rp",Asia-Pacific,Indonesia,Denpasar
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","9,862.50 Rp",Asia-Pacific,Indonesia,Denpasar
Bottled Water (12 oz),"4,500.00 Rp",Asia-Pacific,Indonesia,Denpasar
"Milk (Regular, 1 Liter)","20,312.50 Rp",Asia-Pacific,Indonesia,Denpasar
Fresh White Bread (1 lb Loaf),"24,153.82 Rp",Asia-Pacific,Indonesia,Denpasar
White Rice (1 lb),"7,840.68 Rp",Asia-Pacific,Indonesia,Denpasar
"Eggs (12, Large Size)","25,070.00 Rp",Asia-Pacific,Indonesia,Denpasar
Local Cheese (1 lb),"51,482.80 Rp",Asia-Pacific,Indonesia,Denpasar
Chicken Fillets (1 lb),"26,157.19 Rp",Asia-Pacific,Indonesia,Denpasar
Beef Round or Equivalent Back Leg Red Meat (1 lb),"68,038.94 Rp",Asia-Pacific,Indonesia,Denpasar
Apples (1 lb),"15,875.75 Rp",Asia-Pacific,Indonesia,Denpasar
Bananas (1 lb),"10,716.13 Rp",Asia-Pacific,Indonesia,Denpasar
Oranges (1 lb),"10,886.23 Rp",Asia-Pacific,Indonesia,Denpasar
Tomatoes (1 lb),"12,133.61 Rp",Asia-Pacific,Indonesia,Denpasar
Potatoes (1 lb),"9,979.04 Rp",Asia-Pacific,Indonesia,Denpasar
Onions (1 lb),"15,875.75 Rp",Asia-Pacific,Indonesia,Denpasar
Lettuce (1 Head),"16,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
Bottled Water (50 oz),"6,500.00 Rp",Asia-Pacific,Indonesia,Denpasar
Bottle of Wine (Mid-Range),"200,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
Domestic Beer (16.9 oz Bottle),"33,250.00 Rp",Asia-Pacific,Indonesia,Denpasar
Imported Beer (12 oz Small Bottle),"35,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
"Cigarettes (Pack of 20, Marlboro)","40,000.00 Rp",Asia-Pacific,Indonesia,Denpasar
One-Way Ticket (Local Transport),"4,200.00 Rp",Asia-Pacific,Indonesia,Denpasar
