Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,18.00 €,Western & Southern Europe,Ireland,Cork
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",82.50 €,Western & Southern Europe,Ireland,Cork
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),10.00 €,Western & Southern Europe,Ireland,Cork
Domestic Draft Beer (1 Pint),6.00 €,Western & Southern Europe,Ireland,Cork
Imported Beer (12 oz Small Bottle),5.35 €,Western & Southern Europe,Ireland,Cork
Cappuccino (Regular Size),3.86 €,Western & Southern Europe,Ireland,Cork
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.57 €,Western & Southern Europe,Ireland,Cork
Bottled Water (12 oz),1.93 €,Western & Southern Europe,Ireland,Cork
"Milk (Regular, 1 Liter)",1.32 €,Western & Southern Europe,Ireland,Cork
Fresh White Bread (1 lb Loaf),1.57 €,Western & Southern Europe,Ireland,Cork
White Rice (1 lb),0.72 €,Western & Southern Europe,Ireland,Cork
"Eggs (12, Large Size)",3.68 €,Western & Southern Europe,Ireland,Cork
Local Cheese (1 lb),5.32 €,Western & Southern Europe,Ireland,Cork
Chicken Fillets (1 lb),5.17 €,Western & Southern Europe,Ireland,Cork
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.71 €,Western & Southern Europe,Ireland,Cork
Apples (1 lb),1.27 €,Western & Southern Europe,Ireland,Cork
Bananas (1 lb),1.23 €,Western & Southern Europe,Ireland,Cork
Oranges (1 lb),1.36 €,Western & Southern Europe,Ireland,Cork
Tomatoes (1 lb),1.97 €,Western & Southern Europe,Ireland,Cork
Potatoes (1 lb),0.97 €,Western & Southern Europe,Ireland,Cork
Onions (1 lb),0.80 €,Western & Southern Europe,Ireland,Cork
Lettuce (1 Head),1.15 €,Western & Southern Europe,Ireland,Cork
Bottled Water (50 oz),1.75 €,Western & Southern Europe,Ireland,Cork
Bottle of Wine (Mid-Range),12.00 €,Western & Southern Europe,Ireland,Cork
Domestic Beer (16.9 oz Bottle),3.45 €,Western & Southern Europe,Ireland,Cork
Imported Beer (12 oz Small Bottle),3.11 €,Western & Southern Europe,Ireland,Cork
"Cigarettes (Pack of 20, Marlboro)",18.00 €,Western & Southern Europe,Ireland,Cork
One-Way Ticket (Local Transport),1.95 €,Western & Southern Europe,Ireland,Cork
Monthly Public Transport Pass (Regular Price),68.00 €,Western & Southern Europe,Ireland,Cork
Taxi Start (Standard Tariff),4.60 €,Western & Southern Europe,Ireland,Cork
Taxi 1 mile (Standard Tariff),2.17 €,Western & Southern Europe,Ireland,Cork
Taxi 1 Hour Waiting (Standard Tariff),29.40 €,Western & Southern Europe,Ireland,Cork
Gasoline (1 Liter),1.78 €,Western & Southern Europe,Ireland,Cork
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"35,837.50 €",Western & Southern Europe,Ireland,Cork
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"33,754.55 €",Western & Southern Europe,Ireland,Cork
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",212.73 €,Western & Southern Europe,Ireland,Cork
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",18.75 €,Western & Southern Europe,Ireland,Cork
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",44.61 €,Western & Southern Europe,Ireland,Cork
Monthly Fitness Club Membership,53.94 €,Western & Southern Europe,Ireland,Cork
"Tennis Court Rental (1 Hour, Weekend)",14.62 €,Western & Southern Europe,Ireland,Cork
Cinema Ticket (International Release),12.00 €,Western & Southern Europe,Ireland,Cork
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",949.09 €,Western & Southern Europe,Ireland,Cork
"International Primary School, Annual Tuition per Child","4,800.00 €",Western & Southern Europe,Ireland,Cork
Jeans (Levi's 501 or Similar),91.01 €,Western & Southern Europe,Ireland,Cork
Summer Dress in a Chain Store (e.g. Zara or H&M),40.41 €,Western & Southern Europe,Ireland,Cork
Nike Running Shoes (Mid-Range),87.80 €,Western & Southern Europe,Ireland,Cork
Men's Leather Business Shoes,104.06 €,Western & Southern Europe,Ireland,Cork
1 Bedroom Apartment in City Centre,"1,626.00 €",Western & Southern Europe,Ireland,Cork
1 Bedroom Apartment Outside of City Centre,"1,372.88 €",Western & Southern Europe,Ireland,Cork
3 Bedroom Apartment in City Centre,"2,739.06 €",Western & Southern Europe,Ireland,Cork
3 Bedroom Apartment Outside of City Centre,"2,270.00 €",Western & Southern Europe,Ireland,Cork
Price per Square Feet to Buy Apartment in City Centre,407.49 €,Western & Southern Europe,Ireland,Cork
Price per Square Feet to Buy Apartment Outside of Centre,281.64 €,Western & Southern Europe,Ireland,Cork
Average Monthly Net Salary (After Tax),"3,234.30 €",Western & Southern Europe,Ireland,Cork
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.10,Western & Southern Europe,Ireland,Cork
