Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,20.00 €,Western & Southern Europe,Ireland,Dublin
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",90.00 €,Western & Southern Europe,Ireland,Dublin
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,Ireland,Dublin
Domestic Draft Beer (1 Pint),7.00 €,Western & Southern Europe,Ireland,Dublin
Imported Beer (12 oz Small Bottle),6.00 €,Western & Southern Europe,Ireland,Dublin
Cappuccino (Regular Size),4.16 €,Western & Southern Europe,Ireland,Dublin
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.74 €,Western & Southern Europe,Ireland,Dublin
Bottled Water (12 oz),2.10 €,Western & Southern Europe,Ireland,Dublin
"Milk (Regular, 1 Liter)",1.52 €,Western & Southern Europe,Ireland,Dublin
Fresh White Bread (1 lb Loaf),1.94 €,Western & Southern Europe,Ireland,Dublin
White Rice (1 lb),0.97 €,Western & Southern Europe,Ireland,Dublin
"Eggs (12, Large Size)",4.09 €,Western & Southern Europe,Ireland,Dublin
Local Cheese (1 lb),4.08 €,Western & Southern Europe,Ireland,Dublin
Chicken Fillets (1 lb),4.58 €,Western & Southern Europe,Ireland,Dublin
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.97 €,Western & Southern Europe,Ireland,Dublin
Apples (1 lb),1.23 €,Western & Southern Europe,Ireland,Dublin
Bananas (1 lb),0.82 €,Western & Southern Europe,Ireland,Dublin
Oranges (1 lb),1.12 €,Western & Southern Europe,Ireland,Dublin
Tomatoes (1 lb),2.14 €,Western & Southern Europe,Ireland,Dublin
Potatoes (1 lb),0.70 €,Western & Southern Europe,Ireland,Dublin
Onions (1 lb),0.61 €,Western & Southern Europe,Ireland,Dublin
Lettuce (1 Head),1.17 €,Western & Southern Europe,Ireland,Dublin
Bottled Water (50 oz),1.83 €,Western & Southern Europe,Ireland,Dublin
Bottle of Wine (Mid-Range),12.00 €,Western & Southern Europe,Ireland,Dublin
Domestic Beer (16.9 oz Bottle),3.59 €,Western & Southern Europe,Ireland,Dublin
Imported Beer (12 oz Small Bottle),3.24 €,Western & Southern Europe,Ireland,Dublin
"Cigarettes (Pack of 20, Marlboro)",18.62 €,Western & Southern Europe,Ireland,Dublin
One-Way Ticket (Local Transport),2.00 €,Western & Southern Europe,Ireland,Dublin
Monthly Public Transport Pass (Regular Price),96.00 €,Western & Southern Europe,Ireland,Dublin
Taxi Start (Standard Tariff),4.60 €,Western & Southern Europe,Ireland,Dublin
Taxi 1 mile (Standard Tariff),2.17 €,Western & Southern Europe,Ireland,Dublin
Taxi 1 Hour Waiting (Standard Tariff),31.80 €,Western & Southern Europe,Ireland,Dublin
Gasoline (1 Liter),1.79 €,Western & Southern Europe,Ireland,Dublin
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"34,830.00 €",Western & Southern Europe,Ireland,Dublin
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"33,778.86 €",Western & Southern Europe,Ireland,Dublin
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",226.87 €,Western & Southern Europe,Ireland,Dublin
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",18.85 €,Western & Southern Europe,Ireland,Dublin
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",46.83 €,Western & Southern Europe,Ireland,Dublin
Monthly Fitness Club Membership,50.24 €,Western & Southern Europe,Ireland,Dublin
"Tennis Court Rental (1 Hour, Weekend)",18.81 €,Western & Southern Europe,Ireland,Dublin
Cinema Ticket (International Release),13.00 €,Western & Southern Europe,Ireland,Dublin
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,116.89 €",Western & Southern Europe,Ireland,Dublin
"International Primary School, Annual Tuition per Child","10,382.40 €",Western & Southern Europe,Ireland,Dublin
Jeans (Levi's 501 or Similar),93.81 €,Western & Southern Europe,Ireland,Dublin
Summer Dress in a Chain Store (e.g. Zara or H&M),44.44 €,Western & Southern Europe,Ireland,Dublin
Nike Running Shoes (Mid-Range),103.95 €,Western & Southern Europe,Ireland,Dublin
Men's Leather Business Shoes,91.71 €,Western & Southern Europe,Ireland,Dublin
1 Bedroom Apartment in City Centre,"2,132.69 €",Western & Southern Europe,Ireland,Dublin
1 Bedroom Apartment Outside of City Centre,"1,827.27 €",Western & Southern Europe,Ireland,Dublin
3 Bedroom Apartment in City Centre,"3,698.03 €",Western & Southern Europe,Ireland,Dublin
3 Bedroom Apartment Outside of City Centre,"2,959.68 €",Western & Southern Europe,Ireland,Dublin
Price per Square Feet to Buy Apartment in City Centre,653.47 €,Western & Southern Europe,Ireland,Dublin
Price per Square Feet to Buy Apartment Outside of Centre,486.94 €,Western & Southern Europe,Ireland,Dublin
Average Monthly Net Salary (After Tax),"3,664.01 €",Western & Southern Europe,Ireland,Dublin
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.81,Western & Southern Europe,Ireland,Dublin
