Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,20.00 €,Western & Southern Europe,Italy,Florence
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",80.00 €,Western & Southern Europe,Italy,Florence
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,Italy,Florence
Domestic Draft Beer (1 Pint),6.00 €,Western & Southern Europe,Italy,Florence
Imported Beer (12 oz Small Bottle),6.00 €,Western & Southern Europe,Italy,Florence
Cappuccino (Regular Size),1.90 €,Western & Southern Europe,Italy,Florence
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.96 €,Western & Southern Europe,Italy,Florence
Bottled Water (12 oz),1.31 €,Western & Southern Europe,Italy,Florence
"Milk (Regular, 1 Liter)",1.61 €,Western & Southern Europe,Italy,Florence
Fresh White Bread (1 lb Loaf),1.74 €,Western & Southern Europe,Italy,Florence
White Rice (1 lb),1.26 €,Western & Southern Europe,Italy,Florence
"Eggs (12, Large Size)",4.76 €,Western & Southern Europe,Italy,Florence
Local Cheese (1 lb),9.15 €,Western & Southern Europe,Italy,Florence
Chicken Fillets (1 lb),4.43 €,Western & Southern Europe,Italy,Florence
Beef Round or Equivalent Back Leg Red Meat (1 lb),10.71 €,Western & Southern Europe,Italy,Florence
Apples (1 lb),1.16 €,Western & Southern Europe,Italy,Florence
Bananas (1 lb),1.02 €,Western & Southern Europe,Italy,Florence
Oranges (1 lb),1.30 €,Western & Southern Europe,Italy,Florence
Tomatoes (1 lb),1.28 €,Western & Southern Europe,Italy,Florence
Potatoes (1 lb),0.86 €,Western & Southern Europe,Italy,Florence
Onions (1 lb),0.69 €,Western & Southern Europe,Italy,Florence
Lettuce (1 Head),1.47 €,Western & Southern Europe,Italy,Florence
Bottled Water (50 oz),0.55 €,Western & Southern Europe,Italy,Florence
Bottle of Wine (Mid-Range),6.62 €,Western & Southern Europe,Italy,Florence
Domestic Beer (16.9 oz Bottle),1.74 €,Western & Southern Europe,Italy,Florence
Imported Beer (12 oz Small Bottle),2.52 €,Western & Southern Europe,Italy,Florence
"Cigarettes (Pack of 20, Marlboro)",6.24 €,Western & Southern Europe,Italy,Florence
One-Way Ticket (Local Transport),1.70 €,Western & Southern Europe,Italy,Florence
Monthly Public Transport Pass (Regular Price),38.70 €,Western & Southern Europe,Italy,Florence
Taxi Start (Standard Tariff),3.30 €,Western & Southern Europe,Italy,Florence
Taxi 1 mile (Standard Tariff),1.77 €,Western & Southern Europe,Italy,Florence
Taxi 1 Hour Waiting (Standard Tariff),27.60 €,Western & Southern Europe,Italy,Florence
Gasoline (1 Liter),1.76 €,Western & Southern Europe,Italy,Florence
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"32,434.00 €",Western & Southern Europe,Italy,Florence
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"31,500.00 €",Western & Southern Europe,Italy,Florence
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",180.27 €,Western & Southern Europe,Italy,Florence
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",10.08 €,Western & Southern Europe,Italy,Florence
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",29.11 €,Western & Southern Europe,Italy,Florence
Monthly Fitness Club Membership,64.83 €,Western & Southern Europe,Italy,Florence
"Tennis Court Rental (1 Hour, Weekend)",20.75 €,Western & Southern Europe,Italy,Florence
Cinema Ticket (International Release),10.00 €,Western & Southern Europe,Italy,Florence
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",700.00 €,Western & Southern Europe,Italy,Florence
"International Primary School, Annual Tuition per Child","15,964.22 €",Western & Southern Europe,Italy,Florence
Jeans (Levi's 501 or Similar),78.39 €,Western & Southern Europe,Italy,Florence
Summer Dress in a Chain Store (e.g. Zara or H&M),34.42 €,Western & Southern Europe,Italy,Florence
Nike Running Shoes (Mid-Range),91.57 €,Western & Southern Europe,Italy,Florence
Men's Leather Business Shoes,122.33 €,Western & Southern Europe,Italy,Florence
1 Bedroom Apartment in City Centre,"1,081.67 €",Western & Southern Europe,Italy,Florence
1 Bedroom Apartment Outside of City Centre,810.11 €,Western & Southern Europe,Italy,Florence
3 Bedroom Apartment in City Centre,"2,013.75 €",Western & Southern Europe,Italy,Florence
3 Bedroom Apartment Outside of City Centre,"1,380.59 €",Western & Southern Europe,Italy,Florence
Price per Square Feet to Buy Apartment in City Centre,496.27 €,Western & Southern Europe,Italy,Florence
Price per Square Feet to Buy Apartment Outside of Centre,318.43 €,Western & Southern Europe,Italy,Florence
Average Monthly Net Salary (After Tax),"1,753.38 €",Western & Southern Europe,Italy,Florence
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.11,Western & Southern Europe,Italy,Florence
