Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,20.00 €,Western & Southern Europe,Italy,Milan
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",87.50 €,Western & Southern Europe,Italy,Milan
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,Italy,Milan
Domestic Draft Beer (1 Pint),6.00 €,Western & Southern Europe,Italy,Milan
Imported Beer (12 oz Small Bottle),5.11 €,Western & Southern Europe,Italy,Milan
Cappuccino (Regular Size),1.98 €,Western & Southern Europe,Italy,Milan
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.97 €,Western & Southern Europe,Italy,Milan
Bottled Water (12 oz),1.58 €,Western & Southern Europe,Italy,Milan
"Milk (Regular, 1 Liter)",1.55 €,Western & Southern Europe,Italy,Milan
Fresh White Bread (1 lb Loaf),2.25 €,Western & Southern Europe,Italy,Milan
White Rice (1 lb),1.30 €,Western & Southern Europe,Italy,Milan
"Eggs (12, Large Size)",4.42 €,Western & Southern Europe,Italy,Milan
Local Cheese (1 lb),8.34 €,Western & Southern Europe,Italy,Milan
Chicken Fillets (1 lb),5.45 €,Western & Southern Europe,Italy,Milan
Beef Round or Equivalent Back Leg Red Meat (1 lb),9.02 €,Western & Southern Europe,Italy,Milan
Apples (1 lb),1.12 €,Western & Southern Europe,Italy,Milan
Bananas (1 lb),0.97 €,Western & Southern Europe,Italy,Milan
Oranges (1 lb),1.35 €,Western & Southern Europe,Italy,Milan
Tomatoes (1 lb),1.57 €,Western & Southern Europe,Italy,Milan
Potatoes (1 lb),1.02 €,Western & Southern Europe,Italy,Milan
Onions (1 lb),0.89 €,Western & Southern Europe,Italy,Milan
Lettuce (1 Head),1.79 €,Western & Southern Europe,Italy,Milan
Bottled Water (50 oz),0.52 €,Western & Southern Europe,Italy,Milan
Bottle of Wine (Mid-Range),8.00 €,Western & Southern Europe,Italy,Milan
Domestic Beer (16.9 oz Bottle),1.91 €,Western & Southern Europe,Italy,Milan
Imported Beer (12 oz Small Bottle),2.60 €,Western & Southern Europe,Italy,Milan
"Cigarettes (Pack of 20, Marlboro)",6.20 €,Western & Southern Europe,Italy,Milan
One-Way Ticket (Local Transport),2.20 €,Western & Southern Europe,Italy,Milan
Monthly Public Transport Pass (Regular Price),39.00 €,Western & Southern Europe,Italy,Milan
Taxi Start (Standard Tariff),6.55 €,Western & Southern Europe,Italy,Milan
Taxi 1 mile (Standard Tariff),3.22 €,Western & Southern Europe,Italy,Milan
Taxi 1 Hour Waiting (Standard Tariff),42.50 €,Western & Southern Europe,Italy,Milan
Gasoline (1 Liter),1.78 €,Western & Southern Europe,Italy,Milan
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"32,000.00 €",Western & Southern Europe,Italy,Milan
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"31,750.00 €",Western & Southern Europe,Italy,Milan
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",220.21 €,Western & Southern Europe,Italy,Milan
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",9.80 €,Western & Southern Europe,Italy,Milan
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",26.04 €,Western & Southern Europe,Italy,Milan
Monthly Fitness Club Membership,74.29 €,Western & Southern Europe,Italy,Milan
"Tennis Court Rental (1 Hour, Weekend)",31.87 €,Western & Southern Europe,Italy,Milan
Cinema Ticket (International Release),10.00 €,Western & Southern Europe,Italy,Milan
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",747.69 €,Western & Southern Europe,Italy,Milan
"International Primary School, Annual Tuition per Child","15,874.74 €",Western & Southern Europe,Italy,Milan
Jeans (Levi's 501 or Similar),95.53 €,Western & Southern Europe,Italy,Milan
Summer Dress in a Chain Store (e.g. Zara or H&M),50.60 €,Western & Southern Europe,Italy,Milan
Nike Running Shoes (Mid-Range),97.47 €,Western & Southern Europe,Italy,Milan
Men's Leather Business Shoes,148.53 €,Western & Southern Europe,Italy,Milan
1 Bedroom Apartment in City Centre,"1,477.27 €",Western & Southern Europe,Italy,Milan
1 Bedroom Apartment Outside of City Centre,"1,015.38 €",Western & Southern Europe,Italy,Milan
3 Bedroom Apartment in City Centre,"3,072.00 €",Western & Southern Europe,Italy,Milan
3 Bedroom Apartment Outside of City Centre,"1,809.62 €",Western & Southern Europe,Italy,Milan
Price per Square Feet to Buy Apartment in City Centre,868.99 €,Western & Southern Europe,Italy,Milan
Price per Square Feet to Buy Apartment Outside of Centre,411.08 €,Western & Southern Europe,Italy,Milan
Average Monthly Net Salary (After Tax),"1,935.49 €",Western & Southern Europe,Italy,Milan
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.07,Western & Southern Europe,Italy,Milan
