Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.50 €,Western & Southern Europe,Italy,Rome
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",65.00 €,Western & Southern Europe,Italy,Rome
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),10.00 €,Western & Southern Europe,Italy,Rome
Domestic Draft Beer (1 Pint),5.00 €,Western & Southern Europe,Italy,Rome
Imported Beer (12 oz Small Bottle),6.00 €,Western & Southern Europe,Italy,Rome
Cappuccino (Regular Size),1.95 €,Western & Southern Europe,Italy,Rome
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.33 €,Western & Southern Europe,Italy,Rome
Bottled Water (12 oz),1.28 €,Western & Southern Europe,Italy,Rome
"Milk (Regular, 1 Liter)",1.64 €,Western & Southern Europe,Italy,Rome
Fresh White Bread (1 lb Loaf),1.64 €,Western & Southern Europe,Italy,Rome
White Rice (1 lb),1.21 €,Western & Southern Europe,Italy,Rome
"Eggs (12, Large Size)",4.02 €,Western & Southern Europe,Italy,Rome
Local Cheese (1 lb),7.39 €,Western & Southern Europe,Italy,Rome
Chicken Fillets (1 lb),4.58 €,Western & Southern Europe,Italy,Rome
Beef Round or Equivalent Back Leg Red Meat (1 lb),8.00 €,Western & Southern Europe,Italy,Rome
Apples (1 lb),1.06 €,Western & Southern Europe,Italy,Rome
Bananas (1 lb),0.92 €,Western & Southern Europe,Italy,Rome
Oranges (1 lb),0.99 €,Western & Southern Europe,Italy,Rome
Tomatoes (1 lb),0.98 €,Western & Southern Europe,Italy,Rome
Potatoes (1 lb),0.69 €,Western & Southern Europe,Italy,Rome
Onions (1 lb),0.77 €,Western & Southern Europe,Italy,Rome
Lettuce (1 Head),1.19 €,Western & Southern Europe,Italy,Rome
Bottled Water (50 oz),0.44 €,Western & Southern Europe,Italy,Rome
Bottle of Wine (Mid-Range),5.00 €,Western & Southern Europe,Italy,Rome
Domestic Beer (16.9 oz Bottle),1.47 €,Western & Southern Europe,Italy,Rome
Imported Beer (12 oz Small Bottle),2.46 €,Western & Southern Europe,Italy,Rome
"Cigarettes (Pack of 20, Marlboro)",6.20 €,Western & Southern Europe,Italy,Rome
One-Way Ticket (Local Transport),1.50 €,Western & Southern Europe,Italy,Rome
Monthly Public Transport Pass (Regular Price),35.00 €,Western & Southern Europe,Italy,Rome
Taxi Start (Standard Tariff),5.00 €,Western & Southern Europe,Italy,Rome
Taxi 1 mile (Standard Tariff),2.41 €,Western & Southern Europe,Italy,Rome
Taxi 1 Hour Waiting (Standard Tariff),30.00 €,Western & Southern Europe,Italy,Rome
Gasoline (1 Liter),1.70 €,Western & Southern Europe,Italy,Rome
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"26,000.00 €",Western & Southern Europe,Italy,Rome
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"28,319.23 €",Western & Southern Europe,Italy,Rome
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",188.71 €,Western & Southern Europe,Italy,Rome
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",9.93 €,Western & Southern Europe,Italy,Rome
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",27.60 €,Western & Southern Europe,Italy,Rome
Monthly Fitness Club Membership,61.39 €,Western & Southern Europe,Italy,Rome
"Tennis Court Rental (1 Hour, Weekend)",20.59 €,Western & Southern Europe,Italy,Rome
Cinema Ticket (International Release),10.00 €,Western & Southern Europe,Italy,Rome
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",478.02 €,Western & Southern Europe,Italy,Rome
"International Primary School, Annual Tuition per Child","11,512.27 €",Western & Southern Europe,Italy,Rome
Jeans (Levi's 501 or Similar),67.14 €,Western & Southern Europe,Italy,Rome
Summer Dress in a Chain Store (e.g. Zara or H&M),32.53 €,Western & Southern Europe,Italy,Rome
Nike Running Shoes (Mid-Range),70.31 €,Western & Southern Europe,Italy,Rome
Men's Leather Business Shoes,105.00 €,Western & Southern Europe,Italy,Rome
1 Bedroom Apartment in City Centre,"1,254.80 €",Western & Southern Europe,Italy,Rome
1 Bedroom Apartment Outside of City Centre,837.50 €,Western & Southern Europe,Italy,Rome
3 Bedroom Apartment in City Centre,"2,393.10 €",Western & Southern Europe,Italy,Rome
3 Bedroom Apartment Outside of City Centre,"1,558.33 €",Western & Southern Europe,Italy,Rome
Price per Square Feet to Buy Apartment in City Centre,714.64 €,Western & Southern Europe,Italy,Rome
Price per Square Feet to Buy Apartment Outside of Centre,297.91 €,Western & Southern Europe,Italy,Rome
Average Monthly Net Salary (After Tax),"1,868.44 €",Western & Southern Europe,Italy,Rome
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.27,Western & Southern Europe,Italy,Rome
