Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"1,500.00ʴ",Asia-Pacific,Japan,Kyoto
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","5,000.00ʴ",Asia-Pacific,Japan,Kyoto
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),800.00ʴ,Asia-Pacific,Japan,Kyoto
Domestic Draft Beer (1 Pint),500.00ʴ,Asia-Pacific,Japan,Kyoto
Imported Beer (12 oz Small Bottle),950.00ʴ,Asia-Pacific,Japan,Kyoto
Cappuccino (Regular Size),533.33ʴ,Asia-Pacific,Japan,Kyoto
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",135.00ʴ,Asia-Pacific,Japan,Kyoto
Bottled Water (12 oz),114.83ʴ,Asia-Pacific,Japan,Kyoto
"Milk (Regular, 1 Liter)",275.00ʴ,Asia-Pacific,Japan,Kyoto
Fresh White Bread (1 lb Loaf),232.24ʴ,Asia-Pacific,Japan,Kyoto
White Rice (1 lb),293.98ʴ,Asia-Pacific,Japan,Kyoto
"Eggs (12, Large Size)",336.52ʴ,Asia-Pacific,Japan,Kyoto
Local Cheese (1 lb),619.91ʴ,Asia-Pacific,Japan,Kyoto
Chicken Fillets (1 lb),453.59ʴ,Asia-Pacific,Japan,Kyoto
Beef Round or Equivalent Back Leg Red Meat (1 lb),801.35ʴ,Asia-Pacific,Japan,Kyoto
Apples (1 lb),362.87ʴ,Asia-Pacific,Japan,Kyoto
Bananas (1 lb),166.32ʴ,Asia-Pacific,Japan,Kyoto
Oranges (1 lb),362.87ʴ,Asia-Pacific,Japan,Kyoto
Tomatoes (1 lb),257.04ʴ,Asia-Pacific,Japan,Kyoto
Potatoes (1 lb),105.84ʴ,Asia-Pacific,Japan,Kyoto
Onions (1 lb),120.96ʴ,Asia-Pacific,Japan,Kyoto
Lettuce (1 Head),183.33ʴ,Asia-Pacific,Japan,Kyoto
Bottled Water (50 oz),152.50ʴ,Asia-Pacific,Japan,Kyoto
Bottle of Wine (Mid-Range),"1,450.00ʴ",Asia-Pacific,Japan,Kyoto
Domestic Beer (16.9 oz Bottle),251.75ʴ,Asia-Pacific,Japan,Kyoto
Imported Beer (12 oz Small Bottle),523.33ʴ,Asia-Pacific,Japan,Kyoto
"Cigarettes (Pack of 20, Marlboro)",620.00ʴ,Asia-Pacific,Japan,Kyoto
One-Way Ticket (Local Transport),230.00ʴ,Asia-Pacific,Japan,Kyoto
Monthly Public Transport Pass (Regular Price),"12,738.21ʴ",Asia-Pacific,Japan,Kyoto
Taxi Start (Standard Tariff),525.00ʴ,Asia-Pacific,Japan,Kyoto
Taxi 1 mile (Standard Tariff),"1,126.54ʴ",Asia-Pacific,Japan,Kyoto
Taxi 1 Hour Waiting (Standard Tariff),?,Asia-Pacific,Japan,Kyoto
Gasoline (1 Liter),174.60ʴ,Asia-Pacific,Japan,Kyoto
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"3,434,000.00ʴ",Asia-Pacific,Japan,Kyoto
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"2,407,300.00ʴ",Asia-Pacific,Japan,Kyoto
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","16,156.25ʴ",Asia-Pacific,Japan,Kyoto
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","3,775.56ʴ",Asia-Pacific,Japan,Kyoto
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","4,875.00ʴ",Asia-Pacific,Japan,Kyoto
Monthly Fitness Club Membership,"8,340.00ʴ",Asia-Pacific,Japan,Kyoto
"Tennis Court Rental (1 Hour, Weekend)","3,000.00ʴ",Asia-Pacific,Japan,Kyoto
Cinema Ticket (International Release),"1,950.00ʴ",Asia-Pacific,Japan,Kyoto
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","102,583.33ʴ",Asia-Pacific,Japan,Kyoto
"International Primary School, Annual Tuition per Child","802,000.00ʴ",Asia-Pacific,Japan,Kyoto
Jeans (Levi's 501 or Similar),"8,875.00ʴ",Asia-Pacific,Japan,Kyoto
Summer Dress in a Chain Store (e.g. Zara or H&M),"7,194.87ʴ",Asia-Pacific,Japan,Kyoto
Nike Running Shoes (Mid-Range),"10,936.97ʴ",Asia-Pacific,Japan,Kyoto
Men's Leather Business Shoes,"14,666.67ʴ",Asia-Pacific,Japan,Kyoto
1 Bedroom Apartment in City Centre,"88,735.07ʴ",Asia-Pacific,Japan,Kyoto
1 Bedroom Apartment Outside of City Centre,"51,820.00ʴ",Asia-Pacific,Japan,Kyoto
3 Bedroom Apartment in City Centre,"281,333.33ʴ",Asia-Pacific,Japan,Kyoto
3 Bedroom Apartment Outside of City Centre,"123,333.33ʴ",Asia-Pacific,Japan,Kyoto
Price per Square Feet to Buy Apartment in City Centre,?,Asia-Pacific,Japan,Kyoto
Price per Square Feet to Buy Apartment Outside of Centre,?,Asia-Pacific,Japan,Kyoto
Average Monthly Net Salary (After Tax),"296,696.18ʴ",Asia-Pacific,Japan,Kyoto
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",2.07,Asia-Pacific,Japan,Kyoto
