Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"1,000.00ʴ",Asia-Pacific,Japan,Osaka
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","5,000.00ʴ",Asia-Pacific,Japan,Osaka
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),700.00ʴ,Asia-Pacific,Japan,Osaka
Domestic Draft Beer (1 Pint),425.00ʴ,Asia-Pacific,Japan,Osaka
Imported Beer (12 oz Small Bottle),650.00ʴ,Asia-Pacific,Japan,Osaka
Cappuccino (Regular Size),470.54ʴ,Asia-Pacific,Japan,Osaka
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",196.48ʴ,Asia-Pacific,Japan,Osaka
Bottled Water (12 oz),114.97ʴ,Asia-Pacific,Japan,Osaka
"Milk (Regular, 1 Liter)",222.22ʴ,Asia-Pacific,Japan,Osaka
Fresh White Bread (1 lb Loaf),190.72ʴ,Asia-Pacific,Japan,Osaka
White Rice (1 lb),408.23ʴ,Asia-Pacific,Japan,Osaka
"Eggs (12, Large Size)",336.86ʴ,Asia-Pacific,Japan,Osaka
Local Cheese (1 lb),689.67ʴ,Asia-Pacific,Japan,Osaka
Chicken Fillets (1 lb),443.87ʴ,Asia-Pacific,Japan,Osaka
Beef Round or Equivalent Back Leg Red Meat (1 lb),"1,306.35ʴ",Asia-Pacific,Japan,Osaka
Apples (1 lb),235.04ʴ,Asia-Pacific,Japan,Osaka
Bananas (1 lb),140.68ʴ,Asia-Pacific,Japan,Osaka
Oranges (1 lb),166.32ʴ,Asia-Pacific,Japan,Osaka
Tomatoes (1 lb),289.17ʴ,Asia-Pacific,Japan,Osaka
Potatoes (1 lb),110.07ʴ,Asia-Pacific,Japan,Osaka
Onions (1 lb),82.86ʴ,Asia-Pacific,Japan,Osaka
Lettuce (1 Head),195.00ʴ,Asia-Pacific,Japan,Osaka
Bottled Water (50 oz),127.50ʴ,Asia-Pacific,Japan,Osaka
Bottle of Wine (Mid-Range),"1,500.00ʴ",Asia-Pacific,Japan,Osaka
Domestic Beer (16.9 oz Bottle),301.76ʴ,Asia-Pacific,Japan,Osaka
Imported Beer (12 oz Small Bottle),425.00ʴ,Asia-Pacific,Japan,Osaka
"Cigarettes (Pack of 20, Marlboro)",620.00ʴ,Asia-Pacific,Japan,Osaka
One-Way Ticket (Local Transport),240.00ʴ,Asia-Pacific,Japan,Osaka
Monthly Public Transport Pass (Regular Price),"5,150.00ʴ",Asia-Pacific,Japan,Osaka
Taxi Start (Standard Tariff),650.00ʴ,Asia-Pacific,Japan,Osaka
Taxi 1 mile (Standard Tariff),482.80ʴ,Asia-Pacific,Japan,Osaka
Taxi 1 Hour Waiting (Standard Tariff),"3,400.00ʴ",Asia-Pacific,Japan,Osaka
Gasoline (1 Liter),173.36ʴ,Asia-Pacific,Japan,Osaka
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"3,388,000.00ʴ",Asia-Pacific,Japan,Osaka
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"2,376,800.00ʴ",Asia-Pacific,Japan,Osaka
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","20,645.83ʴ",Asia-Pacific,Japan,Osaka
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","3,266.67ʴ",Asia-Pacific,Japan,Osaka
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","4,325.00ʴ",Asia-Pacific,Japan,Osaka
Monthly Fitness Club Membership,"8,916.67ʴ",Asia-Pacific,Japan,Osaka
"Tennis Court Rental (1 Hour, Weekend)","2,916.67ʴ",Asia-Pacific,Japan,Osaka
Cinema Ticket (International Release),"1,900.00ʴ",Asia-Pacific,Japan,Osaka
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","81,614.28ʴ",Asia-Pacific,Japan,Osaka
"International Primary School, Annual Tuition per Child","2,066,666.67ʴ",Asia-Pacific,Japan,Osaka
Jeans (Levi's 501 or Similar),"6,611.45ʴ",Asia-Pacific,Japan,Osaka
Summer Dress in a Chain Store (e.g. Zara or H&M),"4,250.00ʴ",Asia-Pacific,Japan,Osaka
Nike Running Shoes (Mid-Range),"10,819.57ʴ",Asia-Pacific,Japan,Osaka
Men's Leather Business Shoes,"14,194.56ʴ",Asia-Pacific,Japan,Osaka
1 Bedroom Apartment in City Centre,"106,222.22ʴ",Asia-Pacific,Japan,Osaka
1 Bedroom Apartment Outside of City Centre,"84,000.00ʴ",Asia-Pacific,Japan,Osaka
3 Bedroom Apartment in City Centre,"259,600.00ʴ",Asia-Pacific,Japan,Osaka
3 Bedroom Apartment Outside of City Centre,"126,056.14ʴ",Asia-Pacific,Japan,Osaka
Price per Square Feet to Buy Apartment in City Centre,"89,774.56ʴ",Asia-Pacific,Japan,Osaka
Price per Square Feet to Buy Apartment Outside of Centre,"30,611.30ʴ",Asia-Pacific,Japan,Osaka
Average Monthly Net Salary (After Tax),"324,141.34ʴ",Asia-Pacific,Japan,Osaka
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",2.05,Asia-Pacific,Japan,Osaka
