Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,14.00 €,Eastern Europe & The Balkans,Latvia,Riga
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Eastern Europe & The Balkans,Latvia,Riga
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.00 €,Eastern Europe & The Balkans,Latvia,Riga
Domestic Draft Beer (1 Pint),5.00 €,Eastern Europe & The Balkans,Latvia,Riga
Imported Beer (12 oz Small Bottle),4.75 €,Eastern Europe & The Balkans,Latvia,Riga
Cappuccino (Regular Size),3.17 €,Eastern Europe & The Balkans,Latvia,Riga
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.66 €,Eastern Europe & The Balkans,Latvia,Riga
Bottled Water (12 oz),1.18 €,Eastern Europe & The Balkans,Latvia,Riga
"Milk (Regular, 1 Liter)",1.11 €,Eastern Europe & The Balkans,Latvia,Riga
Fresh White Bread (1 lb Loaf),1.34 €,Eastern Europe & The Balkans,Latvia,Riga
White Rice (1 lb),1.15 €,Eastern Europe & The Balkans,Latvia,Riga
"Eggs (12, Large Size)",3.18 €,Eastern Europe & The Balkans,Latvia,Riga
Local Cheese (1 lb),4.48 €,Eastern Europe & The Balkans,Latvia,Riga
Chicken Fillets (1 lb),3.32 €,Eastern Europe & The Balkans,Latvia,Riga
Beef Round or Equivalent Back Leg Red Meat (1 lb),4.87 €,Eastern Europe & The Balkans,Latvia,Riga
Apples (1 lb),0.72 €,Eastern Europe & The Balkans,Latvia,Riga
Bananas (1 lb),0.76 €,Eastern Europe & The Balkans,Latvia,Riga
Oranges (1 lb),1.03 €,Eastern Europe & The Balkans,Latvia,Riga
Tomatoes (1 lb),1.47 €,Eastern Europe & The Balkans,Latvia,Riga
Potatoes (1 lb),0.46 €,Eastern Europe & The Balkans,Latvia,Riga
Onions (1 lb),0.43 €,Eastern Europe & The Balkans,Latvia,Riga
Lettuce (1 Head),1.50 €,Eastern Europe & The Balkans,Latvia,Riga
Bottled Water (50 oz),0.81 €,Eastern Europe & The Balkans,Latvia,Riga
Bottle of Wine (Mid-Range),7.00 €,Eastern Europe & The Balkans,Latvia,Riga
Domestic Beer (16.9 oz Bottle),1.68 €,Eastern Europe & The Balkans,Latvia,Riga
Imported Beer (12 oz Small Bottle),1.97 €,Eastern Europe & The Balkans,Latvia,Riga
"Cigarettes (Pack of 20, Marlboro)",5.00 €,Eastern Europe & The Balkans,Latvia,Riga
One-Way Ticket (Local Transport),1.50 €,Eastern Europe & The Balkans,Latvia,Riga
Monthly Public Transport Pass (Regular Price),30.00 €,Eastern Europe & The Balkans,Latvia,Riga
Taxi Start (Standard Tariff),3.00 €,Eastern Europe & The Balkans,Latvia,Riga
Taxi 1 mile (Standard Tariff),1.14 €,Eastern Europe & The Balkans,Latvia,Riga
Taxi 1 Hour Waiting (Standard Tariff),16.95 €,Eastern Europe & The Balkans,Latvia,Riga
Gasoline (1 Liter),1.56 €,Eastern Europe & The Balkans,Latvia,Riga
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"25,000.00 €",Eastern Europe & The Balkans,Latvia,Riga
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"27,150.00 €",Eastern Europe & The Balkans,Latvia,Riga
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",302.53 €,Eastern Europe & The Balkans,Latvia,Riga
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",18.63 €,Eastern Europe & The Balkans,Latvia,Riga
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",18.68 €,Eastern Europe & The Balkans,Latvia,Riga
Monthly Fitness Club Membership,44.94 €,Eastern Europe & The Balkans,Latvia,Riga
"Tennis Court Rental (1 Hour, Weekend)",28.16 €,Eastern Europe & The Balkans,Latvia,Riga
Cinema Ticket (International Release),9.20 €,Eastern Europe & The Balkans,Latvia,Riga
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",478.44 €,Eastern Europe & The Balkans,Latvia,Riga
"International Primary School, Annual Tuition per Child","14,701.07 €",Eastern Europe & The Balkans,Latvia,Riga
Jeans (Levi's 501 or Similar),71.41 €,Eastern Europe & The Balkans,Latvia,Riga
Summer Dress in a Chain Store (e.g. Zara or H&M),39.81 €,Eastern Europe & The Balkans,Latvia,Riga
Nike Running Shoes (Mid-Range),73.84 €,Eastern Europe & The Balkans,Latvia,Riga
Men's Leather Business Shoes,118.00 €,Eastern Europe & The Balkans,Latvia,Riga
1 Bedroom Apartment in City Centre,507.47 €,Eastern Europe & The Balkans,Latvia,Riga
1 Bedroom Apartment Outside of City Centre,346.58 €,Eastern Europe & The Balkans,Latvia,Riga
3 Bedroom Apartment in City Centre,970.77 €,Eastern Europe & The Balkans,Latvia,Riga
3 Bedroom Apartment Outside of City Centre,660.15 €,Eastern Europe & The Balkans,Latvia,Riga
Price per Square Feet to Buy Apartment in City Centre,251.48 €,Eastern Europe & The Balkans,Latvia,Riga
Price per Square Feet to Buy Apartment Outside of Centre,159.87 €,Eastern Europe & The Balkans,Latvia,Riga
Average Monthly Net Salary (After Tax),"1,361.78 €",Eastern Europe & The Balkans,Latvia,Riga
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.62,Eastern Europe & The Balkans,Latvia,Riga
