Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,12.00 €,Eastern Europe & The Balkans,Lithuania,Vilnius
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",65.00 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.00 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Domestic Draft Beer (1 Pint),5.00 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Imported Beer (12 oz Small Bottle),5.00 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Cappuccino (Regular Size),3.09 €,Eastern Europe & The Balkans,Lithuania,Vilnius
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.76 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Bottled Water (12 oz),1.98 €,Eastern Europe & The Balkans,Lithuania,Vilnius
"Milk (Regular, 1 Liter)",1.29 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Fresh White Bread (1 lb Loaf),1.21 €,Eastern Europe & The Balkans,Lithuania,Vilnius
White Rice (1 lb),1.03 €,Eastern Europe & The Balkans,Lithuania,Vilnius
"Eggs (12, Large Size)",2.70 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Local Cheese (1 lb),4.51 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Chicken Fillets (1 lb),2.94 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Beef Round or Equivalent Back Leg Red Meat (1 lb),4.86 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Apples (1 lb),0.65 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Bananas (1 lb),0.63 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Oranges (1 lb),0.79 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Tomatoes (1 lb),1.27 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Potatoes (1 lb),0.35 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Onions (1 lb),0.36 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Lettuce (1 Head),1.52 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Bottled Water (50 oz),0.77 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Bottle of Wine (Mid-Range),8.00 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Domestic Beer (16.9 oz Bottle),1.47 €,Eastern Europe & The Balkans,Lithuania,Vilnius
Imported Beer (12 oz Small Bottle),1.85 €,Eastern Europe & The Balkans,Lithuania,Vilnius
