Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,20.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",120.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),20.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Domestic Draft Beer (1 Pint),18.50 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Imported Beer (12 oz Small Bottle),25.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Cappuccino (Regular Size),13.37 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.91 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Bottled Water (12 oz),2.04 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Milk (Regular, 1 Liter)",9.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Fresh White Bread (1 lb Loaf),4.01 RM,Asia-Pacific,Malaysia,Kuala Lumpur
White Rice (1 lb),3.19 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Eggs (12, Large Size)",9.59 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Local Cheese (1 lb),27.68 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Chicken Fillets (1 lb),8.74 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Beef Round or Equivalent Back Leg Red Meat (1 lb),17.60 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Apples (1 lb),5.85 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Bananas (1 lb),3.21 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Oranges (1 lb),4.89 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Tomatoes (1 lb),2.99 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Potatoes (1 lb),2.42 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Onions (1 lb),2.73 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Lettuce (1 Head),4.88 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Bottled Water (50 oz),2.92 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Bottle of Wine (Mid-Range),75.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Domestic Beer (16.9 oz Bottle),13.55 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Imported Beer (12 oz Small Bottle),19.36 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Cigarettes (Pack of 20, Marlboro)",18.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
One-Way Ticket (Local Transport),3.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Monthly Public Transport Pass (Regular Price),50.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Taxi Start (Standard Tariff),5.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Taxi 1 mile (Standard Tariff),8.05 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Taxi 1 Hour Waiting (Standard Tariff),20.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Gasoline (1 Liter),2.42 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"170,000.00 RM",Asia-Pacific,Malaysia,Kuala Lumpur
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"141,763.64 RM",Asia-Pacific,Malaysia,Kuala Lumpur
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",257.50 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",37.76 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",109.45 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Monthly Fitness Club Membership,194.92 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Tennis Court Rental (1 Hour, Weekend)",27.93 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Cinema Ticket (International Release),21.00 RM,Asia-Pacific,Malaysia,Kuala Lumpur
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,216.93 RM",Asia-Pacific,Malaysia,Kuala Lumpur
"International Primary School, Annual Tuition per Child","42,828.48 RM",Asia-Pacific,Malaysia,Kuala Lumpur
Jeans (Levi's 501 or Similar),267.05 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Summer Dress in a Chain Store (e.g. Zara or H&M),167.18 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Nike Running Shoes (Mid-Range),365.49 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Men's Leather Business Shoes,380.53 RM,Asia-Pacific,Malaysia,Kuala Lumpur
1 Bedroom Apartment in City Centre,"2,631.58 RM",Asia-Pacific,Malaysia,Kuala Lumpur
1 Bedroom Apartment Outside of City Centre,"1,572.22 RM",Asia-Pacific,Malaysia,Kuala Lumpur
3 Bedroom Apartment in City Centre,"4,783.16 RM",Asia-Pacific,Malaysia,Kuala Lumpur
3 Bedroom Apartment Outside of City Centre,"2,765.48 RM",Asia-Pacific,Malaysia,Kuala Lumpur
Price per Square Feet to Buy Apartment in City Centre,"1,449.34 RM",Asia-Pacific,Malaysia,Kuala Lumpur
Price per Square Feet to Buy Apartment Outside of Centre,569.86 RM,Asia-Pacific,Malaysia,Kuala Lumpur
Average Monthly Net Salary (After Tax),"5,882.65 RM",Asia-Pacific,Malaysia,Kuala Lumpur
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.47,Asia-Pacific,Malaysia,Kuala Lumpur
