Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 RM,Asia-Pacific,Malaysia,Penang
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",80.00 RM,Asia-Pacific,Malaysia,Penang
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),19.00 RM,Asia-Pacific,Malaysia,Penang
Domestic Draft Beer (1 Pint),17.50 RM,Asia-Pacific,Malaysia,Penang
Imported Beer (12 oz Small Bottle),19.00 RM,Asia-Pacific,Malaysia,Penang
Cappuccino (Regular Size),11.99 RM,Asia-Pacific,Malaysia,Penang
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.10 RM,Asia-Pacific,Malaysia,Penang
Bottled Water (12 oz),1.49 RM,Asia-Pacific,Malaysia,Penang
"Milk (Regular, 1 Liter)",7.99 RM,Asia-Pacific,Malaysia,Penang
Fresh White Bread (1 lb Loaf),4.03 RM,Asia-Pacific,Malaysia,Penang
White Rice (1 lb),3.24 RM,Asia-Pacific,Malaysia,Penang
"Eggs (12, Large Size)",9.45 RM,Asia-Pacific,Malaysia,Penang
Local Cheese (1 lb),24.43 RM,Asia-Pacific,Malaysia,Penang
Chicken Fillets (1 lb),8.41 RM,Asia-Pacific,Malaysia,Penang
Beef Round or Equivalent Back Leg Red Meat (1 lb),16.07 RM,Asia-Pacific,Malaysia,Penang
Apples (1 lb),5.32 RM,Asia-Pacific,Malaysia,Penang
Bananas (1 lb),3.14 RM,Asia-Pacific,Malaysia,Penang
Oranges (1 lb),4.66 RM,Asia-Pacific,Malaysia,Penang
Tomatoes (1 lb),2.66 RM,Asia-Pacific,Malaysia,Penang
Potatoes (1 lb),2.01 RM,Asia-Pacific,Malaysia,Penang
Onions (1 lb),2.09 RM,Asia-Pacific,Malaysia,Penang
Lettuce (1 Head),4.54 RM,Asia-Pacific,Malaysia,Penang
Bottled Water (50 oz),2.32 RM,Asia-Pacific,Malaysia,Penang
Bottle of Wine (Mid-Range),78.00 RM,Asia-Pacific,Malaysia,Penang
Domestic Beer (16.9 oz Bottle),12.00 RM,Asia-Pacific,Malaysia,Penang
Imported Beer (12 oz Small Bottle),15.72 RM,Asia-Pacific,Malaysia,Penang
"Cigarettes (Pack of 20, Marlboro)",18.72 RM,Asia-Pacific,Malaysia,Penang
One-Way Ticket (Local Transport),2.00 RM,Asia-Pacific,Malaysia,Penang
Monthly Public Transport Pass (Regular Price),50.00 RM,Asia-Pacific,Malaysia,Penang
Taxi Start (Standard Tariff),7.00 RM,Asia-Pacific,Malaysia,Penang
Taxi 1 mile (Standard Tariff),2.49 RM,Asia-Pacific,Malaysia,Penang
Taxi 1 Hour Waiting (Standard Tariff),30.00 RM,Asia-Pacific,Malaysia,Penang
Gasoline (1 Liter),2.24 RM,Asia-Pacific,Malaysia,Penang
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"170,560.00 RM",Asia-Pacific,Malaysia,Penang
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"142,937.50 RM",Asia-Pacific,Malaysia,Penang
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",162.68 RM,Asia-Pacific,Malaysia,Penang
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",40.09 RM,Asia-Pacific,Malaysia,Penang
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",125.29 RM,Asia-Pacific,Malaysia,Penang
Monthly Fitness Club Membership,127.00 RM,Asia-Pacific,Malaysia,Penang
"Tennis Court Rental (1 Hour, Weekend)",20.00 RM,Asia-Pacific,Malaysia,Penang
Cinema Ticket (International Release),21.00 RM,Asia-Pacific,Malaysia,Penang
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,650.00 RM",Asia-Pacific,Malaysia,Penang
"International Primary School, Annual Tuition per Child","43,785.71 RM",Asia-Pacific,Malaysia,Penang
Jeans (Levi's 501 or Similar),238.77 RM,Asia-Pacific,Malaysia,Penang
Summer Dress in a Chain Store (e.g. Zara or H&M),143.28 RM,Asia-Pacific,Malaysia,Penang
Nike Running Shoes (Mid-Range),339.68 RM,Asia-Pacific,Malaysia,Penang
Men's Leather Business Shoes,276.55 RM,Asia-Pacific,Malaysia,Penang
1 Bedroom Apartment in City Centre,"1,725.71 RM",Asia-Pacific,Malaysia,Penang
1 Bedroom Apartment Outside of City Centre,987.14 RM,Asia-Pacific,Malaysia,Penang
3 Bedroom Apartment in City Centre,"2,396.25 RM",Asia-Pacific,Malaysia,Penang
3 Bedroom Apartment Outside of City Centre,"1,958.00 RM",Asia-Pacific,Malaysia,Penang
Price per Square Feet to Buy Apartment in City Centre,848.52 RM,Asia-Pacific,Malaysia,Penang
Price per Square Feet to Buy Apartment Outside of Centre,439.36 RM,Asia-Pacific,Malaysia,Penang
Average Monthly Net Salary (After Tax),"4,022.70 RM",Asia-Pacific,Malaysia,Penang
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.33,Asia-Pacific,Malaysia,Penang
