Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Malta,Valletta
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",80.00 €,Western & Southern Europe,Malta,Valletta
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),10.00 €,Western & Southern Europe,Malta,Valletta
Domestic Draft Beer (1 Pint),4.52 €,Western & Southern Europe,Malta,Valletta
Imported Beer (12 oz Small Bottle),4.00 €,Western & Southern Europe,Malta,Valletta
Cappuccino (Regular Size),2.34 €,Western & Southern Europe,Malta,Valletta
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.50 €,Western & Southern Europe,Malta,Valletta
Bottled Water (12 oz),2.00 €,Western & Southern Europe,Malta,Valletta
"Milk (Regular, 1 Liter)",1.17 €,Western & Southern Europe,Malta,Valletta
Fresh White Bread (1 lb Loaf),1.16 €,Western & Southern Europe,Malta,Valletta
White Rice (1 lb),1.47 €,Western & Southern Europe,Malta,Valletta
"Eggs (12, Large Size)",3.35 €,Western & Southern Europe,Malta,Valletta
Local Cheese (1 lb),3.97 €,Western & Southern Europe,Malta,Valletta
Chicken Fillets (1 lb),4.02 €,Western & Southern Europe,Malta,Valletta
Beef Round or Equivalent Back Leg Red Meat (1 lb),6.24 €,Western & Southern Europe,Malta,Valletta
Apples (1 lb),1.42 €,Western & Southern Europe,Malta,Valletta
Bananas (1 lb),0.99 €,Western & Southern Europe,Malta,Valletta
Oranges (1 lb),1.25 €,Western & Southern Europe,Malta,Valletta
Tomatoes (1 lb),1.29 €,Western & Southern Europe,Malta,Valletta
Potatoes (1 lb),0.55 €,Western & Southern Europe,Malta,Valletta
Onions (1 lb),1.13 €,Western & Southern Europe,Malta,Valletta
Lettuce (1 Head),2.00 €,Western & Southern Europe,Malta,Valletta
Bottled Water (50 oz),1.00 €,Western & Southern Europe,Malta,Valletta
Bottle of Wine (Mid-Range),5.00 €,Western & Southern Europe,Malta,Valletta
Domestic Beer (16.9 oz Bottle),2.14 €,Western & Southern Europe,Malta,Valletta
Imported Beer (12 oz Small Bottle),1.56 €,Western & Southern Europe,Malta,Valletta
"Cigarettes (Pack of 20, Marlboro)",5.65 €,Western & Southern Europe,Malta,Valletta
One-Way Ticket (Local Transport),2.50 €,Western & Southern Europe,Malta,Valletta
Monthly Public Transport Pass (Regular Price),0.00 €,Western & Southern Europe,Malta,Valletta
Taxi Start (Standard Tariff),3.50 €,Western & Southern Europe,Malta,Valletta
Taxi 1 mile (Standard Tariff),2.57 €,Western & Southern Europe,Malta,Valletta
Taxi 1 Hour Waiting (Standard Tariff),29.20 €,Western & Southern Europe,Malta,Valletta
Gasoline (1 Liter),1.34 €,Western & Southern Europe,Malta,Valletta
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"22,603.87 €",Western & Southern Europe,Malta,Valletta
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"34,171.25 €",Western & Southern Europe,Malta,Valletta
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",130.94 €,Western & Southern Europe,Malta,Valletta
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",27.91 €,Western & Southern Europe,Malta,Valletta
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",27.00 €,Western & Southern Europe,Malta,Valletta
Monthly Fitness Club Membership,51.30 €,Western & Southern Europe,Malta,Valletta
"Tennis Court Rental (1 Hour, Weekend)",18.33 €,Western & Southern Europe,Malta,Valletta
Cinema Ticket (International Release),10.15 €,Western & Southern Europe,Malta,Valletta
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",226.04 €,Western & Southern Europe,Malta,Valletta
"International Primary School, Annual Tuition per Child","11,000.00 €",Western & Southern Europe,Malta,Valletta
Jeans (Levi's 501 or Similar),88.48 €,Western & Southern Europe,Malta,Valletta
Summer Dress in a Chain Store (e.g. Zara or H&M),63.69 €,Western & Southern Europe,Malta,Valletta
Nike Running Shoes (Mid-Range),125.14 €,Western & Southern Europe,Malta,Valletta
Men's Leather Business Shoes,146.59 €,Western & Southern Europe,Malta,Valletta
1 Bedroom Apartment in City Centre,"1,111.50 €",Western & Southern Europe,Malta,Valletta
1 Bedroom Apartment Outside of City Centre,907.33 €,Western & Southern Europe,Malta,Valletta
3 Bedroom Apartment in City Centre,"2,508.33 €",Western & Southern Europe,Malta,Valletta
3 Bedroom Apartment Outside of City Centre,"1,586.67 €",Western & Southern Europe,Malta,Valletta
Price per Square Feet to Buy Apartment in City Centre,438.13 €,Western & Southern Europe,Malta,Valletta
Price per Square Feet to Buy Apartment Outside of Centre,325.90 €,Western & Southern Europe,Malta,Valletta
Average Monthly Net Salary (After Tax),"1,914.95 €",Western & Southern Europe,Malta,Valletta
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.06,Western & Southern Europe,Malta,Valletta
