Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,275.00 Rs,Middle East & Africa,Mauritius,Port Louis
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,800.00 Rs",Middle East & Africa,Mauritius,Port Louis
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),350.00 Rs,Middle East & Africa,Mauritius,Port Louis
Domestic Draft Beer (1 Pint),150.00 Rs,Middle East & Africa,Mauritius,Port Louis
Imported Beer (12 oz Small Bottle),225.00 Rs,Middle East & Africa,Mauritius,Port Louis
Cappuccino (Regular Size),114.44 Rs,Middle East & Africa,Mauritius,Port Louis
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",48.75 Rs,Middle East & Africa,Mauritius,Port Louis
Bottled Water (12 oz),26.22 Rs,Middle East & Africa,Mauritius,Port Louis
"Milk (Regular, 1 Liter)",74.43 Rs,Middle East & Africa,Mauritius,Port Louis
Fresh White Bread (1 lb Loaf),32.43 Rs,Middle East & Africa,Mauritius,Port Louis
White Rice (1 lb),24.19 Rs,Middle East & Africa,Mauritius,Port Louis
"Eggs (12, Large Size)",119.00 Rs,Middle East & Africa,Mauritius,Port Louis
Local Cheese (1 lb),179.17 Rs,Middle East & Africa,Mauritius,Port Louis
Chicken Fillets (1 lb),104.89 Rs,Middle East & Africa,Mauritius,Port Louis
Beef Round or Equivalent Back Leg Red Meat (1 lb),241.92 Rs,Middle East & Africa,Mauritius,Port Louis
Apples (1 lb),45.93 Rs,Middle East & Africa,Mauritius,Port Louis
Bananas (1 lb),45.36 Rs,Middle East & Africa,Mauritius,Port Louis
Oranges (1 lb),30.39 Rs,Middle East & Africa,Mauritius,Port Louis
Tomatoes (1 lb),52.16 Rs,Middle East & Africa,Mauritius,Port Louis
Potatoes (1 lb),20.87 Rs,Middle East & Africa,Mauritius,Port Louis
Onions (1 lb),20.87 Rs,Middle East & Africa,Mauritius,Port Louis
Lettuce (1 Head),33.75 Rs,Middle East & Africa,Mauritius,Port Louis
Bottled Water (50 oz),38.00 Rs,Middle East & Africa,Mauritius,Port Louis
Bottle of Wine (Mid-Range),400.00 Rs,Middle East & Africa,Mauritius,Port Louis
Domestic Beer (16.9 oz Bottle),78.46 Rs,Middle East & Africa,Mauritius,Port Louis
Imported Beer (12 oz Small Bottle),110.00 Rs,Middle East & Africa,Mauritius,Port Louis
"Cigarettes (Pack of 20, Marlboro)",300.00 Rs,Middle East & Africa,Mauritius,Port Louis
One-Way Ticket (Local Transport),44.00 Rs,Middle East & Africa,Mauritius,Port Louis
Monthly Public Transport Pass (Regular Price),"1,000.00 Rs",Middle East & Africa,Mauritius,Port Louis
Taxi Start (Standard Tariff),200.00 Rs,Middle East & Africa,Mauritius,Port Louis
Taxi 1 mile (Standard Tariff),241.40 Rs,Middle East & Africa,Mauritius,Port Louis
Taxi 1 Hour Waiting (Standard Tariff),750.00 Rs,Middle East & Africa,Mauritius,Port Louis
Gasoline (1 Liter),63.70 Rs,Middle East & Africa,Mauritius,Port Louis
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"1,625,000.00 Rs",Middle East & Africa,Mauritius,Port Louis
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"1,419,218.75 Rs",Middle East & Africa,Mauritius,Port Louis
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","2,125.00 Rs",Middle East & Africa,Mauritius,Port Louis
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",480.00 Rs,Middle East & Africa,Mauritius,Port Louis
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","1,458.00 Rs",Middle East & Africa,Mauritius,Port Louis
Monthly Fitness Club Membership,"1,200.00 Rs",Middle East & Africa,Mauritius,Port Louis
"Tennis Court Rental (1 Hour, Weekend)",183.33 Rs,Middle East & Africa,Mauritius,Port Louis
Cinema Ticket (International Release),300.00 Rs,Middle East & Africa,Mauritius,Port Louis
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","8,000.00 Rs",Middle East & Africa,Mauritius,Port Louis
"International Primary School, Annual Tuition per Child","362,766.67 Rs",Middle East & Africa,Mauritius,Port Louis
Jeans (Levi's 501 or Similar),"3,875.00 Rs",Middle East & Africa,Mauritius,Port Louis
Summer Dress in a Chain Store (e.g. Zara or H&M),"3,250.00 Rs",Middle East & Africa,Mauritius,Port Louis
Nike Running Shoes (Mid-Range),"5,375.00 Rs",Middle East & Africa,Mauritius,Port Louis
Men's Leather Business Shoes,"3,550.00 Rs",Middle East & Africa,Mauritius,Port Louis
1 Bedroom Apartment in City Centre,"22,633.33 Rs",Middle East & Africa,Mauritius,Port Louis
1 Bedroom Apartment Outside of City Centre,"13,000.00 Rs",Middle East & Africa,Mauritius,Port Louis
3 Bedroom Apartment in City Centre,"35,950.00 Rs",Middle East & Africa,Mauritius,Port Louis
3 Bedroom Apartment Outside of City Centre,"28,533.33 Rs",Middle East & Africa,Mauritius,Port Louis
Price per Square Feet to Buy Apartment in City Centre,"18,096.76 Rs",Middle East & Africa,Mauritius,Port Louis
Price per Square Feet to Buy Apartment Outside of Centre,"4,669.89 Rs",Middle East & Africa,Mauritius,Port Louis
Average Monthly Net Salary (After Tax),"29,000.00 Rs",Middle East & Africa,Mauritius,Port Louis
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",6.67,Middle East & Africa,Mauritius,Port Louis
