Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,200.00 MXN,Latin America,Mexico,Guadalajara
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",775.00 MXN,Latin America,Mexico,Guadalajara
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),160.00 MXN,Latin America,Mexico,Guadalajara
Domestic Draft Beer (1 Pint),50.00 MXN,Latin America,Mexico,Guadalajara
Imported Beer (12 oz Small Bottle),80.00 MXN,Latin America,Mexico,Guadalajara
Cappuccino (Regular Size),65.19 MXN,Latin America,Mexico,Guadalajara
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",27.05 MXN,Latin America,Mexico,Guadalajara
Bottled Water (12 oz),18.42 MXN,Latin America,Mexico,Guadalajara
"Milk (Regular, 1 Liter)",28.24 MXN,Latin America,Mexico,Guadalajara
Fresh White Bread (1 lb Loaf),42.79 MXN,Latin America,Mexico,Guadalajara
White Rice (1 lb),13.36 MXN,Latin America,Mexico,Guadalajara
"Eggs (12, Large Size)",42.81 MXN,Latin America,Mexico,Guadalajara
Local Cheese (1 lb),81.92 MXN,Latin America,Mexico,Guadalajara
Chicken Fillets (1 lb),72.74 MXN,Latin America,Mexico,Guadalajara
Beef Round or Equivalent Back Leg Red Meat (1 lb),96.55 MXN,Latin America,Mexico,Guadalajara
Apples (1 lb),22.45 MXN,Latin America,Mexico,Guadalajara
Bananas (1 lb),12.84 MXN,Latin America,Mexico,Guadalajara
Oranges (1 lb),17.19 MXN,Latin America,Mexico,Guadalajara
Tomatoes (1 lb),13.43 MXN,Latin America,Mexico,Guadalajara
Potatoes (1 lb),15.70 MXN,Latin America,Mexico,Guadalajara
Onions (1 lb),16.33 MXN,Latin America,Mexico,Guadalajara
Lettuce (1 Head),25.19 MXN,Latin America,Mexico,Guadalajara
Bottled Water (50 oz),20.86 MXN,Latin America,Mexico,Guadalajara
Bottle of Wine (Mid-Range),200.00 MXN,Latin America,Mexico,Guadalajara
Domestic Beer (16.9 oz Bottle),32.29 MXN,Latin America,Mexico,Guadalajara
Imported Beer (12 oz Small Bottle),63.39 MXN,Latin America,Mexico,Guadalajara
"Cigarettes (Pack of 20, Marlboro)",85.00 MXN,Latin America,Mexico,Guadalajara
One-Way Ticket (Local Transport),10.00 MXN,Latin America,Mexico,Guadalajara
Monthly Public Transport Pass (Regular Price),560.00 MXN,Latin America,Mexico,Guadalajara
Taxi Start (Standard Tariff),50.00 MXN,Latin America,Mexico,Guadalajara
Taxi 1 mile (Standard Tariff),40.23 MXN,Latin America,Mexico,Guadalajara
Taxi 1 Hour Waiting (Standard Tariff),220.00 MXN,Latin America,Mexico,Guadalajara
Gasoline (1 Liter),25.08 MXN,Latin America,Mexico,Guadalajara
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"386,990.00 MXN",Latin America,Mexico,Guadalajara
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"444,076.92 MXN",Latin America,Mexico,Guadalajara
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",932.77 MXN,Latin America,Mexico,Guadalajara
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",424.38 MXN,Latin America,Mexico,Guadalajara
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",528.18 MXN,Latin America,Mexico,Guadalajara
Monthly Fitness Club Membership,526.92 MXN,Latin America,Mexico,Guadalajara
"Tennis Court Rental (1 Hour, Weekend)",203.85 MXN,Latin America,Mexico,Guadalajara
Cinema Ticket (International Release),95.00 MXN,Latin America,Mexico,Guadalajara
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","4,583.33 MXN",Latin America,Mexico,Guadalajara
"International Primary School, Annual Tuition per Child","203,083.33 MXN",Latin America,Mexico,Guadalajara
Jeans (Levi's 501 or Similar),"1,058.33 MXN",Latin America,Mexico,Guadalajara
Summer Dress in a Chain Store (e.g. Zara or H&M),791.55 MXN,Latin America,Mexico,Guadalajara
Nike Running Shoes (Mid-Range),"2,081.82 MXN",Latin America,Mexico,Guadalajara
Men's Leather Business Shoes,"1,532.24 MXN",Latin America,Mexico,Guadalajara
1 Bedroom Apartment in City Centre,"15,670.59 MXN",Latin America,Mexico,Guadalajara
1 Bedroom Apartment Outside of City Centre,"9,310.81 MXN",Latin America,Mexico,Guadalajara
3 Bedroom Apartment in City Centre,"30,600.00 MXN",Latin America,Mexico,Guadalajara
3 Bedroom Apartment Outside of City Centre,"18,329.07 MXN",Latin America,Mexico,Guadalajara
Price per Square Feet to Buy Apartment in City Centre,"5,233.49 MXN",Latin America,Mexico,Guadalajara
Price per Square Feet to Buy Apartment Outside of Centre,"3,280.61 MXN",Latin America,Mexico,Guadalajara
Average Monthly Net Salary (After Tax),"12,948.48 MXN",Latin America,Mexico,Guadalajara
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.25,Latin America,Mexico,Guadalajara
