Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,200.00 MXN,Latin America,Mexico,Mexico City
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",925.00 MXN,Latin America,Mexico,Mexico City
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),185.00 MXN,Latin America,Mexico,Mexico City
Domestic Draft Beer (1 Pint),65.00 MXN,Latin America,Mexico,Mexico City
Imported Beer (12 oz Small Bottle),120.00 MXN,Latin America,Mexico,Mexico City
Cappuccino (Regular Size),69.29 MXN,Latin America,Mexico,Mexico City
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",30.78 MXN,Latin America,Mexico,Mexico City
Bottled Water (12 oz),23.64 MXN,Latin America,Mexico,Mexico City
"Milk (Regular, 1 Liter)",31.85 MXN,Latin America,Mexico,Mexico City
Fresh White Bread (1 lb Loaf),43.20 MXN,Latin America,Mexico,Mexico City
White Rice (1 lb),14.63 MXN,Latin America,Mexico,Mexico City
"Eggs (12, Large Size)",47.01 MXN,Latin America,Mexico,Mexico City
Local Cheese (1 lb),87.52 MXN,Latin America,Mexico,Mexico City
Chicken Fillets (1 lb),72.77 MXN,Latin America,Mexico,Mexico City
Beef Round or Equivalent Back Leg Red Meat (1 lb),104.87 MXN,Latin America,Mexico,Mexico City
Apples (1 lb),24.67 MXN,Latin America,Mexico,Mexico City
Bananas (1 lb),14.37 MXN,Latin America,Mexico,Mexico City
Oranges (1 lb),17.86 MXN,Latin America,Mexico,Mexico City
Tomatoes (1 lb),15.25 MXN,Latin America,Mexico,Mexico City
Potatoes (1 lb),17.27 MXN,Latin America,Mexico,Mexico City
Onions (1 lb),17.31 MXN,Latin America,Mexico,Mexico City
Lettuce (1 Head),26.81 MXN,Latin America,Mexico,Mexico City
Bottled Water (50 oz),22.22 MXN,Latin America,Mexico,Mexico City
Bottle of Wine (Mid-Range),250.00 MXN,Latin America,Mexico,Mexico City
Domestic Beer (16.9 oz Bottle),32.43 MXN,Latin America,Mexico,Mexico City
Imported Beer (12 oz Small Bottle),78.89 MXN,Latin America,Mexico,Mexico City
"Cigarettes (Pack of 20, Marlboro)",85.00 MXN,Latin America,Mexico,Mexico City
One-Way Ticket (Local Transport),6.00 MXN,Latin America,Mexico,Mexico City
Monthly Public Transport Pass (Regular Price),360.00 MXN,Latin America,Mexico,Mexico City
Taxi Start (Standard Tariff),26.00 MXN,Latin America,Mexico,Mexico City
Taxi 1 mile (Standard Tariff),12.87 MXN,Latin America,Mexico,Mexico City
Taxi 1 Hour Waiting (Standard Tariff),101.00 MXN,Latin America,Mexico,Mexico City
Gasoline (1 Liter),24.85 MXN,Latin America,Mexico,Mexico City
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"386,990.00 MXN",Latin America,Mexico,Mexico City
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"456,150.00 MXN",Latin America,Mexico,Mexico City
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",915.08 MXN,Latin America,Mexico,Mexico City
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",479.71 MXN,Latin America,Mexico,Mexico City
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",627.57 MXN,Latin America,Mexico,Mexico City
Monthly Fitness Club Membership,954.24 MXN,Latin America,Mexico,Mexico City
"Tennis Court Rental (1 Hour, Weekend)",535.00 MXN,Latin America,Mexico,Mexico City
Cinema Ticket (International Release),120.00 MXN,Latin America,Mexico,Mexico City
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","8,131.58 MXN",Latin America,Mexico,Mexico City
"International Primary School, Annual Tuition per Child","196,376.67 MXN",Latin America,Mexico,Mexico City
Jeans (Levi's 501 or Similar),"1,282.35 MXN",Latin America,Mexico,Mexico City
Summer Dress in a Chain Store (e.g. Zara or H&M),915.35 MXN,Latin America,Mexico,Mexico City
Nike Running Shoes (Mid-Range),"1,984.16 MXN",Latin America,Mexico,Mexico City
Men's Leather Business Shoes,"2,173.33 MXN",Latin America,Mexico,Mexico City
1 Bedroom Apartment in City Centre,"20,282.61 MXN",Latin America,Mexico,Mexico City
1 Bedroom Apartment Outside of City Centre,"12,411.76 MXN",Latin America,Mexico,Mexico City
3 Bedroom Apartment in City Centre,"45,142.86 MXN",Latin America,Mexico,Mexico City
3 Bedroom Apartment Outside of City Centre,"23,973.68 MXN",Latin America,Mexico,Mexico City
Price per Square Feet to Buy Apartment in City Centre,"5,984.18 MXN",Latin America,Mexico,Mexico City
Price per Square Feet to Buy Apartment Outside of Centre,"3,574.82 MXN",Latin America,Mexico,Mexico City
Average Monthly Net Salary (After Tax),"18,191.90 MXN",Latin America,Mexico,Mexico City
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.39,Latin America,Mexico,Mexico City
