Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,200.00 MXN,Latin America,Mexico,Playa del Carmen
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800.00 MXN,Latin America,Mexico,Playa del Carmen
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),219.46 MXN,Latin America,Mexico,Playa del Carmen
Domestic Draft Beer (1 Pint),80.00 MXN,Latin America,Mexico,Playa del Carmen
Imported Beer (12 oz Small Bottle),100.00 MXN,Latin America,Mexico,Playa del Carmen
Cappuccino (Regular Size),67.55 MXN,Latin America,Mexico,Playa del Carmen
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",21.30 MXN,Latin America,Mexico,Playa del Carmen
Bottled Water (12 oz),27.48 MXN,Latin America,Mexico,Playa del Carmen
"Milk (Regular, 1 Liter)",28.53 MXN,Latin America,Mexico,Playa del Carmen
Fresh White Bread (1 lb Loaf),34.01 MXN,Latin America,Mexico,Playa del Carmen
White Rice (1 lb),13.49 MXN,Latin America,Mexico,Playa del Carmen
"Eggs (12, Large Size)",42.73 MXN,Latin America,Mexico,Playa del Carmen
Local Cheese (1 lb),72.57 MXN,Latin America,Mexico,Playa del Carmen
Chicken Fillets (1 lb),70.01 MXN,Latin America,Mexico,Playa del Carmen
Beef Round or Equivalent Back Leg Red Meat (1 lb),98.28 MXN,Latin America,Mexico,Playa del Carmen
Apples (1 lb),23.82 MXN,Latin America,Mexico,Playa del Carmen
Bananas (1 lb),11.42 MXN,Latin America,Mexico,Playa del Carmen
Oranges (1 lb),16.56 MXN,Latin America,Mexico,Playa del Carmen
Tomatoes (1 lb),16.09 MXN,Latin America,Mexico,Playa del Carmen
Potatoes (1 lb),15.72 MXN,Latin America,Mexico,Playa del Carmen
Onions (1 lb),17.57 MXN,Latin America,Mexico,Playa del Carmen
Lettuce (1 Head),20.76 MXN,Latin America,Mexico,Playa del Carmen
Bottled Water (50 oz),20.00 MXN,Latin America,Mexico,Playa del Carmen
Bottle of Wine (Mid-Range),180.00 MXN,Latin America,Mexico,Playa del Carmen
Domestic Beer (16.9 oz Bottle),27.75 MXN,Latin America,Mexico,Playa del Carmen
Imported Beer (12 oz Small Bottle),46.53 MXN,Latin America,Mexico,Playa del Carmen
"Cigarettes (Pack of 20, Marlboro)",77.00 MXN,Latin America,Mexico,Playa del Carmen
One-Way Ticket (Local Transport),10.00 MXN,Latin America,Mexico,Playa del Carmen
Monthly Public Transport Pass (Regular Price),500.00 MXN,Latin America,Mexico,Playa del Carmen
Taxi Start (Standard Tariff),80.00 MXN,Latin America,Mexico,Playa del Carmen
Taxi 1 mile (Standard Tariff),100.00 MXN,Latin America,Mexico,Playa del Carmen
Taxi 1 Hour Waiting (Standard Tariff),180.00 MXN,Latin America,Mexico,Playa del Carmen
Gasoline (1 Liter),25.36 MXN,Latin America,Mexico,Playa del Carmen
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"386,990.00 MXN",Latin America,Mexico,Playa del Carmen
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"438,033.33 MXN",Latin America,Mexico,Playa del Carmen
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","1,540.15 MXN",Latin America,Mexico,Playa del Carmen
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",462.50 MXN,Latin America,Mexico,Playa del Carmen
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",536.00 MXN,Latin America,Mexico,Playa del Carmen
Monthly Fitness Club Membership,"1,119.79 MXN",Latin America,Mexico,Playa del Carmen
"Tennis Court Rental (1 Hour, Weekend)",450.00 MXN,Latin America,Mexico,Playa del Carmen
Cinema Ticket (International Release),86.06 MXN,Latin America,Mexico,Playa del Carmen
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","3,775.00 MXN",Latin America,Mexico,Playa del Carmen
"International Primary School, Annual Tuition per Child","72,000.00 MXN",Latin America,Mexico,Playa del Carmen
Jeans (Levi's 501 or Similar),796.16 MXN,Latin America,Mexico,Playa del Carmen
Summer Dress in a Chain Store (e.g. Zara or H&M),753.54 MXN,Latin America,Mexico,Playa del Carmen
Nike Running Shoes (Mid-Range),"1,625.66 MXN",Latin America,Mexico,Playa del Carmen
Men's Leather Business Shoes,"1,588.49 MXN",Latin America,Mexico,Playa del Carmen
1 Bedroom Apartment in City Centre,"18,460.83 MXN",Latin America,Mexico,Playa del Carmen
1 Bedroom Apartment Outside of City Centre,"6,523.84 MXN",Latin America,Mexico,Playa del Carmen
3 Bedroom Apartment in City Centre,"30,666.67 MXN",Latin America,Mexico,Playa del Carmen
3 Bedroom Apartment Outside of City Centre,"20,333.33 MXN",Latin America,Mexico,Playa del Carmen
Price per Square Feet to Buy Apartment in City Centre,"6,412.76 MXN",Latin America,Mexico,Playa del Carmen
Price per Square Feet to Buy Apartment Outside of Centre,"10,460.27 MXN",Latin America,Mexico,Playa del Carmen
Average Monthly Net Salary (After Tax),"13,071.27 MXN",Latin America,Mexico,Playa del Carmen
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.60,Latin America,Mexico,Playa del Carmen
