Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,10.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",40.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),8.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Domestic Draft Beer (1 Pint),2.75 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Imported Beer (12 oz Small Bottle),3.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Cappuccino (Regular Size),1.93 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.27 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Bottled Water (12 oz),1.27 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Milk (Regular, 1 Liter)",1.17 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Fresh White Bread (1 lb Loaf),0.82 €,Eastern Europe & The Balkans,Montenegro,Podgorica
White Rice (1 lb),0.95 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Eggs (12, Large Size)",2.83 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Local Cheese (1 lb),3.58 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Chicken Fillets (1 lb),3.41 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Beef Round or Equivalent Back Leg Red Meat (1 lb),4.93 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Apples (1 lb),0.62 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Bananas (1 lb),0.66 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Oranges (1 lb),0.67 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Tomatoes (1 lb),0.96 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Potatoes (1 lb),0.39 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Onions (1 lb),0.43 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Lettuce (1 Head),1.65 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Bottled Water (50 oz),0.68 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Bottle of Wine (Mid-Range),5.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Domestic Beer (16.9 oz Bottle),0.94 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Imported Beer (12 oz Small Bottle),1.58 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Cigarettes (Pack of 20, Marlboro)",3.60 €,Eastern Europe & The Balkans,Montenegro,Podgorica
One-Way Ticket (Local Transport),0.90 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Monthly Public Transport Pass (Regular Price),30.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Taxi Start (Standard Tariff),0.65 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Taxi 1 mile (Standard Tariff),1.13 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Taxi 1 Hour Waiting (Standard Tariff),10.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Gasoline (1 Liter),1.47 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"27,254.00 €",Eastern Europe & The Balkans,Montenegro,Podgorica
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"23,628.57 €",Eastern Europe & The Balkans,Montenegro,Podgorica
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",100.86 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",15.17 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",29.12 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Monthly Fitness Club Membership,41.19 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Tennis Court Rental (1 Hour, Weekend)",10.83 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Cinema Ticket (International Release),5.00 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",297.31 €,Eastern Europe & The Balkans,Montenegro,Podgorica
"International Primary School, Annual Tuition per Child","6,698.00 €",Eastern Europe & The Balkans,Montenegro,Podgorica
Jeans (Levi's 501 or Similar),73.92 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Summer Dress in a Chain Store (e.g. Zara or H&M),41.82 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Nike Running Shoes (Mid-Range),82.81 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Men's Leather Business Shoes,94.58 €,Eastern Europe & The Balkans,Montenegro,Podgorica
1 Bedroom Apartment in City Centre,577.36 €,Eastern Europe & The Balkans,Montenegro,Podgorica
1 Bedroom Apartment Outside of City Centre,430.16 €,Eastern Europe & The Balkans,Montenegro,Podgorica
3 Bedroom Apartment in City Centre,"1,058.42 €",Eastern Europe & The Balkans,Montenegro,Podgorica
3 Bedroom Apartment Outside of City Centre,780.67 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Price per Square Feet to Buy Apartment in City Centre,237.98 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Price per Square Feet to Buy Apartment Outside of Centre,180.15 €,Eastern Europe & The Balkans,Montenegro,Podgorica
Average Monthly Net Salary (After Tax),"1,007.31 €",Eastern Europe & The Balkans,Montenegro,Podgorica
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.48,Eastern Europe & The Balkans,Montenegro,Podgorica
