Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,50.00 MAD,Middle East & Africa,Morocco,Casablanca
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",300.00 MAD,Middle East & Africa,Morocco,Casablanca
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),75.00 MAD,Middle East & Africa,Morocco,Casablanca
Domestic Draft Beer (1 Pint),37.50 MAD,Middle East & Africa,Morocco,Casablanca
Imported Beer (12 oz Small Bottle),50.00 MAD,Middle East & Africa,Morocco,Casablanca
Cappuccino (Regular Size),21.43 MAD,Middle East & Africa,Morocco,Casablanca
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",6.98 MAD,Middle East & Africa,Morocco,Casablanca
Bottled Water (12 oz),4.40 MAD,Middle East & Africa,Morocco,Casablanca
"Milk (Regular, 1 Liter)",9.07 MAD,Middle East & Africa,Morocco,Casablanca
Fresh White Bread (1 lb Loaf),6.19 MAD,Middle East & Africa,Morocco,Casablanca
White Rice (1 lb),8.34 MAD,Middle East & Africa,Morocco,Casablanca
"Eggs (12, Large Size)",17.88 MAD,Middle East & Africa,Morocco,Casablanca
Local Cheese (1 lb),51.29 MAD,Middle East & Africa,Morocco,Casablanca
Chicken Fillets (1 lb),30.98 MAD,Middle East & Africa,Morocco,Casablanca
Beef Round or Equivalent Back Leg Red Meat (1 lb),50.06 MAD,Middle East & Africa,Morocco,Casablanca
Apples (1 lb),7.07 MAD,Middle East & Africa,Morocco,Casablanca
Bananas (1 lb),6.41 MAD,Middle East & Africa,Morocco,Casablanca
Oranges (1 lb),3.46 MAD,Middle East & Africa,Morocco,Casablanca
Tomatoes (1 lb),3.09 MAD,Middle East & Africa,Morocco,Casablanca
Potatoes (1 lb),2.73 MAD,Middle East & Africa,Morocco,Casablanca
Onions (1 lb),2.98 MAD,Middle East & Africa,Morocco,Casablanca
Lettuce (1 Head),4.27 MAD,Middle East & Africa,Morocco,Casablanca
Bottled Water (50 oz),5.22 MAD,Middle East & Africa,Morocco,Casablanca
Bottle of Wine (Mid-Range),75.00 MAD,Middle East & Africa,Morocco,Casablanca
Domestic Beer (16.9 oz Bottle),27.51 MAD,Middle East & Africa,Morocco,Casablanca
Imported Beer (12 oz Small Bottle),29.78 MAD,Middle East & Africa,Morocco,Casablanca
"Cigarettes (Pack of 20, Marlboro)",40.00 MAD,Middle East & Africa,Morocco,Casablanca
One-Way Ticket (Local Transport),8.00 MAD,Middle East & Africa,Morocco,Casablanca
Monthly Public Transport Pass (Regular Price),250.00 MAD,Middle East & Africa,Morocco,Casablanca
Taxi Start (Standard Tariff),8.00 MAD,Middle East & Africa,Morocco,Casablanca
Taxi 1 mile (Standard Tariff),12.00 MAD,Middle East & Africa,Morocco,Casablanca
Taxi 1 Hour Waiting (Standard Tariff),44.40 MAD,Middle East & Africa,Morocco,Casablanca
Gasoline (1 Liter),13.55 MAD,Middle East & Africa,Morocco,Casablanca
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"329,000.00 MAD",Middle East & Africa,Morocco,Casablanca
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"276,319.28 MAD",Middle East & Africa,Morocco,Casablanca
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",476.51 MAD,Middle East & Africa,Morocco,Casablanca
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",124.14 MAD,Middle East & Africa,Morocco,Casablanca
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",378.06 MAD,Middle East & Africa,Morocco,Casablanca
Monthly Fitness Club Membership,290.29 MAD,Middle East & Africa,Morocco,Casablanca
"Tennis Court Rental (1 Hour, Weekend)",227.78 MAD,Middle East & Africa,Morocco,Casablanca
Cinema Ticket (International Release),80.00 MAD,Middle East & Africa,Morocco,Casablanca
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","4,590.46 MAD",Middle East & Africa,Morocco,Casablanca
"International Primary School, Annual Tuition per Child","57,125.56 MAD",Middle East & Africa,Morocco,Casablanca
Jeans (Levi's 501 or Similar),587.50 MAD,Middle East & Africa,Morocco,Casablanca
Summer Dress in a Chain Store (e.g. Zara or H&M),495.27 MAD,Middle East & Africa,Morocco,Casablanca
Nike Running Shoes (Mid-Range),951.35 MAD,Middle East & Africa,Morocco,Casablanca
Men's Leather Business Shoes,668.37 MAD,Middle East & Africa,Morocco,Casablanca
1 Bedroom Apartment in City Centre,"5,596.15 MAD",Middle East & Africa,Morocco,Casablanca
1 Bedroom Apartment Outside of City Centre,"3,303.69 MAD",Middle East & Africa,Morocco,Casablanca
3 Bedroom Apartment in City Centre,"10,366.67 MAD",Middle East & Africa,Morocco,Casablanca
3 Bedroom Apartment Outside of City Centre,"5,318.98 MAD",Middle East & Africa,Morocco,Casablanca
Price per Square Feet to Buy Apartment in City Centre,"1,894.79 MAD",Middle East & Africa,Morocco,Casablanca
Price per Square Feet to Buy Apartment Outside of Centre,"1,016.11 MAD",Middle East & Africa,Morocco,Casablanca
Average Monthly Net Salary (After Tax),"5,186.67 MAD",Middle East & Africa,Morocco,Casablanca
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.01,Middle East & Africa,Morocco,Casablanca
