Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,37.50 MAD,Middle East & Africa,Morocco,Marrakech
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",300.00 MAD,Middle East & Africa,Morocco,Marrakech
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),60.00 MAD,Middle East & Africa,Morocco,Marrakech
Domestic Draft Beer (1 Pint),54.80 MAD,Middle East & Africa,Morocco,Marrakech
Imported Beer (12 oz Small Bottle),50.23 MAD,Middle East & Africa,Morocco,Marrakech
Cappuccino (Regular Size),22.53 MAD,Middle East & Africa,Morocco,Marrakech
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",14.97 MAD,Middle East & Africa,Morocco,Marrakech
Bottled Water (12 oz),5.89 MAD,Middle East & Africa,Morocco,Marrakech
"Milk (Regular, 1 Liter)",8.66 MAD,Middle East & Africa,Morocco,Marrakech
Fresh White Bread (1 lb Loaf),4.54 MAD,Middle East & Africa,Morocco,Marrakech
White Rice (1 lb),7.13 MAD,Middle East & Africa,Morocco,Marrakech
"Eggs (12, Large Size)",18.72 MAD,Middle East & Africa,Morocco,Marrakech
Local Cheese (1 lb),29.41 MAD,Middle East & Africa,Morocco,Marrakech
Chicken Fillets (1 lb),23.44 MAD,Middle East & Africa,Morocco,Marrakech
Beef Round or Equivalent Back Leg Red Meat (1 lb),48.74 MAD,Middle East & Africa,Morocco,Marrakech
Apples (1 lb),6.90 MAD,Middle East & Africa,Morocco,Marrakech
Bananas (1 lb),6.00 MAD,Middle East & Africa,Morocco,Marrakech
Oranges (1 lb),3.78 MAD,Middle East & Africa,Morocco,Marrakech
Tomatoes (1 lb),3.35 MAD,Middle East & Africa,Morocco,Marrakech
Potatoes (1 lb),2.87 MAD,Middle East & Africa,Morocco,Marrakech
Onions (1 lb),3.35 MAD,Middle East & Africa,Morocco,Marrakech
Lettuce (1 Head),2.64 MAD,Middle East & Africa,Morocco,Marrakech
Bottled Water (50 oz),5.73 MAD,Middle East & Africa,Morocco,Marrakech
Bottle of Wine (Mid-Range),70.00 MAD,Middle East & Africa,Morocco,Marrakech
Domestic Beer (16.9 oz Bottle),23.55 MAD,Middle East & Africa,Morocco,Marrakech
Imported Beer (12 oz Small Bottle),28.80 MAD,Middle East & Africa,Morocco,Marrakech
"Cigarettes (Pack of 20, Marlboro)",40.00 MAD,Middle East & Africa,Morocco,Marrakech
One-Way Ticket (Local Transport),4.00 MAD,Middle East & Africa,Morocco,Marrakech
Monthly Public Transport Pass (Regular Price),100.00 MAD,Middle East & Africa,Morocco,Marrakech
Taxi Start (Standard Tariff),8.00 MAD,Middle East & Africa,Morocco,Marrakech
Taxi 1 mile (Standard Tariff),11.27 MAD,Middle East & Africa,Morocco,Marrakech
Taxi 1 Hour Waiting (Standard Tariff),50.00 MAD,Middle East & Africa,Morocco,Marrakech
Gasoline (1 Liter),13.46 MAD,Middle East & Africa,Morocco,Marrakech
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"314,000.00 MAD",Middle East & Africa,Morocco,Marrakech
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"288,285.71 MAD",Middle East & Africa,Morocco,Marrakech
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",316.17 MAD,Middle East & Africa,Morocco,Marrakech
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",105.57 MAD,Middle East & Africa,Morocco,Marrakech
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",375.00 MAD,Middle East & Africa,Morocco,Marrakech
Monthly Fitness Club Membership,250.00 MAD,Middle East & Africa,Morocco,Marrakech
"Tennis Court Rental (1 Hour, Weekend)",216.00 MAD,Middle East & Africa,Morocco,Marrakech
Cinema Ticket (International Release),62.50 MAD,Middle East & Africa,Morocco,Marrakech
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",967.11 MAD,Middle East & Africa,Morocco,Marrakech
"International Primary School, Annual Tuition per Child","57,749.47 MAD",Middle East & Africa,Morocco,Marrakech
Jeans (Levi's 501 or Similar),389.80 MAD,Middle East & Africa,Morocco,Marrakech
Summer Dress in a Chain Store (e.g. Zara or H&M),457.80 MAD,Middle East & Africa,Morocco,Marrakech
Nike Running Shoes (Mid-Range),937.50 MAD,Middle East & Africa,Morocco,Marrakech
Men's Leather Business Shoes,745.00 MAD,Middle East & Africa,Morocco,Marrakech
1 Bedroom Apartment in City Centre,"4,411.67 MAD",Middle East & Africa,Morocco,Marrakech
1 Bedroom Apartment Outside of City Centre,"2,727.27 MAD",Middle East & Africa,Morocco,Marrakech
3 Bedroom Apartment in City Centre,"6,766.67 MAD",Middle East & Africa,Morocco,Marrakech
3 Bedroom Apartment Outside of City Centre,"4,385.00 MAD",Middle East & Africa,Morocco,Marrakech
Price per Square Feet to Buy Apartment in City Centre,"1,564.96 MAD",Middle East & Africa,Morocco,Marrakech
Price per Square Feet to Buy Apartment Outside of Centre,878.90 MAD,Middle East & Africa,Morocco,Marrakech
Average Monthly Net Salary (After Tax),"4,656.37 MAD",Middle East & Africa,Morocco,Marrakech
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.75,Middle East & Africa,Morocco,Marrakech
