Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,10.00 $,Latin America,Panama,Panama City
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",50.00 $,Latin America,Panama,Panama City
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),7.00 $,Latin America,Panama,Panama City
Domestic Draft Beer (1 Pint),3.00 $,Latin America,Panama,Panama City
Imported Beer (12 oz Small Bottle),4.00 $,Latin America,Panama,Panama City
Cappuccino (Regular Size),3.55 $,Latin America,Panama,Panama City
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.70 $,Latin America,Panama,Panama City
Bottled Water (12 oz),1.37 $,Latin America,Panama,Panama City
"Milk (Regular, 1 Liter)",1.86 $,Latin America,Panama,Panama City
Fresh White Bread (1 lb Loaf),2.32 $,Latin America,Panama,Panama City
White Rice (1 lb),1.25 $,Latin America,Panama,Panama City
"Eggs (12, Large Size)",2.94 $,Latin America,Panama,Panama City
Local Cheese (1 lb),4.93 $,Latin America,Panama,Panama City
Chicken Fillets (1 lb),3.05 $,Latin America,Panama,Panama City
Beef Round or Equivalent Back Leg Red Meat (1 lb),4.55 $,Latin America,Panama,Panama City
Apples (1 lb),1.78 $,Latin America,Panama,Panama City
Bananas (1 lb),0.75 $,Latin America,Panama,Panama City
Oranges (1 lb),1.49 $,Latin America,Panama,Panama City
Tomatoes (1 lb),1.46 $,Latin America,Panama,Panama City
Potatoes (1 lb),1.11 $,Latin America,Panama,Panama City
Onions (1 lb),1.72 $,Latin America,Panama,Panama City
Lettuce (1 Head),2.28 $,Latin America,Panama,Panama City
Bottled Water (50 oz),1.72 $,Latin America,Panama,Panama City
Bottle of Wine (Mid-Range),10.20 $,Latin America,Panama,Panama City
Domestic Beer (16.9 oz Bottle),1.45 $,Latin America,Panama,Panama City
Imported Beer (12 oz Small Bottle),2.60 $,Latin America,Panama,Panama City
"Cigarettes (Pack of 20, Marlboro)",6.00 $,Latin America,Panama,Panama City
One-Way Ticket (Local Transport),0.35 $,Latin America,Panama,Panama City
Monthly Public Transport Pass (Regular Price),21.00 $,Latin America,Panama,Panama City
Taxi Start (Standard Tariff),2.50 $,Latin America,Panama,Panama City
Taxi 1 mile (Standard Tariff),2.96 $,Latin America,Panama,Panama City
Taxi 1 Hour Waiting (Standard Tariff),22.00 $,Latin America,Panama,Panama City
Gasoline (1 Liter),0.91 $,Latin America,Panama,Panama City
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"21,262.00 $",Latin America,Panama,Panama City
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"20,527.78 $",Latin America,Panama,Panama City
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",127.43 $,Latin America,Panama,Panama City
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",30.58 $,Latin America,Panama,Panama City
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",46.98 $,Latin America,Panama,Panama City
Monthly Fitness Club Membership,44.09 $,Latin America,Panama,Panama City
"Tennis Court Rental (1 Hour, Weekend)",40.47 $,Latin America,Panama,Panama City
Cinema Ticket (International Release),8.00 $,Latin America,Panama,Panama City
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",500.00 $,Latin America,Panama,Panama City
"International Primary School, Annual Tuition per Child","11,716.92 $",Latin America,Panama,Panama City
Jeans (Levi's 501 or Similar),49.38 $,Latin America,Panama,Panama City
Summer Dress in a Chain Store (e.g. Zara or H&M),50.00 $,Latin America,Panama,Panama City
Nike Running Shoes (Mid-Range),89.38 $,Latin America,Panama,Panama City
Men's Leather Business Shoes,127.86 $,Latin America,Panama,Panama City
1 Bedroom Apartment in City Centre,"1,289.44 $",Latin America,Panama,Panama City
1 Bedroom Apartment Outside of City Centre,"1,011.07 $",Latin America,Panama,Panama City
3 Bedroom Apartment in City Centre,"2,131.92 $",Latin America,Panama,Panama City
3 Bedroom Apartment Outside of City Centre,"1,538.24 $",Latin America,Panama,Panama City
Price per Square Feet to Buy Apartment in City Centre,289.64 $,Latin America,Panama,Panama City
Price per Square Feet to Buy Apartment Outside of Centre,161.22 $,Latin America,Panama,Panama City
Average Monthly Net Salary (After Tax),938.83 $,Latin America,Panama,Panama City
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",6.32,Latin America,Panama,Panama City
