Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,350.00 ₱,Asia-Pacific,Philippines,Manila
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,500.00 ₱",Asia-Pacific,Philippines,Manila
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250.00 ₱,Asia-Pacific,Philippines,Manila
Domestic Draft Beer (1 Pint),95.00 ₱,Asia-Pacific,Philippines,Manila
Imported Beer (12 oz Small Bottle),180.00 ₱,Asia-Pacific,Philippines,Manila
Cappuccino (Regular Size),159.00 ₱,Asia-Pacific,Philippines,Manila
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",84.18 ₱,Asia-Pacific,Philippines,Manila
Bottled Water (12 oz),51.26 ₱,Asia-Pacific,Philippines,Manila
"Milk (Regular, 1 Liter)",111.81 ₱,Asia-Pacific,Philippines,Manila
Fresh White Bread (1 lb Loaf),70.72 ₱,Asia-Pacific,Philippines,Manila
White Rice (1 lb),26.66 ₱,Asia-Pacific,Philippines,Manila
"Eggs (12, Large Size)",132.04 ₱,Asia-Pacific,Philippines,Manila
Local Cheese (1 lb),228.87 ₱,Asia-Pacific,Philippines,Manila
Chicken Fillets (1 lb),131.89 ₱,Asia-Pacific,Philippines,Manila
Beef Round or Equivalent Back Leg Red Meat (1 lb),206.61 ₱,Asia-Pacific,Philippines,Manila
Apples (1 lb),86.68 ₱,Asia-Pacific,Philippines,Manila
Bananas (1 lb),50.62 ₱,Asia-Pacific,Philippines,Manila
Oranges (1 lb),85.48 ₱,Asia-Pacific,Philippines,Manila
Tomatoes (1 lb),59.76 ₱,Asia-Pacific,Philippines,Manila
Potatoes (1 lb),63.45 ₱,Asia-Pacific,Philippines,Manila
Onions (1 lb),75.91 ₱,Asia-Pacific,Philippines,Manila
Lettuce (1 Head),125.20 ₱,Asia-Pacific,Philippines,Manila
Bottled Water (50 oz),36.92 ₱,Asia-Pacific,Philippines,Manila
Bottle of Wine (Mid-Range),600.00 ₱,Asia-Pacific,Philippines,Manila
Domestic Beer (16.9 oz Bottle),87.49 ₱,Asia-Pacific,Philippines,Manila
Imported Beer (12 oz Small Bottle),134.78 ₱,Asia-Pacific,Philippines,Manila
"Cigarettes (Pack of 20, Marlboro)",190.00 ₱,Asia-Pacific,Philippines,Manila
One-Way Ticket (Local Transport),30.00 ₱,Asia-Pacific,Philippines,Manila
Monthly Public Transport Pass (Regular Price),800.00 ₱,Asia-Pacific,Philippines,Manila
Taxi Start (Standard Tariff),45.00 ₱,Asia-Pacific,Philippines,Manila
Taxi 1 mile (Standard Tariff),23.34 ₱,Asia-Pacific,Philippines,Manila
Taxi 1 Hour Waiting (Standard Tariff),120.00 ₱,Asia-Pacific,Philippines,Manila
Gasoline (1 Liter),63.42 ₱,Asia-Pacific,Philippines,Manila
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"1,340,000.00 ₱",Asia-Pacific,Philippines,Manila
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"1,263,181.82 ₱",Asia-Pacific,Philippines,Manila
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","7,214.18 ₱",Asia-Pacific,Philippines,Manila
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",865.95 ₱,Asia-Pacific,Philippines,Manila
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","1,518.15 ₱",Asia-Pacific,Philippines,Manila
Monthly Fitness Club Membership,"2,553.08 ₱",Asia-Pacific,Philippines,Manila
"Tennis Court Rental (1 Hour, Weekend)",333.33 ₱,Asia-Pacific,Philippines,Manila
Cinema Ticket (International Release),410.00 ₱,Asia-Pacific,Philippines,Manila
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","29,797.49 ₱",Asia-Pacific,Philippines,Manila
"International Primary School, Annual Tuition per Child","703,087.00 ₱",Asia-Pacific,Philippines,Manila
Jeans (Levi's 501 or Similar),"3,015.38 ₱",Asia-Pacific,Philippines,Manila
Summer Dress in a Chain Store (e.g. Zara or H&M),"1,832.22 ₱",Asia-Pacific,Philippines,Manila
Nike Running Shoes (Mid-Range),"4,608.25 ₱",Asia-Pacific,Philippines,Manila
Men's Leather Business Shoes,"3,140.72 ₱",Asia-Pacific,Philippines,Manila
1 Bedroom Apartment in City Centre,"31,849.95 ₱",Asia-Pacific,Philippines,Manila
1 Bedroom Apartment Outside of City Centre,"16,193.69 ₱",Asia-Pacific,Philippines,Manila
3 Bedroom Apartment in City Centre,"108,272.64 ₱",Asia-Pacific,Philippines,Manila
3 Bedroom Apartment Outside of City Centre,"42,533.33 ₱",Asia-Pacific,Philippines,Manila
Price per Square Feet to Buy Apartment in City Centre,"24,350.72 ₱",Asia-Pacific,Philippines,Manila
Price per Square Feet to Buy Apartment Outside of Centre,"14,434.69 ₱",Asia-Pacific,Philippines,Manila
Average Monthly Net Salary (After Tax),"28,312.52 ₱",Asia-Pacific,Philippines,Manila
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",7.43,Asia-Pacific,Philippines,Manila
