Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,40.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",210.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),35.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Domestic Draft Beer (1 Pint),18.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Imported Beer (12 oz Small Bottle),18.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Cappuccino (Regular Size),16.26 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",8.73 zł,Eastern Europe & The Balkans,Poland,Warsaw
Bottled Water (12 oz),8.01 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Milk (Regular, 1 Liter)",4.13 zł,Eastern Europe & The Balkans,Poland,Warsaw
Fresh White Bread (1 lb Loaf),4.86 zł,Eastern Europe & The Balkans,Poland,Warsaw
White Rice (1 lb),3.12 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Eggs (12, Large Size)",14.26 zł,Eastern Europe & The Balkans,Poland,Warsaw
Local Cheese (1 lb),17.31 zł,Eastern Europe & The Balkans,Poland,Warsaw
Chicken Fillets (1 lb),12.14 zł,Eastern Europe & The Balkans,Poland,Warsaw
Beef Round or Equivalent Back Leg Red Meat (1 lb),27.22 zł,Eastern Europe & The Balkans,Poland,Warsaw
Apples (1 lb),2.40 zł,Eastern Europe & The Balkans,Poland,Warsaw
Bananas (1 lb),3.06 zł,Eastern Europe & The Balkans,Poland,Warsaw
Oranges (1 lb),3.57 zł,Eastern Europe & The Balkans,Poland,Warsaw
Tomatoes (1 lb),5.53 zł,Eastern Europe & The Balkans,Poland,Warsaw
Potatoes (1 lb),1.71 zł,Eastern Europe & The Balkans,Poland,Warsaw
Onions (1 lb),1.93 zł,Eastern Europe & The Balkans,Poland,Warsaw
Lettuce (1 Head),5.85 zł,Eastern Europe & The Balkans,Poland,Warsaw
Bottled Water (50 oz),2.69 zł,Eastern Europe & The Balkans,Poland,Warsaw
Bottle of Wine (Mid-Range),30.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Domestic Beer (16.9 oz Bottle),5.28 zł,Eastern Europe & The Balkans,Poland,Warsaw
Imported Beer (12 oz Small Bottle),7.78 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Cigarettes (Pack of 20, Marlboro)",23.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
One-Way Ticket (Local Transport),4.20 zł,Eastern Europe & The Balkans,Poland,Warsaw
Monthly Public Transport Pass (Regular Price),110.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Taxi Start (Standard Tariff),10.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Taxi 1 mile (Standard Tariff),8.05 zł,Eastern Europe & The Balkans,Poland,Warsaw
Taxi 1 Hour Waiting (Standard Tariff),50.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
Gasoline (1 Liter),6.08 zł,Eastern Europe & The Balkans,Poland,Warsaw
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"119,895.00 zł",Eastern Europe & The Balkans,Poland,Warsaw
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"118,164.71 zł",Eastern Europe & The Balkans,Poland,Warsaw
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","1,200.14 zł",Eastern Europe & The Balkans,Poland,Warsaw
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",36.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",67.30 zł,Eastern Europe & The Balkans,Poland,Warsaw
Monthly Fitness Club Membership,184.08 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Tennis Court Rental (1 Hour, Weekend)",106.67 zł,Eastern Europe & The Balkans,Poland,Warsaw
Cinema Ticket (International Release),35.00 zł,Eastern Europe & The Balkans,Poland,Warsaw
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","2,206.06 zł",Eastern Europe & The Balkans,Poland,Warsaw
"International Primary School, Annual Tuition per Child","58,739.05 zł",Eastern Europe & The Balkans,Poland,Warsaw
Jeans (Levi's 501 or Similar),383.75 zł,Eastern Europe & The Balkans,Poland,Warsaw
Summer Dress in a Chain Store (e.g. Zara or H&M),175.21 zł,Eastern Europe & The Balkans,Poland,Warsaw
Nike Running Shoes (Mid-Range),359.10 zł,Eastern Europe & The Balkans,Poland,Warsaw
Men's Leather Business Shoes,429.05 zł,Eastern Europe & The Balkans,Poland,Warsaw
1 Bedroom Apartment in City Centre,"4,404.00 zł",Eastern Europe & The Balkans,Poland,Warsaw
1 Bedroom Apartment Outside of City Centre,"3,353.57 zł",Eastern Europe & The Balkans,Poland,Warsaw
3 Bedroom Apartment in City Centre,"7,692.59 zł",Eastern Europe & The Balkans,Poland,Warsaw
3 Bedroom Apartment Outside of City Centre,"5,675.86 zł",Eastern Europe & The Balkans,Poland,Warsaw
Price per Square Feet to Buy Apartment in City Centre,"2,152.06 zł",Eastern Europe & The Balkans,Poland,Warsaw
Price per Square Feet to Buy Apartment Outside of Centre,"1,361.34 zł",Eastern Europe & The Balkans,Poland,Warsaw
