Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,10.00 €,Western & Southern Europe,Portugal,Braga
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",50.00 €,Western & Southern Europe,Portugal,Braga
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),8.00 €,Western & Southern Europe,Portugal,Braga
Domestic Draft Beer (1 Pint),3.00 €,Western & Southern Europe,Portugal,Braga
Imported Beer (12 oz Small Bottle),2.25 €,Western & Southern Europe,Portugal,Braga
Cappuccino (Regular Size),1.62 €,Western & Southern Europe,Portugal,Braga
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.81 €,Western & Southern Europe,Portugal,Braga
Bottled Water (12 oz),1.02 €,Western & Southern Europe,Portugal,Braga
"Milk (Regular, 1 Liter)",0.95 €,Western & Southern Europe,Portugal,Braga
Fresh White Bread (1 lb Loaf),1.48 €,Western & Southern Europe,Portugal,Braga
White Rice (1 lb),0.72 €,Western & Southern Europe,Portugal,Braga
"Eggs (12, Large Size)",2.93 €,Western & Southern Europe,Portugal,Braga
Local Cheese (1 lb),3.88 €,Western & Southern Europe,Portugal,Braga
Chicken Fillets (1 lb),3.20 €,Western & Southern Europe,Portugal,Braga
Beef Round or Equivalent Back Leg Red Meat (1 lb),6.04 €,Western & Southern Europe,Portugal,Braga
Apples (1 lb),0.94 €,Western & Southern Europe,Portugal,Braga
Bananas (1 lb),0.56 €,Western & Southern Europe,Portugal,Braga
Oranges (1 lb),0.74 €,Western & Southern Europe,Portugal,Braga
Tomatoes (1 lb),1.13 €,Western & Southern Europe,Portugal,Braga
Potatoes (1 lb),0.76 €,Western & Southern Europe,Portugal,Braga
Onions (1 lb),0.81 €,Western & Southern Europe,Portugal,Braga
Lettuce (1 Head),1.07 €,Western & Southern Europe,Portugal,Braga
Bottled Water (50 oz),0.92 €,Western & Southern Europe,Portugal,Braga
Bottle of Wine (Mid-Range),4.50 €,Western & Southern Europe,Portugal,Braga
Domestic Beer (16.9 oz Bottle),1.09 €,Western & Southern Europe,Portugal,Braga
Imported Beer (12 oz Small Bottle),1.47 €,Western & Southern Europe,Portugal,Braga
"Cigarettes (Pack of 20, Marlboro)",5.80 €,Western & Southern Europe,Portugal,Braga
One-Way Ticket (Local Transport),1.55 €,Western & Southern Europe,Portugal,Braga
Monthly Public Transport Pass (Regular Price),20.00 €,Western & Southern Europe,Portugal,Braga
Taxi Start (Standard Tariff),3.85 €,Western & Southern Europe,Portugal,Braga
Taxi 1 mile (Standard Tariff),2.49 €,Western & Southern Europe,Portugal,Braga
Taxi 1 Hour Waiting (Standard Tariff),14.80 €,Western & Southern Europe,Portugal,Braga
Gasoline (1 Liter),1.72 €,Western & Southern Europe,Portugal,Braga
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"30,043.00 €",Western & Southern Europe,Portugal,Braga
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"34,070.00 €",Western & Southern Europe,Portugal,Braga
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",108.33 €,Western & Southern Europe,Portugal,Braga
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",20.26 €,Western & Southern Europe,Portugal,Braga
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",41.67 €,Western & Southern Europe,Portugal,Braga
Monthly Fitness Club Membership,42.45 €,Western & Southern Europe,Portugal,Braga
"Tennis Court Rental (1 Hour, Weekend)",12.17 €,Western & Southern Europe,Portugal,Braga
Cinema Ticket (International Release),8.00 €,Western & Southern Europe,Portugal,Braga
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",300.00 €,Western & Southern Europe,Portugal,Braga
"International Primary School, Annual Tuition per Child","8,911.00 €",Western & Southern Europe,Portugal,Braga
Jeans (Levi's 501 or Similar),58.57 €,Western & Southern Europe,Portugal,Braga
Summer Dress in a Chain Store (e.g. Zara or H&M),33.32 €,Western & Southern Europe,Portugal,Braga
Nike Running Shoes (Mid-Range),76.11 €,Western & Southern Europe,Portugal,Braga
Men's Leather Business Shoes,87.14 €,Western & Southern Europe,Portugal,Braga
1 Bedroom Apartment in City Centre,801.50 €,Western & Southern Europe,Portugal,Braga
1 Bedroom Apartment Outside of City Centre,629.67 €,Western & Southern Europe,Portugal,Braga
3 Bedroom Apartment in City Centre,"1,306.00 €",Western & Southern Europe,Portugal,Braga
3 Bedroom Apartment Outside of City Centre,967.64 €,Western & Southern Europe,Portugal,Braga
Price per Square Feet to Buy Apartment in City Centre,206.71 €,Western & Southern Europe,Portugal,Braga
Price per Square Feet to Buy Apartment Outside of Centre,155.60 €,Western & Southern Europe,Portugal,Braga
Average Monthly Net Salary (After Tax),"1,116.83 €",Western & Southern Europe,Portugal,Braga
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.55,Western & Southern Europe,Portugal,Braga
