Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,60.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",300.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),35.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Domestic Draft Beer (1 Pint),15.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Imported Beer (12 oz Small Bottle),15.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Cappuccino (Regular Size),14.52 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",10.25 lei,Eastern Europe & The Balkans,Romania,Bucharest
Bottled Water (12 oz),8.61 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Milk (Regular, 1 Liter)",7.20 lei,Eastern Europe & The Balkans,Romania,Bucharest
Fresh White Bread (1 lb Loaf),5.18 lei,Eastern Europe & The Balkans,Romania,Bucharest
White Rice (1 lb),3.28 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Eggs (12, Large Size)",16.37 lei,Eastern Europe & The Balkans,Romania,Bucharest
Local Cheese (1 lb),19.49 lei,Eastern Europe & The Balkans,Romania,Bucharest
Chicken Fillets (1 lb),14.97 lei,Eastern Europe & The Balkans,Romania,Bucharest
Beef Round or Equivalent Back Leg Red Meat (1 lb),24.62 lei,Eastern Europe & The Balkans,Romania,Bucharest
Apples (1 lb),2.87 lei,Eastern Europe & The Balkans,Romania,Bucharest
Bananas (1 lb),3.42 lei,Eastern Europe & The Balkans,Romania,Bucharest
Oranges (1 lb),3.37 lei,Eastern Europe & The Balkans,Romania,Bucharest
Tomatoes (1 lb),4.84 lei,Eastern Europe & The Balkans,Romania,Bucharest
Potatoes (1 lb),1.79 lei,Eastern Europe & The Balkans,Romania,Bucharest
Onions (1 lb),1.78 lei,Eastern Europe & The Balkans,Romania,Bucharest
Lettuce (1 Head),4.08 lei,Eastern Europe & The Balkans,Romania,Bucharest
Bottled Water (50 oz),3.98 lei,Eastern Europe & The Balkans,Romania,Bucharest
Bottle of Wine (Mid-Range),31.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Domestic Beer (16.9 oz Bottle),5.54 lei,Eastern Europe & The Balkans,Romania,Bucharest
Imported Beer (12 oz Small Bottle),8.14 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Cigarettes (Pack of 20, Marlboro)",30.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
One-Way Ticket (Local Transport),4.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Monthly Public Transport Pass (Regular Price),99.50 lei,Eastern Europe & The Balkans,Romania,Bucharest
Taxi Start (Standard Tariff),3.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Taxi 1 mile (Standard Tariff),4.83 lei,Eastern Europe & The Balkans,Romania,Bucharest
Taxi 1 Hour Waiting (Standard Tariff),30.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
Gasoline (1 Liter),7.48 lei,Eastern Europe & The Balkans,Romania,Bucharest
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"129,806.38 lei",Eastern Europe & The Balkans,Romania,Bucharest
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"127,022.42 lei",Eastern Europe & The Balkans,Romania,Bucharest
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",806.21 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",33.83 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",46.71 lei,Eastern Europe & The Balkans,Romania,Bucharest
Monthly Fitness Club Membership,235.94 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Tennis Court Rental (1 Hour, Weekend)",110.74 lei,Eastern Europe & The Balkans,Romania,Bucharest
Cinema Ticket (International Release),40.00 lei,Eastern Europe & The Balkans,Romania,Bucharest
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","3,239.43 lei",Eastern Europe & The Balkans,Romania,Bucharest
"International Primary School, Annual Tuition per Child","70,676.45 lei",Eastern Europe & The Balkans,Romania,Bucharest
Jeans (Levi's 501 or Similar),381.80 lei,Eastern Europe & The Balkans,Romania,Bucharest
Summer Dress in a Chain Store (e.g. Zara or H&M),186.14 lei,Eastern Europe & The Balkans,Romania,Bucharest
Nike Running Shoes (Mid-Range),412.50 lei,Eastern Europe & The Balkans,Romania,Bucharest
Men's Leather Business Shoes,476.93 lei,Eastern Europe & The Balkans,Romania,Bucharest
1 Bedroom Apartment in City Centre,"2,905.20 lei",Eastern Europe & The Balkans,Romania,Bucharest
1 Bedroom Apartment Outside of City Centre,"1,945.67 lei",Eastern Europe & The Balkans,Romania,Bucharest
3 Bedroom Apartment in City Centre,"5,283.62 lei",Eastern Europe & The Balkans,Romania,Bucharest
3 Bedroom Apartment Outside of City Centre,"3,447.32 lei",Eastern Europe & The Balkans,Romania,Bucharest
Price per Square Feet to Buy Apartment in City Centre,"1,657.15 lei",Eastern Europe & The Balkans,Romania,Bucharest
Price per Square Feet to Buy Apartment Outside of Centre,925.11 lei,Eastern Europe & The Balkans,Romania,Bucharest
Average Monthly Net Salary (After Tax),"6,346.88 lei",Eastern Europe & The Balkans,Romania,Bucharest
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",7.17,Eastern Europe & The Balkans,Romania,Bucharest
