Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"1,390.00 Дин",Eastern Europe & The Balkans,Serbia,Belgrade
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","5,800.00 Дин",Eastern Europe & The Balkans,Serbia,Belgrade
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"1,200.00 Дин",Eastern Europe & The Balkans,Serbia,Belgrade
Domestic Draft Beer (1 Pint),356.17 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Imported Beer (12 oz Small Bottle),400.00 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Cappuccino (Regular Size),295.00 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",291.43 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Bottled Water (12 oz),228.31 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
"Milk (Regular, 1 Liter)",141.11 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Fresh White Bread (1 lb Loaf),90.09 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
White Rice (1 lb),131.61 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
"Eggs (12, Large Size)",278.00 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Local Cheese (1 lb),473.54 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Chicken Fillets (1 lb),350.95 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Beef Round or Equivalent Back Leg Red Meat (1 lb),658.98 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Apples (1 lb),77.11 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Bananas (1 lb),95.64 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Oranges (1 lb),94.90 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Tomatoes (1 lb),107.16 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Potatoes (1 lb),48.22 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Onions (1 lb),38.82 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Lettuce (1 Head),81.93 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Bottled Water (50 oz),71.94 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
Bottle of Wine (Mid-Range),850.00 Дин,Eastern Europe & The Balkans,Serbia,Belgrade
