Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,10.25 €,Eastern Europe & The Balkans,Slovakia,Bratislava
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),9.50 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Domestic Draft Beer (1 Pint),3.00 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Imported Beer (12 oz Small Bottle),3.00 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Cappuccino (Regular Size),2.99 €,Eastern Europe & The Balkans,Slovakia,Bratislava
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",1.95 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Bottled Water (12 oz),1.51 €,Eastern Europe & The Balkans,Slovakia,Bratislava
"Milk (Regular, 1 Liter)",1.13 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Fresh White Bread (1 lb Loaf),1.45 €,Eastern Europe & The Balkans,Slovakia,Bratislava
White Rice (1 lb),0.80 €,Eastern Europe & The Balkans,Slovakia,Bratislava
"Eggs (12, Large Size)",3.54 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Local Cheese (1 lb),6.06 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Chicken Fillets (1 lb),3.43 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.03 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Apples (1 lb),0.81 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Bananas (1 lb),0.78 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Oranges (1 lb),1.04 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Tomatoes (1 lb),1.81 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Potatoes (1 lb),0.73 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Onions (1 lb),0.74 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Lettuce (1 Head),1.40 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Bottled Water (50 oz),0.80 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Bottle of Wine (Mid-Range),5.00 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Domestic Beer (16.9 oz Bottle),1.00 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Imported Beer (12 oz Small Bottle),1.73 €,Eastern Europe & The Balkans,Slovakia,Bratislava
"Cigarettes (Pack of 20, Marlboro)",5.55 €,Eastern Europe & The Balkans,Slovakia,Bratislava
One-Way Ticket (Local Transport),1.20 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Monthly Public Transport Pass (Regular Price),40.50 €,Eastern Europe & The Balkans,Slovakia,Bratislava
Taxi Start (Standard Tariff),5.00 €,Eastern Europe & The Balkans,Slovakia,Bratislava
