Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,14.50 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),8.40 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Domestic Draft Beer (1 Pint),3.00 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Imported Beer (12 oz Small Bottle),4.00 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Cappuccino (Regular Size),2.33 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.73 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Bottled Water (12 oz),1.81 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
"Milk (Regular, 1 Liter)",1.31 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Fresh White Bread (1 lb Loaf),1.70 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
White Rice (1 lb),1.21 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
"Eggs (12, Large Size)",3.41 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Local Cheese (1 lb),5.71 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Chicken Fillets (1 lb),4.06 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.03 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Apples (1 lb),0.82 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Bananas (1 lb),0.68 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Oranges (1 lb),0.88 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Tomatoes (1 lb),1.37 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Potatoes (1 lb),0.54 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Onions (1 lb),0.64 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Lettuce (1 Head),1.55 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Bottled Water (50 oz),0.81 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Bottle of Wine (Mid-Range),6.00 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Domestic Beer (16.9 oz Bottle),1.33 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Imported Beer (12 oz Small Bottle),1.82 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
"Cigarettes (Pack of 20, Marlboro)",5.40 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
One-Way Ticket (Local Transport),1.30 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Monthly Public Transport Pass (Regular Price),37.00 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Taxi Start (Standard Tariff),1.95 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Taxi 1 mile (Standard Tariff),1.75 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
Taxi 1 Hour Waiting (Standard Tariff),16.98 €,Eastern Europe & The Balkans,Slovenia,Ljubljana
