Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,200.00 R,Middle East & Africa,South Africa,Cape Town
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800.00 R,Middle East & Africa,South Africa,Cape Town
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),91.00 R,Middle East & Africa,South Africa,Cape Town
Domestic Draft Beer (1 Pint),50.00 R,Middle East & Africa,South Africa,Cape Town
Imported Beer (12 oz Small Bottle),60.00 R,Middle East & Africa,South Africa,Cape Town
Cappuccino (Regular Size),39.00 R,Middle East & Africa,South Africa,Cape Town
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",21.75 R,Middle East & Africa,South Africa,Cape Town
Bottled Water (12 oz),17.05 R,Middle East & Africa,South Africa,Cape Town
"Milk (Regular, 1 Liter)",21.48 R,Middle East & Africa,South Africa,Cape Town
Fresh White Bread (1 lb Loaf),17.67 R,Middle East & Africa,South Africa,Cape Town
White Rice (1 lb),16.27 R,Middle East & Africa,South Africa,Cape Town
"Eggs (12, Large Size)",47.10 R,Middle East & Africa,South Africa,Cape Town
Local Cheese (1 lb),67.78 R,Middle East & Africa,South Africa,Cape Town
Chicken Fillets (1 lb),44.68 R,Middle East & Africa,South Africa,Cape Town
Beef Round or Equivalent Back Leg Red Meat (1 lb),61.48 R,Middle East & Africa,South Africa,Cape Town
Apples (1 lb),13.34 R,Middle East & Africa,South Africa,Cape Town
Bananas (1 lb),13.14 R,Middle East & Africa,South Africa,Cape Town
Oranges (1 lb),12.92 R,Middle East & Africa,South Africa,Cape Town
Tomatoes (1 lb),14.05 R,Middle East & Africa,South Africa,Cape Town
Potatoes (1 lb),11.62 R,Middle East & Africa,South Africa,Cape Town
Onions (1 lb),10.60 R,Middle East & Africa,South Africa,Cape Town
Lettuce (1 Head),20.44 R,Middle East & Africa,South Africa,Cape Town
Bottled Water (50 oz),18.87 R,Middle East & Africa,South Africa,Cape Town
Bottle of Wine (Mid-Range),104.99 R,Middle East & Africa,South Africa,Cape Town
Domestic Beer (16.9 oz Bottle),23.71 R,Middle East & Africa,South Africa,Cape Town
Imported Beer (12 oz Small Bottle),33.00 R,Middle East & Africa,South Africa,Cape Town
"Cigarettes (Pack of 20, Marlboro)",55.00 R,Middle East & Africa,South Africa,Cape Town
One-Way Ticket (Local Transport),18.50 R,Middle East & Africa,South Africa,Cape Town
Monthly Public Transport Pass (Regular Price),"1,000.00 R",Middle East & Africa,South Africa,Cape Town
Taxi Start (Standard Tariff),20.00 R,Middle East & Africa,South Africa,Cape Town
Taxi 1 mile (Standard Tariff),26.55 R,Middle East & Africa,South Africa,Cape Town
Taxi 1 Hour Waiting (Standard Tariff),82.50 R,Middle East & Africa,South Africa,Cape Town
Gasoline (1 Liter),21.54 R,Middle East & Africa,South Africa,Cape Town
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"589,000.00 R",Middle East & Africa,South Africa,Cape Town
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"484,531.82 R",Middle East & Africa,South Africa,Cape Town
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","2,178.21 R",Middle East & Africa,South Africa,Cape Town
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",567.50 R,Middle East & Africa,South Africa,Cape Town
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",622.35 R,Middle East & Africa,South Africa,Cape Town
Monthly Fitness Club Membership,785.88 R,Middle East & Africa,South Africa,Cape Town
"Tennis Court Rental (1 Hour, Weekend)",169.33 R,Middle East & Africa,South Africa,Cape Town
Cinema Ticket (International Release),137.50 R,Middle East & Africa,South Africa,Cape Town
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","4,403.97 R",Middle East & Africa,South Africa,Cape Town
"International Primary School, Annual Tuition per Child","85,138.18 R",Middle East & Africa,South Africa,Cape Town
Jeans (Levi's 501 or Similar),953.18 R,Middle East & Africa,South Africa,Cape Town
Summer Dress in a Chain Store (e.g. Zara or H&M),597.83 R,Middle East & Africa,South Africa,Cape Town
Nike Running Shoes (Mid-Range),"2,022.73 R",Middle East & Africa,South Africa,Cape Town
Men's Leather Business Shoes,"1,575.00 R",Middle East & Africa,South Africa,Cape Town
1 Bedroom Apartment in City Centre,"16,297.22 R",Middle East & Africa,South Africa,Cape Town
1 Bedroom Apartment Outside of City Centre,"10,428.89 R",Middle East & Africa,South Africa,Cape Town
3 Bedroom Apartment in City Centre,"27,894.12 R",Middle East & Africa,South Africa,Cape Town
3 Bedroom Apartment Outside of City Centre,"19,721.05 R",Middle East & Africa,South Africa,Cape Town
Price per Square Feet to Buy Apartment in City Centre,"3,220.29 R",Middle East & Africa,South Africa,Cape Town
Price per Square Feet to Buy Apartment Outside of Centre,"2,243.65 R",Middle East & Africa,South Africa,Cape Town
Average Monthly Net Salary (After Tax),"27,425.15 R",Middle East & Africa,South Africa,Cape Town
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.27,Middle East & Africa,South Africa,Cape Town
