Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"10,000.00 ₩",Asia-Pacific,South Korea,Busan
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","65,000.00 ₩",Asia-Pacific,South Korea,Busan
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"8,000.00 ₩",Asia-Pacific,South Korea,Busan
Domestic Draft Beer (1 Pint),"5,000.00 ₩",Asia-Pacific,South Korea,Busan
Imported Beer (12 oz Small Bottle),"7,500.00 ₩",Asia-Pacific,South Korea,Busan
Cappuccino (Regular Size),"5,366.67 ₩",Asia-Pacific,South Korea,Busan
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","2,366.67 ₩",Asia-Pacific,South Korea,Busan
Bottled Water (12 oz),"1,900.00 ₩",Asia-Pacific,South Korea,Busan
"Milk (Regular, 1 Liter)","3,045.71 ₩",Asia-Pacific,South Korea,Busan
Fresh White Bread (1 lb Loaf),"3,855.54 ₩",Asia-Pacific,South Korea,Busan
White Rice (1 lb),"1,899.42 ₩",Asia-Pacific,South Korea,Busan
"Eggs (12, Large Size)","3,746.00 ₩",Asia-Pacific,South Korea,Busan
Local Cheese (1 lb),"6,690.50 ₩",Asia-Pacific,South Korea,Busan
Chicken Fillets (1 lb),"6,350.30 ₩",Asia-Pacific,South Korea,Busan
Beef Round or Equivalent Back Leg Red Meat (1 lb),"15,119.76 ₩",Asia-Pacific,South Korea,Busan
Apples (1 lb),"6,803.89 ₩",Asia-Pacific,South Korea,Busan
Bananas (1 lb),"2,211.27 ₩",Asia-Pacific,South Korea,Busan
Oranges (1 lb),"4,924.93 ₩",Asia-Pacific,South Korea,Busan
Tomatoes (1 lb),"3,606.06 ₩",Asia-Pacific,South Korea,Busan
Potatoes (1 lb),"3,628.74 ₩",Asia-Pacific,South Korea,Busan
Onions (1 lb),"2,018.49 ₩",Asia-Pacific,South Korea,Busan
Lettuce (1 Head),"3,750.00 ₩",Asia-Pacific,South Korea,Busan
Bottled Water (50 oz),"1,750.00 ₩",Asia-Pacific,South Korea,Busan
Bottle of Wine (Mid-Range),"25,000.00 ₩",Asia-Pacific,South Korea,Busan
Domestic Beer (16.9 oz Bottle),"3,233.33 ₩",Asia-Pacific,South Korea,Busan
Imported Beer (12 oz Small Bottle),"4,625.00 ₩",Asia-Pacific,South Korea,Busan
"Cigarettes (Pack of 20, Marlboro)","4,500.00 ₩",Asia-Pacific,South Korea,Busan
One-Way Ticket (Local Transport),"1,500.00 ₩",Asia-Pacific,South Korea,Busan
Monthly Public Transport Pass (Regular Price),"80,000.00 ₩",Asia-Pacific,South Korea,Busan
Taxi Start (Standard Tariff),"4,800.00 ₩",Asia-Pacific,South Korea,Busan
Taxi 1 mile (Standard Tariff),"1,609.34 ₩",Asia-Pacific,South Korea,Busan
Taxi 1 Hour Waiting (Standard Tariff),"22,500.00 ₩",Asia-Pacific,South Korea,Busan
Gasoline (1 Liter),"1,681.07 ₩",Asia-Pacific,South Korea,Busan
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"39,370,000.00 ₩",Asia-Pacific,South Korea,Busan
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"38,342,857.14 ₩",Asia-Pacific,South Korea,Busan
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","255,166.67 ₩",Asia-Pacific,South Korea,Busan
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","56,600.00 ₩",Asia-Pacific,South Korea,Busan
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","40,000.00 ₩",Asia-Pacific,South Korea,Busan
Monthly Fitness Club Membership,"83,750.00 ₩",Asia-Pacific,South Korea,Busan
"Tennis Court Rental (1 Hour, Weekend)","16,600.00 ₩",Asia-Pacific,South Korea,Busan
Cinema Ticket (International Release),"16,000.00 ₩",Asia-Pacific,South Korea,Busan
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","666,666.67 ₩",Asia-Pacific,South Korea,Busan
"International Primary School, Annual Tuition per Child","29,182,696.50 ₩",Asia-Pacific,South Korea,Busan
Jeans (Levi's 501 or Similar),"140,000.00 ₩",Asia-Pacific,South Korea,Busan
Summer Dress in a Chain Store (e.g. Zara or H&M),"87,500.00 ₩",Asia-Pacific,South Korea,Busan
Nike Running Shoes (Mid-Range),"125,000.00 ₩",Asia-Pacific,South Korea,Busan
Men's Leather Business Shoes,"170,000.00 ₩",Asia-Pacific,South Korea,Busan
1 Bedroom Apartment in City Centre,"932,500.00 ₩",Asia-Pacific,South Korea,Busan
1 Bedroom Apartment Outside of City Centre,"459,833.33 ₩",Asia-Pacific,South Korea,Busan
3 Bedroom Apartment in City Centre,"1,775,000.00 ₩",Asia-Pacific,South Korea,Busan
3 Bedroom Apartment Outside of City Centre,"954,500.00 ₩",Asia-Pacific,South Korea,Busan
Price per Square Feet to Buy Apartment in City Centre,"1,186,770.55 ₩",Asia-Pacific,South Korea,Busan
Price per Square Feet to Buy Apartment Outside of Centre,"948,967.00 ₩",Asia-Pacific,South Korea,Busan
Average Monthly Net Salary (After Tax),"3,715,445.12 ₩",Asia-Pacific,South Korea,Busan
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.22,Asia-Pacific,South Korea,Busan
