Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"13,000.00 ₩",Asia-Pacific,South Korea,Seoul
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","90,000.00 ₩",Asia-Pacific,South Korea,Seoul
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"9,900.00 ₩",Asia-Pacific,South Korea,Seoul
Domestic Draft Beer (1 Pint),"5,000.00 ₩",Asia-Pacific,South Korea,Seoul
Imported Beer (12 oz Small Bottle),"8,000.00 ₩",Asia-Pacific,South Korea,Seoul
Cappuccino (Regular Size),"5,303.85 ₩",Asia-Pacific,South Korea,Seoul
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","2,252.17 ₩",Asia-Pacific,South Korea,Seoul
Bottled Water (12 oz),"1,152.27 ₩",Asia-Pacific,South Korea,Seoul
"Milk (Regular, 1 Liter)","2,936.65 ₩",Asia-Pacific,South Korea,Seoul
Fresh White Bread (1 lb Loaf),"4,288.34 ₩",Asia-Pacific,South Korea,Seoul
White Rice (1 lb),"2,094.77 ₩",Asia-Pacific,South Korea,Seoul
"Eggs (12, Large Size)","4,337.60 ₩",Asia-Pacific,South Korea,Seoul
Local Cheese (1 lb),"9,068.49 ₩",Asia-Pacific,South Korea,Seoul
Chicken Fillets (1 lb),"6,268.25 ₩",Asia-Pacific,South Korea,Seoul
Beef Round or Equivalent Back Leg Red Meat (1 lb),"19,026.05 ₩",Asia-Pacific,South Korea,Seoul
Apples (1 lb),"4,874.47 ₩",Asia-Pacific,South Korea,Seoul
Bananas (1 lb),"2,154.15 ₩",Asia-Pacific,South Korea,Seoul
Oranges (1 lb),"3,620.71 ₩",Asia-Pacific,South Korea,Seoul
Tomatoes (1 lb),"4,071.59 ₩",Asia-Pacific,South Korea,Seoul
Potatoes (1 lb),"2,369.71 ₩",Asia-Pacific,South Korea,Seoul
Onions (1 lb),"1,799.90 ₩",Asia-Pacific,South Korea,Seoul
Lettuce (1 Head),"3,574.21 ₩",Asia-Pacific,South Korea,Seoul
Bottled Water (50 oz),"1,684.78 ₩",Asia-Pacific,South Korea,Seoul
Bottle of Wine (Mid-Range),"29,000.00 ₩",Asia-Pacific,South Korea,Seoul
Domestic Beer (16.9 oz Bottle),"3,251.53 ₩",Asia-Pacific,South Korea,Seoul
Imported Beer (12 oz Small Bottle),"4,423.92 ₩",Asia-Pacific,South Korea,Seoul
"Cigarettes (Pack of 20, Marlboro)","4,500.00 ₩",Asia-Pacific,South Korea,Seoul
One-Way Ticket (Local Transport),"1,550.00 ₩",Asia-Pacific,South Korea,Seoul
Monthly Public Transport Pass (Regular Price),"65,000.00 ₩",Asia-Pacific,South Korea,Seoul
Taxi Start (Standard Tariff),"4,800.00 ₩",Asia-Pacific,South Korea,Seoul
Taxi 1 mile (Standard Tariff),"1,367.94 ₩",Asia-Pacific,South Korea,Seoul
Taxi 1 Hour Waiting (Standard Tariff),"12,000.00 ₩",Asia-Pacific,South Korea,Seoul
Gasoline (1 Liter),"1,686.17 ₩",Asia-Pacific,South Korea,Seoul
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"39,370,000.00 ₩",Asia-Pacific,South Korea,Seoul
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"38,315,000.00 ₩",Asia-Pacific,South Korea,Seoul
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","220,787.29 ₩",Asia-Pacific,South Korea,Seoul
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","45,051.80 ₩",Asia-Pacific,South Korea,Seoul
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","29,420.83 ₩",Asia-Pacific,South Korea,Seoul
Monthly Fitness Club Membership,"82,149.36 ₩",Asia-Pacific,South Korea,Seoul
"Tennis Court Rental (1 Hour, Weekend)","28,625.00 ₩",Asia-Pacific,South Korea,Seoul
Cinema Ticket (International Release),"15,000.00 ₩",Asia-Pacific,South Korea,Seoul
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","1,822,169.04 ₩",Asia-Pacific,South Korea,Seoul
"International Primary School, Annual Tuition per Child","31,324,072.21 ₩",Asia-Pacific,South Korea,Seoul
Jeans (Levi's 501 or Similar),"79,300.00 ₩",Asia-Pacific,South Korea,Seoul
Summer Dress in a Chain Store (e.g. Zara or H&M),"55,766.67 ₩",Asia-Pacific,South Korea,Seoul
Nike Running Shoes (Mid-Range),"118,404.76 ₩",Asia-Pacific,South Korea,Seoul
Men's Leather Business Shoes,"138,153.85 ₩",Asia-Pacific,South Korea,Seoul
1 Bedroom Apartment in City Centre,"1,244,090.91 ₩",Asia-Pacific,South Korea,Seoul
1 Bedroom Apartment Outside of City Centre,"801,380.95 ₩",Asia-Pacific,South Korea,Seoul
3 Bedroom Apartment in City Centre,"2,973,523.81 ₩",Asia-Pacific,South Korea,Seoul
3 Bedroom Apartment Outside of City Centre,"1,583,500.00 ₩",Asia-Pacific,South Korea,Seoul
Price per Square Feet to Buy Apartment in City Centre,"3,233,170.93 ₩",Asia-Pacific,South Korea,Seoul
Price per Square Feet to Buy Apartment Outside of Centre,"1,610,858.95 ₩",Asia-Pacific,South Korea,Seoul
Average Monthly Net Salary (After Tax),"4,645,560.43 ₩",Asia-Pacific,South Korea,Seoul
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.00,Asia-Pacific,South Korea,Seoul
